DOI,Abstract
10.3389/fenvs.2023.1048525,"This paper assesses the relevance and outcome of involving a transdisciplinary group of stakeholders in a scenario-building research project. The scenarios describe plausible external, long-term conditions with the aim to improve the knowledge basis of a national (Norwegian) government pursuing climate policy targets for 2030 and 2050 under uncertainty. The scenario process has two phases with quite different roles for the participants. In the first, the aim is to create broad engagement and participation in exploring narratives for how key external conditions might develop and form premises for the national climate strategies for Norway. The ambition in this phase is to deduce a handful of wide-ranging and distinctly different, qualitative scenarios. The second phase is devoted to translating the narratives into quantitative projections for the Norwegian economy and greenhouse gas emissions by means of linking global and national largescale models. We claim that research projects building and using scenarios have significant potential to benefit from involving a broad stakeholder group in developing qualitative narratives. The second phase involves complex quantitative simulations. In order to provide scientific rigor and credibility to the scenarios, this phase primarily calls for scholars with technical skills, knowledge on the research frontier and modelling experience. Nevertheless, later use of these scenarios in numerical policy studies can gain from resumed researcher-stakeholder interaction. Copyright © 2023 Fæhn and Stoknes."
10.1016/j.ecolecon.2022.107627,"More frequent and punctuated severe events such as dry spells are among the more salient manifestations of climate change. Because dry spells often co-occur both with heat waves and with longer-term agricultural drought and their effects may interact, understanding the effects of dry spells and heat waves requires a multi-timescale and multi-stressor perspective. Using a global panel of daily precipitation and temperature from 1979 to 2016, we provide evidence that 4–5 week dry spells that occur during the hottest part of the year depress growth in aggregate crop production. The effects of these extreme events are modified by existing drought, aridity, and by heat waves. Our findings, focused on punctuated events, multiple stressors, and aggregate crop production across the globe, complement prior investigations focused solely on longer-term phenomena, those that study extreme heat or precipitation in isolation, and studies that restrict attention to a small number of crops or locations. © 2022 Elsevier B.V."
10.3389/fevo.2022.1028485,"Climate change is having profound effects on natural and socio-economic systems, especially via extreme climate events. Using panel data from 129 prefectural-level cities in China from 2013 to 2019, this paper explores the effects of extreme climate on crime rates based on a climate index and manual collection of crime data. The results showed that extreme climate has a significant positive effect on crime rates, increasing by 0.035% for every 1% increase in the extreme climate index. This occurs through two mechanistic pathways: reduced agricultural output and lower employment income. The heterogeneity analysis shows that extreme climate has a greater impact on crime rates in eastern areas which are economically developed and have high levels of immigration. This study provides new perspectives on the impact of extreme climate on the economy and society, in which governments can actively participate in climate governance through environmental protection, energy conservation and emission reduction, and technological innovation to reduce crime rates by reducing the occurrence of extreme climate. Copyright © 2022 Peng and Zhan."
10.1086/720393,"Recent studies consistently find important economic effects of year-toyear weather fluctuations. I study the economic effects of long-term and gradual climate change over 250 years in the Little Ice Age (1600–1850), during which people and economies had time to adapt. Results show significant negative economic effects of long-term climate change. Temperature impacted the economy through its effect on agricultural productivity and mortality. To adapt to the Little Ice Age, economies increased trade and changed land use. I discuss the relevance of these results for understanding the impact of today’s climate change, especially in developing countries. © 2022 The University of Chicago. This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License (CC BY-NC 4.0), which permits non-commercial reuse of the work with attribution. For commercial use, contact journalpermissions@press.uchicago.edu. Published by The University of Chicago Press."
10.5194/nhess-22-2567-2022,"Sustainable flood risk management (SFRM) has become popular since the 1980s. Many governmental and non-governmental organisations have been keen on implementing the SFRM strategies by integrating social, ecological, and economic themes into their flood risk management (FRM) practices. However, the justifications for SFRM are still somewhat embryonic, and it is not yet clear whether this concept is influencing current policies in different countries. This paper reviews the past and current flood management experiences from flood defence to SFRM in four developed countries to highlight lessons for coastal megacities in development. The paper explores recent strategies such as ""Making Space for Water"", Planning Policy Statement 25 (PPS25), and the National Planning Policy Framework (NPPF) in the UK and ""Room for the River""in the Netherlands, which were implemented to mitigate flooding, integrate FRM with sustainability concepts, and deliver sound FRM practice for future generations. In this context, the United States has also established a National Flood Insurance Program (NFIP), and in a different approach, Japan has developed an advanced flood warning and evacuation contingency system to prepare for climatic extremes. These case studies give good lessons in achieving long-term SFRM to deliver sound flood management practices considering socio-economic and environmental concerns. Most developing coastal megacities especially in Asia are still heavily reliant on a traditional hard-engineering approach, which may not be enough to mitigate substantial risks due to human factors (e.g. large population, rapid socio-economic growth, subsidence from excessive groundwater extraction) and natural factors (e.g. climate change including sea-level rise and land subsidence). It is clear that different countries and cities have their interpretation of SFRM, but this paper explores how policymakers can adopt ""mixed options""to move towards long-term thinking about sustainability with social, economic, and environmental considerations.  Copyright © 2022 Faith Ka Shun Chan et al."
10.1007/s10584-022-03387-y,"Quantifying which nations are culpable for the economic impacts of anthropogenic warming is central to informing climate litigation and restitution claims for climate damages. However, for countries seeking legal redress, the magnitude of economic losses from warming attributable to individual emitters is not known, undermining their standing for climate liability claims. Uncertainties compound at each step from emissions to global greenhouse gas (GHG) concentrations, GHG concentrations to global temperature changes, global temperature changes to country-level temperature changes, and country-level temperature changes to economic losses, providing emitters with plausible deniability for damage claims. Here we lift that veil of deniability, combining historical data with climate models of varying complexity in an integrated framework to quantify each nation’s culpability for historical temperature-driven income changes in every other country. We find that the top five emitters (the United States, China, Russia, Brazil, and India) have collectively caused US$6 trillion in income losses from warming since 1990, comparable to 14% of annual global gross domestic product; many other countries are responsible for billions in losses. Yet the distribution of warming impacts from emitters is highly unequal: high-income, high-emitting countries have benefited themselves while harming low-income, low-emitting countries, emphasizing the inequities embedded in the causes and consequences of historical warming. By linking individual emitters to country-level income losses from warming, our results provide critical insight into climate liability and national accountability for climate policy. © 2022, The Author(s)."
10.1016/j.fmre.2022.03.010,"Global climate governance has entered the era of carbon neutrality, as a growing number of countries have set the goal of carbon neutrality for long-term emissions reduction toward the mid-21st century. In 2020, China also pledged itself to the goal of carbon neutrality, which creates an urgent demand for this country to establish a systematic and integrated national climate governance system. Against this background, this paper conducts a systematic literature review of climate governance systems from the perspectives of top-level design and the governance paradigm to bring insights into climate governance toward carbon neutrality. The results show that although there are interactions between decarbonization and other environmental, social and economic fields, research gaps still exist when enhancing climate governance toward carbon neutrality. For example, issues regarding incorporating climate factors into the overall economic and social layout, strengthening the capacity of data collection relevant to climate adaptation, integrating climate mitigation and adaption actions, as well as connecting domestic climate governance and international cooperation, need to be further addressed. In addition, within the national governance system, studies combining both regional and sectoral concerns and the intertemporal dynamic allocation mechanism need to be further addressed when China decomposes its national climate target. Moreover, the division of power between the central government and local government, as well as the communication scheme between government and non-state actors, also turns out to be important for effective governance. Based on this analysis, policy implications are further proposed for China's formulation and implementation of long-term strategies of climate governance toward carbon neutrality. © 2022"
10.1016/j.eneco.2022.105970,"This study introduces a new measure of energy diversification. We explore it's impact on economic development across the panels of low-income, high-income, European Union (EU), the Organization for Economic Co-operation and Development (OECD), and G20 countries. The study uses data from 1995 to 2018 and utilizes Nonlinear Panel Autoregressive Distributed Lag (NPARDL) method. Our findings show that the major economies (including G20) realize positive economic growth with increasing long-run energy diversification. However, some countries (e.g., OECD and G20) experience negative economic growth due to energy diversification in the short term. The results also disclose that energy diversification does not favor economic growth in low-income economies, both short and long terms. Therefore, more precautionary measures should be taken while diversifying energy sources. © 2022 The Authors"
10.3390/ijerph19052523,"Background: The long-term effect of abnormal climate on cognitive function and socioeconomic status remains elusive. We explored the association between prenatal exposure to climate anomaly and adulthood cognitive function and job reputation. Methods: We obtained repeated cognitive and job reputation measurements from 17,105 subjects for the years 2010, 2014, and 2018, and ascertained their birth date and other covariates. We used sea surface temperature (SST) anomalies in the Southern Pacific Ocean as the indicator for global climate anomaly in the main analyses. We calculated its averaged values for different gestational periods and analyzed its possible nonlinear associations with adulthood cognitive function and job reputation. We also calculated associated economic loss due to prenatal exposure to abnormal climate. Results: We found an inverted U-shaped curve between climate anomaly and adulthood cognition. During the entire pregnancy, for SST anomalies increasing/decreasing 1 °C from 0 °C, newborn individuals will have adulthood cognition (measured by math test) changed by −2.09% (95% confidence interval (CI): −2.31%, −1.88%) and −3.98% (95% CI: −4.32%, −3.65%), respectively. We observed a similar inverted U-shaped pattern for cognitive function measured by word test and job reputation. Such an association is likely to be mediated by regional meteorological conditions, not local ones. Subgroup analyses identified females and people from less-developed regions as even more vulnerable to prenatal abnormal climate, finding an interactive effect with other social factors. The economic loss was assessed as the salary reduction due to declined cognition among all newborn individuals in China. For SST anomalies increasing/decreasing by 1 °C from 0 °C, individuals born each year in China would earn 0.33 (95% CI: 0.40, 0.25) and 1.09 (95% CI:1.23, 0.94) billion U.S. dollars equivalent less in their annual salary at adulthood because of lowered cognitive function, respectively. Conclusion: Prenatal exposure to abnormal global climate patterns can result in declined adulthood cognitive function, lowered job reputation, and subsequent economic loss. © 2022 by the authors. Licensee MDPI, Basel, Switzerland."
10.1038/s41586-021-04283-8,"Macro-economic assessments of climate impacts lack an analysis of the distribution of daily rainfall, which can resolve both complex societal impact channels and anthropogenically forced changes1–6. Here, using a global panel of subnational economic output for 1,554 regions worldwide over the past 40 years, we show that economic growth rates are reduced by increases in the number of wet days and in extreme daily rainfall, in addition to responding nonlinearly to the total annual and to the standardized monthly deviations of rainfall. Furthermore, high-income nations and the services and manufacturing sectors are most strongly hindered by both measures of daily rainfall, complementing previous work that emphasized the beneficial effects of additional total annual rainfall in low-income, agriculturally dependent economies4,7. By assessing the distribution of rainfall at multiple timescales and the effects on different sectors, we uncover channels through which climatic conditions can affect the economy. These results suggest that anthropogenic intensification of daily rainfall extremes8–10 will have negative global economic consequences that require further assessment by those who wish to evaluate the costs of anthropogenic climate change. © 2022, The Author(s), under exclusive licence to Springer Nature Limited."
10.1007/978-3-031-10385-8_36,"This paper aims to examine the empirical validity of the link between Carbon Dioxide (CO2) emissions and income per capita. This relation, known in economic theory as the environmental Kuznets curve (EKC), is investigated using the ARDL approach and based on annual data covering the period 1970–2017 in the Moroccan case. By applying the Trace test of cointegration and the bounds test, results from our analysis show the existence of a long-run relationship between Carbon Dioxide emissions and economic growth, trade openness, population density and energy consumption. In addition, the results support the EKC hypothesis for (CO2) emissions in the long and short-term, assuming an inverted U-shaped relationship between environmental quality and income. These ﬁndings are also demonstrated by the impulse response function to analyze dynamics and shocks between the pollutant emissions and the above exogenous variables. Moreover, for checking the model speciﬁcation, a time series data analysis has been conducted. To get further insights on implication policies, we are investigating in an extension of this study new variables to take into account the Moroccan energy strategy by integrating in particular the renewable energy consumption. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2022."
10.1016/j.eneco.2021.105624,"We study the long-term impact of climate change on economic activity across countries, using a stochastic growth model where productivity is affected by deviations of temperature and precipitation from their long-term moving average historical norms. Using a panel data set of 174 countries over the years 1960 to 2014, we find that per-capita real output growth is adversely affected by persistent changes in the temperature above or below its historical norm, but we do not obtain any statistically significant effects for changes in precipitation. We also show that the marginal effects of temperature shocks vary across climates and income groups. Our counterfactual analysis suggests that a persistent increase in average global temperature by 0.04 °C per year, in the absence of mitigation policies, reduces world real GDP per capita by more than 7 percent by 2100. On the other hand, abiding by the Paris Agreement goals, thereby limiting the temperature increase to 0.01 °C per annum, reduces the loss substantially to about 1 percent. These effects vary significantly across countries depending on the pace of temperature increases and variability of climate conditions. The estimated losses would increase to 13 percent globally if country-specific variability of climate conditions were to rise commensurate with annual temperature increases of 0.04 °C. © 2021 Elsevier B.V."
10.1038/s41467-021-22315-9,"Climate change threatens to undermine efforts to eradicate extreme poverty. However, climate policies could impose a financial burden on the global poor through increased energy and food prices. Here, we project poverty rates until 2050 and assess how they are influenced by mitigation policies consistent with the 1.5 °C target. A continuation of historical trends will leave 350 million people globally in extreme poverty by 2030. Without progressive redistribution, climate policies would push an additional 50 million people into poverty. However, redistributing the national carbon pricing revenues domestically as an equal-per-capita climate dividend compensates this policy side effect, even leading to a small net reduction of the global poverty headcount (−6 million). An additional international climate finance scheme enables a substantial poverty reduction globally and also in Sub-Saharan Africa. Combining national redistribution with international climate finance thus provides an important entry point to climate policy in developing countries. © 2021, The Author(s)."
10.1016/j.oneear.2021.10.010,"Nations must curtail carbon dioxide (CO2) emissions by 7% per annum to meet the Paris Agreement temperature targets. A perceived economic growth-climate mitigation trade-off has diminished political will to act. However, there is no scholarly consensus regarding the magnitude of the trade-off between economic growth and CO2 mitigation and a lack of ex post evidence regarding the extent to which mitigation measures can effectively lower CO2 emissions. Here, we present a structural equation model integrating emissions and economic and energy system characteristics over the period 1970–2016 to empirically assess mechanisms that influence the GDP-CO2 relationship for 73 countries. Robust to various model specifications and statistical tests, we found a simple unitary scale effect between per capita GDP and per capita CO2 emissions, while five emission-reduction mechanisms, principally energy system decarbonization and productivity gains, collectively contributed to global emission reductions by 19 petagrams. Within the observed year-to-year emissions development, reductions at a rate consistent with the Paris Agreement can be achieved in about 10% of instances while maintaining economic growth. © 2021 The Authors"
10.1038/s41467-021-22211-2,"The large majority of climate change mitigation scenarios that hold warming below 2 °C show high deployment of carbon dioxide removal (CDR), resulting in a peak-and-decline behavior in global temperature. This is driven by the assumption of an exponentially increasing carbon price trajectory which is perceived to be economically optimal for meeting a carbon budget. However, this optimality relies on the assumption that a finite carbon budget associated with a temperature target is filled up steadily over time. The availability of net carbon removals invalidates this assumption and therefore a different carbon price trajectory should be chosen. We show how the optimal carbon price path for remaining well below 2 °C limits CDR demand and analyze requirements for constructing alternatives, which may be easier to implement in reality. We show that warming can be held at well below 2 °C at much lower long-term economic effort and lower CDR deployment and therefore lower risks if carbon prices are high enough in the beginning to ensure target compliance, but increase at a lower rate after carbon neutrality has been reached. © 2021, The Author(s)."
10.1073/pnas.2024792118,"Increased exposure to extreme heat from both climate change and the urban heat island effect—total urban warming—threatens the sustainability of rapidly growing urban settlements worldwide. Extreme heat exposure is highly unequal and severely impacts the urban poor. While previous studies have quantified global exposure to extreme heat, the lack of a globally accurate, fine-resolution temporal analysis of urban exposure crucially limits our ability to deploy adaptations. Here, we estimate daily urban population exposure to extreme heat for 13,115 urban settlements from 1983 to 2016. We harmonize global, fine-resolution (0.05°), daily temperature maxima and relative humidity estimates with geolocated and longitudinal global urban population data. We measure the average annual rate of increase in exposure (person-days/year−1) at the global, regional, national, and municipality levels, separating the contribution to exposure trajectories from urban population growth versus total urban warming. Using a daily maximum wet bulb globe temperature threshold of 30 °C, global exposure increased nearly 200% from 1983 to 2016. Total urban warming elevated the annual increase in exposure by 52% compared to urban population growth alone. Exposure trajectories increased for 46% of urban settlements, which together in 2016 comprised 23% of the planet’s population (1.7 billion people). However, how total urban warming and population growth drove exposure trajectories is spatially heterogeneous. This study reinforces the importance of employing multiple extreme heat exposure metrics to identify local patterns and compare exposure trends across geographies. Our results suggest that previous research underestimates extreme heat exposure, highlighting the urgency for targeted adaptations and early warning systems to reduce harm from urban extreme heat exposure. © 2021 National Academy of Sciences. All rights reserved."
10.1515/jgd-2020-0015,"While the world's attention is on dealing with the COVID-19 pandemic, climate change remains a greater existential threat to vulnerable countries that are highly dependent on a weather-sensitive sector like tourism. Using a multidimensional index, this study investigates the long-term impact of climate change vulnerability on international tourism in a panel of 15 Caribbean countries over the period 1995-2017. Empirical results show that climate vulnerability already has a statistically and economically significant negative effect on international tourism revenues across the region. As extreme weather events are becoming more frequent and severe over time, our findings indicate that the Caribbean countries need to invest more in adaptation and mitigation in order to reduce vulnerabilities.  © 2021 Walter de Gruyter GmbH, Berlin/Boston."
10.1088/1755-1315/724/1/012105,"The novel coronavirus COVID-19 outbreak was first reported in Indonesia on March 2, 2020 and then it called for prevention. At the same time, emissions of carbon dioxide reported to have decreased that imply global climate change. Furthermore, the climate change due to a reduction in CO2 emissions during the COVID-19 pandemic affected the demand and supply side of goods and services which in turn had an impact on the economy. One of important indicators in macroeconomics is the inflation rate. Therefore, this study aims to examine the impact of climate change due to the reduction of CO2 emissions during the COVID-19 pandemic and Coronavirus disease on inflation and food inflation in Indonesia. This study uses time series daily data and analysis using Ordinary Least Squares (OLS). The result show that the number of COVID-19 cases has a negative effect on both inflation and food inflation, while the number of recovered cases has a positive effect on both dependent variables. The number of death is only significant to the inflation rate, but it is not significant to the food inflation. The variable of temperature as a proxy variable of climate change has negative influence to the food inflation, but it has not any effects to the inflation rate. In addition, the level of citizen compliance with physical distancing will determine the level of CO2 emission reduction.  © Published under licence by IOP Publishing Ltd."
10.1038/s41586-021-03190-2,"A large scholarship currently holds that before the onset of anthropogenic global warming, natural climatic changes long provoked subsistence crises and, occasionally, civilizational collapses among human societies. This scholarship, which we term the ‘history of climate and society’ (HCS), is pursued by researchers from a wide range of disciplines, including archaeologists, economists, geneticists, geographers, historians, linguists and palaeoclimatologists. We argue that, despite the wide interest in HCS, the field suffers from numerous biases, and often does not account for the local effects and spatiotemporal heterogeneity of past climate changes or the challenges of interpreting historical sources. Here we propose an interdisciplinary framework for uncovering climate–society interactions that emphasizes the mechanics by which climate change has influenced human history, and the uncertainties inherent in discerning that influence across different spatiotemporal scales. Although we acknowledge that climate change has sometimes had destructive effects on past societies, the application of our framework to numerous case studies uncovers five pathways by which populations survived—and often thrived—in the face of climatic pressures. © 2021, Springer Nature Limited."
10.1016/j.gfs.2020.100488,"The potential impacts of climate change on current livestock systems worldwide is a major concern, and yet the topic is covered to a limited extent in global reports such as the ones produced by the Intergovernmental Panel on Climate Change. In this article, we review the risk of climate-related impacts along the land-based livestock food supply chain. Although a quantification of the net impacts of climate change on the livestock sector is beyond the reach of our current understanding, there is strong evidence that there will be impacts throughout the supply chain, from farm production to processing operations, storage, transport, retailing and human consumption. The risks of climate-related impacts are highly context-specific but expected to be higher in environments that are already hot and have limited socio-economic and institutional resources for adaptation. Large uncertainties remain as to climate futures and the exposure and responses of the interlinked human and natural systems to climatic changes over time. Consequently, adaptation choices will need to account for a wide range of possible futures, including those with low probability but large consequences. © 2021"
10.1017/sus.2021.2,"Non-Technical summary We summarize some of the past year's most important findings within climate change-related research. New research has improved our understanding of Earth's sensitivity to carbon dioxide, finds that permafrost thaw could release more carbon emissions than expected and that the uptake of carbon in tropical ecosystems is weakening. Adverse impacts on human society include increasing water shortages and impacts on mental health. Options for solutions emerge from rethinking economic models, rights-based litigation, strengthened governance systems and a new social contract. The disruption caused by COVID-19 could be seized as an opportunity for positive change, directing economic stimulus towards sustainable investments. Technical summary A synthesis is made of ten fields within climate science where there have been significant advances since mid-2019, through an expert elicitation process with broad disciplinary scope. Findings include: (1) a better understanding of equilibrium climate sensitivity; (2) abrupt thaw as an accelerator of carbon release from permafrost; (3) changes to global and regional land carbon sinks; (4) impacts of climate change on water crises, including equity perspectives; (5) adverse effects on mental health from climate change; (6) immediate effects on climate of the COVID-19 pandemic and requirements for recovery packages to deliver on the Paris Agreement; (7) suggested long-Term changes to governance and a social contract to address climate change, learning from the current pandemic, (8) updated positive cost-benefit ratio and new perspectives on the potential for green growth in the short-and long-Term perspective; (9) urban electrification as a strategy to move towards low-carbon energy systems and (10) rights-based litigation as an increasingly important method to address climate change, with recent clarifications on the legal standing and representation of future generations. Social media summary Stronger permafrost thaw, COVID-19 effects and growing mental health impacts among highlights of latest climate science.  Copyright © The Author(s), 2021."
10.1002/9781119413738.ch10,"Across the globe, the negative impacts of extreme heat have become increasingly apparent to individuals, policymakers, public health scientists, physiologists, climatologists, and economists. Extreme heat exposures in occupational settings can have detrimental impacts on the whole of society. Understanding the full impact requires quantifying trade-offs between what may be valued economically as part of society (work output) and human health. The heat load affecting one's body––a combination of environmental and personal factors––can significantly affect thermoregulation, particularly for those completing physically demanding work in environmentally stressful conditions. In such situations, an imbalance occurs between high metabolic heat production and the ability of the body to dissipate heat, as controlled by the environment. The spectrum of physiological impacts from heat strain implicates a worker's health, with new research connecting occupational heat stress to worker productivity and overall well-being, both of which relate to long-term economic resilience under a changing climate. This chapter provides an overview of common methods used to quantify heat stress and related health effects in occupational settings, presents insights into the impacts of climate change on health and productivity in specific regions of the world, and brings forth future perspectives and guidance for practical heat impact prevention approaches. © 2021 John Wiley & Sons, Inc."
10.1017/nie.2021.35,"Climate change and weather shocks have multi-faceted impacts on food systems with important implications for economic policy. Combining a longitudinal household survey with high-resolution climate data, we demonstrate that both climate and weather shocks increase food insecurity; cash assistance and participation in Ethiopia's Productive Safety Net Programme have reduced food insecurity; but food assistance has been ineffective. Importantly, households with savings, and those that stored their harvest to sell at higher prices rather than for home use, suffered less from food insecurity, yet both strategies are harder for the poorest and most food insecure households to adopt. Our paper provides micro-founded evidence needed to design policies that both improve agricultural yields in the context of a changing climate and target households' abilities to cope with shocks that put upwards pressure on food prices.  © 2021 The Author(s). Published by Cambridge University Press on behalf of National Institute Economic Review."
10.1016/j.jcorpfin.2020.101743,"Motivated by the prevalence of corporate sustainability and the rise of uncertainty at the national level, we investigate the impact of three sources of uncertainty; namely, economic policy, climate change, and political instability, on firms' sustainability performance. Using a sample of 6804 firms from 72 countries spanning 15 years, our study revealed that uncertainty due to climate change, economic policy, and political instability negatively affects firms' sustainability performance. This finding is in line with the real options theory that uncertainty in an external environment discourages firms' long-term investment (e.g. investment in corporate sustainability). In addition, the results show that the option for delay in sustainability investment moderated the relation between uncertainty at the national level and firms' sustainability performance. Firms with better sustainability performance had higher firm value when facing uncertainty. Interestingly, firms with higher profitability performed better in sustainability when facing uncertainty at the national level. © 2020 Elsevier B.V."
10.3390/ijerph17228562,"This narrative review examined strategies for preparedness and response to mental health impacts of three forms of climate change from a services perspective: (1) acute and extreme weather events such as hurricanes, floods, and wildfires, (2) sub-acute or long-term events such as droughts and heatwaves; and (3) the prospect of long-term and permanent changes, including higher temperatures, rising sea levels, and an uninhabitable physical environment. Strategies for acute events included development and implementation of programs and practices for monitoring and treating mental health problems and strengthening individual and community resilience, training of community health workers to deliver services, and conducting inventories of available resources and assessments of at-risk populations. Additional strategies for sub-acute changes included advocacy for mitigation policies and programs and adaptation of guidelines and interventions to address the secondary impacts of sub-acute events, such as threats to livelihood, health and well-being, population displacement, environmental degradation, and civil conflict. Strategies for long-lasting changes included the implementation of evidence-based risk communication interventions that address the existing and potential threat of climate change, promoting the mental health benefits of environmental conservation, and promoting psychological growth and resilience. © 2020 by the authors. Licensee MDPI, Basel, Switzerland."
10.1016/j.socscimed.2020.113298,"Global climate change has the potential to disrupt agricultural systems, undermine household socioeconomic status, and shape the prevalence and distribution of diseases. Each of these changes may influence children's nutritional status, which is sensitive to food availability, access, and utilization, and which may have lasting consequences for later-life health and socioeconomic outcomes. This paper contributes to the emerging literature on climate and child health by studying the effects of temperature and precipitation exposures on children's height and weight in Indonesia. Drawing on five rounds of the Indonesian Family Life Survey (IFLS) implemented between 1993 and 2015, we estimate fixed-effects regression models of height-for-age (HFA) and weight-for-height (WFH) among samples of children ages 24–59 months and 0–23 months, respectively. We test for heterogeneity in these effects across sub-populations expected to vary in their vulnerability. Results show that delays in monsoon onset are consistently associated with worse child health outcomes. Delays in monsoon onset during the prenatal period are associated with reduced child height among children age 2–4 years. The weight of young (<2 years) children is adversely affected by delays in the most recent monsoon season, and this relationship is particularly strong among residents of Java. Overall, our results underline the need for interventions that protect children's nutrition and underlying health against the effects of climate change. © 2020 Elsevier Ltd"
10.1016/j.jeem.2020.102360,"We present a novel data set of subnational economic output, Gross Regional Product (GRP), for more than 1500 regions in 77 countries that allows us to empirically estimate historic climate impacts at different time scales. Employing annual panel models, long-difference regressions and cross-sectional regressions, we identify effects on productivity levels and productivity growth. We do not find evidence for permanent growth rate impacts but we find robust evidence that temperature affects productivity levels considerably. An increase in global mean surface temperature by about 3.5°C until the end of the century would reduce global output by 7–14% in 2100, with even higher damages in tropical and poor regions. Updating the DICE damage function with our estimates suggests that the social cost of carbon from temperature-induced productivity losses is on the order of 73–142$/tCO2 in 2020, rising to 92–181$/tCO2 in 2030. These numbers exclude non-market damages and damages from extreme weather events or sea-level rise. © 2020 The Authors"
10.1038/s43017-020-0079-1,"Restrictions to reduce human interaction have helped to avoid greater suffering and death from the COVID-19 pandemic, but have also created socioeconomic hardship. This disruption is unprecedented in the modern era of global observing networks, pervasive sensing and large-scale tracking of human mobility and behaviour, creating a unique test bed for understanding the Earth System. In this Perspective, we hypothesize the immediate and long-term Earth System responses to COVID-19 along two multidisciplinary cascades: energy, emissions, climate and air quality; and poverty, globalization, food and biodiversity. While short-term impacts are dominated by direct effects arising from reduced human activity, longer-lasting impacts are likely to result from cascading effects of the economic recession on global poverty, green investment and human behaviour. These impacts offer the opportunity for novel insight, particularly with the careful deployment of targeted data collection, coordinated model experiments and solution-oriented randomized controlled trials, during and after the pandemic. © 2020, Springer Nature Limited."
10.1080/00963402.2020.1806574,"“Green recovery” presents an opportunity for governments to confront climate change as they work to overcome the economic fallout of the COVID-19 pandemic. Yet many corporate and financial leaders are increasingly focused on the urgent need to forestall far graver long-term risks by more firmly reorienting the economy toward a zero-carbon future. Despite the severity of the immediate health and economic crises, a growing number of top global companies are publicly committing to net-zero goals. Oil-and-gas giants BP and Shell recently took multibillion-dollar write-downs on their fossil fuel assets, a telling sign of a gathering energy transition, and BlackRock, the world’s largest asset manager, has begun screening investments for their climate implications. Dozens of the world’s central bankers recently underscored the links between the two crises, calling the pandemic “a real-life stress test of what we could potentially experience in an increasingly unstable climate.” Enormous political and economic obstacles remain, and much hinges on the US election and the course of the pandemic. But the compelling economic case for climate action–both for near-term recovery and to avert profound long-term risks–could soon help create unprecedented openings for strong government action. © 2020 Center for Climate and Energy Solutions."
10.1039/9781788012744-00008,"Meeting the ambitious long-Term temperature goal of the Paris Agreement necessitates far-reaching changes in the global energy system and economy. Understanding both physical constraints on this transition, as well as economic constraints on the deployment of various technologies, can help to assess what role carbon capture and storage (CCS) can play in achieving this transition over the remainder of the century. This chapter reviews the necessary physical climate science to understand the role of CCS in limiting warming. We describe how the concept of a finite ""carbon budget"" arises out of interactions between the carbon-cycle and the rest of the climate system. A clear physically-based requirement for achieving the long-Term temperature goal of the Paris Agreement is the necessity of reaching global net-zero carbon dioxide emissions into the atmosphere. Based on this insight, we undertake a high-level but informative decomposition of Integrated Assessment Model (IAM) emissions reduction scenarios into contributions arising from the substitution of demand for carbon dioxide, and from the sequestration of carbon dioxide. In all scenarios that allow for the availability of CCS, the cost-effective solution offsets 20% or greater of business-As-usual end-of-century CO2 emissions with CCS and/or negative emissions technologies. We highlight the need for the sequestered fraction of extracted carbon, a potentially useful climate policy measure, to rise to reach unity in order to limit warming to any value and describe a near-Term schedule for increases in this fraction compatible with IAM-simulated cost-effective pathways that succeed in meeting the Paris Agreement long-Term temperature goal. © The Royal Society of Chemistry 2020."
10.3390/en12244644,"This study aims to explore the casual relationship between agricultural production, economic growth and carbon dioxide emissions in Pakistan. An autoregressive distributed lag (ARDL) model is applied to examine the relationship between agricultural production, economic growth and carbon dioxide emissions using time series data from 1960 to 2014. The Augmented Dickey-Fuller (ADF), Phillips-Perron (PP) and Kwiatkowski-Phillips-Schmidt-Shin (KPSS) tests are used to check the stationarity of variables. The results show both short-run and long-run relationships between agricultural production, gross domestic product (GDP) and carbon dioxide emissions in Pakistan. From the short-run estimates, it is found that a 1% increase in barley and sorghum production will decrease carbon dioxide emissions by 3% and 4%, respectively. The pairwise Granger causality test shows unidirectional causality of cotton, milled rice, and sorghum production with carbon dioxide emissions. Due to the aforementioned cause, it is essential to manage the effects of carbon dioxide emissions on agricultural production. Appropriate steps are needed to develop agricultural adaptation policies, improve irrigation facilities and introduce high-yielding and disease-resistant varieties of crops to ensure food security in the country. © 2019 by the authors."
