DOI,Author(s),Year,Paper Title,Link to paper,Paper ID,Reviewer,Status,Country(ies),Outcome(s) of Interest,Drivers of Risk,Scenario(s),Methodology,Highlights,More Notes,Applicability,Calibration Approach,Hazard definition,Impact persistence,Space disaggregation,Impact interactions,Economic dynamics,Climate features,Adaptation considered,Impacted Sector,Benefits of Adaptation,Costs of Adaptation,Ante/Post?,Planning Process,"""Soft Options""",Sufficiency Definition,Soft Options
10.1108/IJCCSM-04-2018-0030,Hossain M.S. et al.,2019,Climate change and crop farming in Bangladesh: an analysis of economic impacts,https://pdfs.semanticscholar.org/1a2e/4cda009136a3d85ddaab4495ca9e1e9bf743.pdf,10.1108/IJCCSM-04-2018-0030,AI,Step 5,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2019.01.172,Najafi E. et al.,2019,Climate drives variability and joint variability of global crop yields,https://repository.library.noaa.gov/view/noaa/48702/noaa_48702_DS1.pdf,10.1016/j.scitotenv.2019.01.172,AI,Step 5,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.ecss.2018.12.021,Veettil B.K. et al.,2019,"Mangroves of Vietnam: Historical development, current state of research and future threats",https://cris.brighton.ac.uk/ws/files/5456169/Mangroves_of_Vietnam.pdf,10.1016/j.ecss.2018.12.021,AI,Step 5,"Unable to determine based on provided information. Mangrove ecosystems suggest tropical and subtropical coastal countries, but specific countries are not identified.","Carbon storage, coastal protection, mangrove protection, reduced maintenance costs, fish stocks decrease, saltwater intrusion, water pollution, socio-economic development, economic and ecological benefits, disaster losses reduction, shoreline stabilization, carbon sequestration, nutrient and sediment retention, biodiversity, flood attenuation, wastewater treatment, water supply, mangrove restoration, fisheries, aquaculture.","Shrimp farming, mangrove deforestation, aquaculture expansion, coastal development, sea level rise, erosion, typhoons, saline water intrusion, flooding, storm surge, tidal changes, herbicide aftermath, Vietnam War, timber exploitation, economic vs. conservation conflict, land reforms misappropriation, rainfall decrease, storm intensity increase.","Unable to determine scenario names based on the provided note, which focuses on mangrove ecosystems.",Mapping and monitoring mangrove vegetation and ecosystem.,"Mangrove ecosystems in Vietnam, particularly in the Mekong Delta (60% of the nation's mangroves), offer significant economic and ecological benefits, including coastal protection, fisheries support, and local livelihoods. Community-based restoration projects and co-management models can protect and enhance these benefits, contributing to disaster risk reduction. Hydrological factors affecting mangroves are climate change sensitive, highlighting the importance of mangrove restoration as a soft defence option for coastal management.","Mangrove forests in Vietnam significantly impact socio-economic conditions and livelihoods, particularly for economically deprived communities. The Vietnamese government faces challenges balancing economic development with mangrove conservation, especially regarding aquaculture. The Vietnam Red Cross has actively engaged in community-based mangrove plantation since 1994. Mangroves provide crucial ecosystem services, including carbon sequestration, and are vital for fisheries and aquaculture, but are vulnerable to sea level rise and human activities.",Adaptation,,,,,,,,,"Potentially coastal and marine-dependent sectors, such as fisheries, tourism, and coastal protection.","The provided text snippet only mentions mapping and monitoring of mangrove ecosystems, not the quantification of adaptation benefits. Therefore, it doesn't provide an answer to the question of how adaptation benefits are quantified.",This document snippet does not provide information on how costs of adaptation are quantified. It only mentions mapping and monitoring mangrove ecosystems.,Ex-post observations.,"Mapping and monitoring mangrove vegetation and ecosystem is a crucial part of the adaptation planning/decision-making process. It allows for the assessment of current conditions, identification of vulnerable areas, and the development of strategies to enhance resilience against climate-related risks. This information is vital for informing policy-making, resource allocation, and long-term planning to mitigate the impacts of climate change on coastal and marine ecosystems.",,"The provided excerpt focuses on mangrove mapping and monitoring, which does not directly address the concept of sufficient adaptation levels or what it means to be well-adapted to climate change. Therefore, I cannot answer your question based on this information.","Soft options, such as mapping and monitoring mangrove ecosystems, provide benefits through improved information and knowledge. This enhanced understanding can inform better-targeted and more effective adaptation strategies, leading to more efficient resource allocation and ultimately greater resilience to climate change impacts."
10.1371/journal.pone.0213378,Dolfing A.G. et al.,2019,"The effects of network topology, climate variability and shocks on the evolution and resilience of a food trade network",https://journals.plos.org/plosone/article/file?type=printable&id=10.1371/journal.pone.0213378,10.1371/journal.pone.0213378,AI,Step 5,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/s10113-019-01477-9,Harrison P.A. et al.,2019,Understanding high-end climate change: from impacts to co-creating integrated and transformative solutions,https://nora.nerc.ac.uk/id/eprint/522342/1/N522342PP.pdf,10.1007/s10113-019-01477-9,AI,Step 5,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/s10640-017-0198-4,De Cian E. & Sue Wing I.,2019,Global Energy Consumption in a Warming Climate,https://www.scrim.psu.edu/assets/pdfs/Decian_working_paper_2016.pdf,10.1007/s10640-017-0198-4,AI,Step 5,"The analysis includes 18 countries, but the specific country names are not mentioned in the provided notes.","Energy demand: sectoral, regional, global; final energy consumption; weather-sensitive energy demand; energy consumption (aggregate, residential electricity); energy demand as % of GDP; GDP per capita (log real); impacts on energy poverty.","Temperature, Humidity, Climate Change, Warming Scenarios, RCP 4.5, RCP 8.5, Socioeconomic Development, Energy Demand, Temperature Extremes, Precipitation, Economic Growth, Sectoral Changes, Weather Patterns, Exposure, Cooling, Heating, Vector Intervals, Radiative Forcing, Uncertainty, Temperature Elasticities, GDP Elasticity, Regional Impact, Sectoral Energy Use, Global Warming, Environmental Conditions.","RCP 4.5, RCP 8.5, SSP5","The methodology employs econometric analysis, specifically error correction models and panel data regressions with short-run (first-differenced) and long-run (lagged) terms, to estimate the impact of temperature and humidity on energy demand and economic outcomes. It uses temporal exposure to temperature intervals to capture non-linear responses. The models distinguish between short- and long-run effects, controlling for factors like country fixed effects, other economic variables (e.g., GDP), and proxies for capital stock adjustments. Future energy demand is projected by combining estimated elasticities with ESM temperature projections (RCP 4.5 and RCP 8.5 scenarios) and SSP socioeconomic scenarios. Aggregation of meteorological data across spatial and temporal scales is considered. Sensitivity analysis is performed on parameter estimates and modeling approaches to assess uncertainty, including examining the impact of different capital proxies, and focusing on the year 2050. The analysis considers heterogeneity in demand response across sectors, fuels, and regions and examines the spatial distribution of future changes in energy demand.","Climate change is expected to increase global energy demand, particularly in tropical regions, though this effect is secondary to economic expansion. Impacts are geographically uneven and disproportionately affect low- and middle-income countries, leading to a regressive redistribution of energy consumption towards tropical regions and summer months. The effect on energy demand varies across sectors (industry, residential, agriculture), regions (South America, Asia, Africa see increases; Europe, North America, Oceania mixed responses), and energy sources. Uncertainty in income and temperature responses leads to wide ranges in projected energy demand increases. Dynamic modeling is crucial for accurate projections, as static models produce different elasticity estimates. Short-run responses underestimate long-run effects, which are tied to adjustments in capital stock (quantity and energy efficiency). Extreme temperatures and humidity have significant short- and long-run impacts on GDP per capita, varying by region and sector, with fuel choices also influencing GDP. While economic expansion significantly increases energy demand in the tropics, climate change adds to this.","The paper examines the complex relationships between climate change, particularly temperature variations, and energy demand across various global regions and sectors. It underscores significant projected increases in energy demand in South America, Asia, and Africa, and presents mixed responses in Europe, North America, and Oceania. The analysis focuses on three primary energy commodities—electricity, fuel oil, and natural gas—across four economic sectors: residential, commercial, industrial, and agriculture. The study highlights the nonlinear nature of energy demand sensitivity to meteorological variables, emphasizing that relative humidity better represents cooling demands, while specific humidity is used to reduce correlation with temperature. 

The research suggests that future energy systems will significantly differ from current consumption patterns, potentially affecting GDP through changes in energy costs and availability. Findings indicate a shift towards electricity in the 2050 energy mix, with tropical countries adjusting more swiftly to weather shocks than their temperate counterparts. Long-term energy demand responses to temperature change are more pronounced than short-term effects.

Regional disparities are evident, with tropical areas anticipating more significant energy demands, which may imply broader macroeconomic impacts. The analysis differentiates the energy demand impacts across different sectors, masking heterogeneity that aggregate analyses often overlook. Data limitations mean that detailed sectoral breakdowns do not directly translate changes in energy demand into economic output or fiscal consequences, yet these impacts can be inferred.

Regression analyses isolate temperature and natural gas impacts on economic output, revealing non-additive uncertainties in GDP and temperature response effects. Proxy measures like real per capita GDP and aggregate capital stock provide insights into capital adjustments affecting energy-intense durables.

Overall, the study employs different regression models to explore variations across regions and sectors, acknowledging uncertainty ranges in the estimated impacts and suggesting interpretative caution due to barriers in energy access and assumptions about energy systems.",Macroeconomic/Fiscal,Econometric,Acute shocks,Adaptive,Local,Sectoral Interactions,Transitional (accounting for changes over time),,"Adaptation is accounted for indirectly through the econometric modeling of energy demand responses to temperature and humidity changes, considering long- and short-run effects of these climatic variables. The analysis incorporates future climate states and socioeconomic projections (RCPs and SSPs) to simulate impacts on energy consumption across sectors and regions, thereby reflecting adaptive responses. Sensitivity analysis evaluates the impact of uncertainties in projections, combining temperature interactions and capital stock proxies. These projections reveal adaptation considerations within demand responses to varying climate and socioeconomic conditions by 2050.",,,,,,,,
10.1007/978-3-030-05252-2_7,Groves D.G. et al.,2019,Robust Decision Making (RDM): Application to Water Planning and Climate Policy,https://library.oapen.org/bitstream/handle/20.500.12657/22900/1/1007261.pdf#page=143,10.1007/978-3-030-05252-2_7,AI,Step 5,,,,,,,,,,,,,,,,,,,,,,,,
10.1126/sciadv.aaw1976,Anderson W.B. et al.,2019,Synchronous crop failures and climate-forced production variability,https://westonanderson.github.io/files/Anderson2019_synchronous.pdf,10.1126/sciadv.aaw1976,AI,Step 5,,,,,,,,,,,,,,,,,,,,,,,,
10.1073/pnas.1817205116,Bamber J.L. et al.,2019,Ice sheet contributions to future sea-level rise from structured expert judgment,https://hofdere-hed-energie.ch/docs/Stellungnahme_Initiative_2_Beilage2.pdf,10.1073/pnas.1817205116,AI,Step 5,,,,,,,,,,,,,,,,,,,,,,,,
10.1057/s41599-018-0083-y,Crespo Cuaresma J. et al.,2018,Will the Sustainable Development Goals be fulfilled? Assessing present and future global poverty,https://core.ac.uk/download/pdf/154836584.pdf,10.1057/s41599-018-0083-y,AI,Step 5,"Globally, all countries are considered.","Poverty rates, poverty headcount (extreme poverty), income per capita, SSP scenarios.","Shared Socioeconomic Pathways (SSPs), climate change, economic growth, demographic trends, income distribution, GDP per capita, education, population growth, income inequality, fossil fuel demand, trade policy, total factor productivity, capital intensity, human capital, development policy, SSP1, SSP2, SSP3, SSP4, SSP5, poverty modeling, uncertainties in income trends.",The outcomes were analyzed under different SSP (Shared Socioeconomic Pathways) scenarios.,"The study projects global poverty headcounts to 2030 by combining income distribution estimates with macroeconomic projections of population and income per capita under various climate change scenarios (SSPs). Methodologically, it establishes a poverty baseline, now-casts to the present, and projects forward using GDP projections from sources like the IMF and the ENV-Growth model, incorporating income projections from SSP scenarios derived from models such as Dellink et al. (2017) and Crespo-Cuaresma (2017). Income distribution is reconstructed using databases like World Bank PovCal, Poverty and Equity Database, and UNU-WIDER's World Income Inequality Database, employing country-specific Beta-Lorenz curves and regression-based poverty estimates for countries with missing income distribution data. Averages are taken across 3-year periods to mitigate business cycle effects. The analysis compares poverty scenarios under different SSPs to assess progress towards poverty eradication and classifies countries based on SDG attainment to compare poverty reduction speeds.","Projected global poverty reduction by 2030 varies significantly across SSP scenarios, particularly in Sub-Saharan Africa, where achieving SDG 1 (poverty eradication) will be challenging without further policy intervention. The scenarios also differ in their implications for income inequality, with some promoting more equal distribution and others exacerbating disparities. Initial GDP per capita and its growth significantly influence poverty rates, highlighting the importance of economic development. The projections are considered the best available estimates of poverty trends for the SDG timeframe.","Poverty projections are presented for all countries using Shared Socioeconomic Pathways (SSPs), considering mitigation and adaptation challenges. SSP2, a relatively optimistic income convergence scenario, is the benchmark. Projections assume no change in within-country income distribution and emphasize human capital accumulation's impact on labor productivity and technological progress. Beta-Lorenz curves ensure consistency across countries, but limitations exist due to survey data exclusions and a lack of cost-of-living adjustments.",Macroeconomic/Fiscal,Econometric,,,Global,,Transitional (accounting for changes over time),,"Adaptation strategies are not explicitly modeled. The framework focuses on projecting poverty headcounts based on GDP projections from various climate change scenarios (SSPs) and macroeconomic models, while keeping income distributions within countries relatively fixed. The analysis primarily assesses the impact of climate change on poverty through macroeconomic pathways, without incorporating specific adaptation measures or policies.",,,,,,,,
10.1016/j.esr.2018.12.008,Carvajal P.E. et al.,2019,"Large hydropower, decarbonisation and climate change uncertainty: Modelling power sector pathways for Ecuador",https://core.ac.uk/download/pdf/195313427.pdf,10.1016/j.esr.2018.12.008,AI,Step 5,Ecuador,Power system costs; NDC fulfillment; Electricity GHG emissions (2015-2050); Electricity generation cost; Marginal cost; Cumulative investment costs.,"Climate change impacts (hydropower, hydroclimatic variables, rainfall variation - wet/dry); Policy decisions (hydropower development - boost/constrain/environment priority); Alternative energy availability/cost (biomass, solar, wind, natural gas); GCM projection uncertainty.","RCP4.5 CMIP5 (NoCC, Mean, Wet, Dry)","The methodology involves using the TIMES-EC energy system optimization model, based on a mixed-integer linear programming formulation, to explore least-cost options for Ecuador's hydropower-focused energy system until 2050. Climate change scenarios derived from Global Circulation Models, specifically NoCC, Mean, Wet, and Dry scenarios using RCP4.5 CMIP5, are utilized to evaluate hydropower availability and examine long-term energy pathways under varying policy cases: Boost Hydropower, Constrain Hydropower, and Environment Priority. The analysis covers the impact of climate and policy variations on electricity-related GHG emissions, energy system costs, and operational flexibility across project sizes and river basins, considering multiple energy sources such as hydropower, solar PV, biomass, wind, natural gas, and CCS, from 2015 to 2050.","Hydropower is vital for Ecuador's energy security, low electricity prices, and GHG emission mitigation. Climate change and development constraints, however, threaten its long-term effectiveness and NDC target fulfillment. Constraining hydropower significantly increases emissions, potentially exceeding NDC targets, making biomass a critical alternative, though its resource availability and environmental impacts require further study. The choice of hydropower development strategy impacts electricity prices more than future climate variations. Alternative energy sources such as natural gas, biomass and geothermal may hedge against risks.","The study analyzes Ecuador's power system, focusing on the impact of climate change on hydropower, a crucial element of the country's NDC. Energy modeling is used with Ecuador-specific assumptions, socio-economic drivers, and policy cases to explore climate vulnerabilities. Long-term uncertainty in hydropower production and various evolutionary pathways for the energy system are examined based on policy decisions. Higher temperatures and extreme hydrological conditions pose risks to biomass resources, and solar PV is identified as the preferred solar technology over CSP with thermal energy storage, with CCS technologies deemed too costly to implement. The study evaluates trade-offs between hydropower development policies, considering economic costs, GHG emissions, energy security, and climate risks.",Adaptation,,,,,,,,,"Yes, the energy sector, specifically hydropower, is significantly impacted.","The paper uses the TIMES-EC energy system optimisation model to quantify the benefits of adaptation in Ecuador's hydropower-dominated power system. By simulating different climate change scenarios and policy cases, the model projects electricity system costs and GHG emissions from 2015-2050. The benefits of adaptation are implicitly quantified by comparing the costs and emissions outcomes of different policy scenarios under varying climate conditions, highlighting the least-cost and most environmentally friendly adaptation pathways.","The costs of adaptation are quantified using the TIMES-EC energy system optimization model. This model uses climate change scenarios as input to determine the least-cost options for the hydropower-dominated Ecuadorian power system up to 2050, considering various energy sources, technologies, and policy scenarios. The model simulates future policy decisions and climate variations to project electricity system costs.",The analysis relies on ex-ante modeling.,"The paper focuses on using the TIMES-EC energy system optimisation model to assess the impact of climate change scenarios and energy policy decisions on the Ecuadorian power system, particularly hydropower. It explores different pathways for the energy sector under varying climate conditions and policy choices, analyzing costs and GHG emissions. The model simulates the effects of these scenarios on electricity system costs from 2015-2050, considering various energy sources and technologies. Adaptation planning/decision-making is represented through the formulation of different policy cases (Boost Hydropower, Constrain Hydropower, Environment Priority) developed to explore long-term energy system pathways under different energy and environmental policy decisions.",,"This paper does not directly define ""sufficient adaptation levels."" Instead, it uses an energy system optimization model (TIMES-EC) to assess the costs and benefits of different energy policy choices (e.g., boosting hydropower vs. environmental priorities) under various climate change scenarios in Ecuador's power system. ""Well-adapted,"" in the context of this paper, would likely mean the energy system pathway that minimizes electricity system costs and/or GHG emissions while maintaining reliable electricity supply under a range of climate conditions. However, the paper itself does not explicitly define or quantify a specific threshold for ""sufficient adaptation.""","The provided text snippets do not contain information about the benefits of ""soft options"" (e.g., informational and institutional interventions) for climate change adaptation. The study focuses on modeling the power system under different climate scenarios and energy policies using a bottom-up optimization model."
10.1111/wej.12352,Ives M.C. et al.,2018,Navigating the water trilemma: a strategic assessment of long-term national water resource management options for Great Britain,https://core.ac.uk/download/pdf/196583127.pdf,10.1111/wej.12352,AI,Step 5,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pmed.1002599,Abel D.W. et al.,2018,Air-quality-related health impacts from climate change and from adaptation of cooling demand for buildings in the eastern United States: An interdisciplinary modeling study,https://pdfs.semanticscholar.org/b3f3/e3c9ffa1e716ae53e82ae238a368c60b3b0d.pdf,10.1371/journal.pmed.1002599,AI,Step 5,The provided notes do not explicitly state the country or group of countries considered in the study.,"Air quality; Health impacts; Premature mortality; Morbidity; Cooling demand; Climate change adaptation; Air pollution (PM2.5, Ozone, NOx, SO2); Economic costs; Willingness to pay; Cost of illness; Value of statistical life; Electricity demand; Increased emissions; Hospital admissions; Respiratory symptoms; Restricted activity days; Work loss days; School loss days; Mortality damages; Ohio River Valley.","Climate change, increased temperature, cooling demand, air conditioning, power sector emissions, air quality, PM2.5, O3, CO2 emissions, NOx, SO2, fossil fuels, electricity generation, health risks, adaptation strategies.","Present-day (PD), mid-century climate only (MCCO), mid-century adaptation (MCA), A2 emissions scenario.","The methodology involves an interdisciplinary linked model system (WRF, RBESS, MyPower, CMAQ, BenMAP) to simulate climate, energy demand, power sector emissions, air quality, and health outcomes. It downscales meteorology from NARCCAP (A2 emissions scenario) and selects a single year (2069) from CCSM version 3 downscaled with WRF to represent a mid-century summer. RBESS models building energy demand. Air quality is simulated using CMAQ (for July), and health impacts are assessed using BenMAP with concentration-response functions and Monte Carlo ensembles. The analysis compares present-day (PD), mid-century climate-only (MCCO), and mid-century adaptation (MCA) scenarios, focusing on the incremental impact of increased air conditioning use on air quality (PM2.5 and O3) and premature mortality, estimated annually based on July modeling, using concentration-response functions. The study does not account for interaction effects between pollutants and maintains existing power plant inventory.","Climate change-driven increases in cooling demand, and subsequent adaptation via increased air conditioning use, worsen air quality, particularly through increased PM2.5 and ozone concentrations. This leads to a significant increase in premature mortality and related economic costs (estimated at $32.5 billion), potentially offsetting some benefits of adaptation and resulting in an 8.7% increase in mortality compared to climate change alone. The increased electricity demand from air conditioning necessitates cleaner energy sources and energy efficiency to mitigate these adverse health impacts; with the Ohio River Valley being particularly affected. While some regions may see slight improvements, many experience increased air pollutant emissions.","Study focuses on air-quality-related health impacts in the eastern US, specifically from power plant emissions driven by increased electricity demand for air conditioning in July. It quantifies air pollution and health impacts of this adaptation mechanism, which are often excluded in air quality modelling. Findings are exploratory due to the short timeframe, single year of climate simulations, and a focus on interactions between climate, energy, and air quality. It doesn't monetize health impacts or directly compare heat-related mortality reduction from air conditioning with pollution effects. The study doesn't account for coal plant retirements, renewable energy investments, or future changes in population, building stock, or the power sector. Results highlight the role of biogenic emissions in PM2.5 increases. Mortality results are emphasized, with morbidity results in supporting tables. PM2.5 and Ozone impacts are assessed, but their independent health impact estimates cannot be directly summed. Building energy efficiency and renewable energy are mentioned as alternatives to end-of-pipe controls.",Adaptation,,,,,,,,,"The paper focuses on the health sector and the power sector, analyzing how increased air conditioning use (adaptation) impacts air quality and, consequently, health outcomes (mortality) due to increased power sector emissions.","The study quantifies the benefits of adaptation (specifically, increased air conditioning use in response to climate change) by modeling its impact on air quality and subsequent health outcomes. It uses an interdisciplinary model system to simulate climate, building energy demand, power sector emissions, air quality (PM2.5 and Ozone), and health impacts. Benefits are indirectly assessed by calculating the change in premature mortality rates (avoided deaths) and associated economic costs by comparing scenarios with and without adaptation (increased AC use) using concentration-response functions and valuation methods applied to the modeled changes in air pollution. The analysis focuses on the mid-century climate and extrapolates from July results to estimate annual impacts.","The study quantifies adaptation costs (specifically, the health impacts of increased air conditioning use in response to climate change) by modeling the impact of this adaptation on air quality (PM2.5 and Ozone concentrations) and subsequent health outcomes. It uses an interdisciplinary linked model system (WRF, RBESS, MyPower, CMAQ, BenMAP) to simulate climate, energy demand, air quality, and health impacts. Concentration-response functions are then used to estimate premature mortality and associated economic costs based on changes in air pollutant concentrations between scenarios with and without adaptation. The analysis focuses on a single summer month (July) to estimate annual impacts.",The analysis relies on ex-ante modeling. It uses simulations and computer models to project future climate scenarios (mid-century) and the impacts of adaptation strategies.,"The paper focuses on modeling the impacts of a specific adaptation strategy (increased air conditioning use) on air quality and health in a mid-century climate scenario. It doesn't discuss the broader adaptation planning/decision-making process, but rather models the consequences of a specific adaptive behavior to understand its potential unintended consequences (exacerbated air pollution and health impacts).",,"This paper doesn't explicitly define ""sufficient adaptation levels"" or what it means to be ""well-adapted."" Instead, it implicitly assesses adaptation by comparing air pollution and health impacts in a mid-century climate scenario *without* adaptation (MCCO) to a scenario *with* adaptation (MCA) focusing on increased air conditioning use, relative to present-day (PD). The study quantifies the *incremental* impact of adaptation on air quality and health, rather than establishing a threshold of ""sufficient"" adaptation. Therefore, ""adaptation"" in this paper really means increased air conditioning use.","This paper focuses on the costs (specifically, air quality and health impacts) of a ""hard"" adaptation measure (increased air conditioning use) in response to climate change. It does not directly address the benefits of ""soft options"" like informational or institutional interventions. Therefore, based solely on the provided text, the benefit of ""soft options"" cannot be determined."
10.1073/pnas.1800442115,Scheelbeek P.F.D. et al.,2018,Effect of environmental changes on vegetable and legume yields and nutritional quality,https://researchonline.lshtm.ac.uk/id/eprint/4648192/1/The%20effect%20of%20environmental%20change%20on_GREEN%20AAM.pdf,10.1073/pnas.1800442115,AI,Step 5,,,,,,,,,,,,,,,,,,,,,,,,
10.15666/aeer/1605_69636976,Doğan H.G.,2018,"Nexus of agriculture, gdp, population and climate change: Case of some eurasian countries and Turkey",https://www.aloki.hu/pdf/1605_69636976.pdf,10.15666/aeer/1605_69636976,AI,Step 5,Eurasian countries and Turkey.,"GDP, GDP per capita, CO2 emissions, economic costs, global warming, Eurasia, agricultural added value, environmental destruction, underdeveloped countries, developing countries, developed countries, macroeconomic balances.","Population; CO2 emissions; Greenhouse gas emissions (electricity, agriculture, transportation); Agriculture (field use, added value, cultivation practices, product patterns); GDP per capita; Urbanization; Human activity.","This study does not appear to explicitly utilize specific socioeconomic or climate scenarios. The analysis is based on econometric modeling (ARDL, VECM) of historical data from 1993 to 2016 for Eurasian countries and Turkey.","The study uses econometric methods, including ADF unit root tests, ARDL, and VECM, to analyze the relationships between CO2 emissions, agricultural land, agricultural added value, GDP, and population in Eurasian countries and Turkey from 1993 to 2016. Panel data analysis was conducted for 12 Eurasian countries, and time series analysis for Turkey. Unit root tests assessed variable stationarity. ARDL models were employed to investigate long-run relationships, while VECM was used to determine both short- and long-run causality. A lag length of 2 was determined for the VECM. The scope is limited to the Eurasian region and Turkey and the timeframe ending in 2016. The paper also references existing calculations and studies on the economic cost of global warming.","Highlights: Population is a key driver of CO2 emissions. A 1°C temperature increase could cost $2 trillion annually by 2050. Eurasian countries generally show correlated movements between agricultural added value, population, and GDP. Turkey's trends in CO2 emissions mirror those of agricultural area, value, population, and GDP. GDP per capita's impact on CO2 emissions differs between Eurasia (positive) and Turkey (negative). GDP growth may eventually reduce CO2 levels. Short-term causal relationships between these variables also differ between Eurasia and Turkey. Eurasia experiences faster correction of CO2 level deviations compared to Turkey.","Eurasian countries (using World Bank 2017 data) and Turkey are studied, focusing on the impact of climate change across sectors, notably agriculture. Agriculture is the most sensitive to climate change and, despite a declining share of agricultural land since 2005, CO2 emissions are still increasing in Turkey. Analysis considers both short-run causality and long-run effects, contrasting Turkey's situation with the broader Eurasian region, and emphasizes the importance of policy and social awareness in environmental mitigation. Power/heat and agriculture/forestry/land use are identified as major sources of greenhouse gas emissions.",Macroeconomic/Fiscal,Econometric,,Permanent,Regional,,Transitional (accounting for changes over time),,The paper lacks explicit consideration of climate change adaptation. Its primary focus is on econometric modeling to assess relationships between economic variables and CO2 emissions in Eurasian countries and Turkey.,,,,,,,,
10.1057/s41288-017-0075-y,Holzheu T. & Turner G.,2018,"The Natural Catastrophe Protection Gap: Measurement, Root Causes and Ways of Addressing Underinsurance for Extreme Events†",https://www.internationalinsurance.org/sites/default/files/2018-04/The%20Natural%20Catastrophe%20Protection%20Gap.pdf,10.1057/s41288-017-0075-y,AI,Step 5,"53 countries, 45 countries, 51 countries; Advanced economies, Emerging economies, Global.","GDP, uninsured losses, economic losses, natural catastrophes, property insurance penetration, fiscal outcomes, protection gaps, macroeconomic impacts, disaster relief expenditure, underinsurance, economic damages, emerging economies, mature economies, macro-fiscal risks.","Natural catastrophes (earthquakes, floods, windstorms, weather-related events); Economic development (GDP, consumption per capita, savings, urbanization, industrial sector share); Insurance penetration (take-up rate, underinsurance, Sharia-compliant insurance); Risk exposure; Location (emerging economies); Governance (property rights, corruption, political risk, building codes, risk management incentives, safety investment); Technology access.","None explicitly mentioned. The analysis primarily relies on historical data, simulation, and statistical modeling without specifying particular socioeconomic or climate scenarios.","The study employs a mixed-methods approach to analyze the natural catastrophe protection gap and property insurance demand. Methodologies include: analysis of historical loss data from sources like Swiss Re, Oxford Economics, and the World Bank; probabilistic modelling using Monte Carlo simulations to estimate expected losses and generate hazard maps; regression analysis on a panel dataset of 51-53 countries from 2000-2015 (using log-log, log-linear, and random effects models); cross-sectional data analysis to estimate GDP elasticity of premium volumes and a 'best-practice benchmark' for insurance penetration (using a logistic model); analysis of trends in uninsured losses as a percentage of GDP (using time series analysis, often averaged over ten-year periods); calculation of protection gaps by subtracting insured losses from economic losses; correlation analysis; and descriptive statistics and graphical representations (scatter plots, bar charts) to visualize relationships between variables like insurance penetration, economic development, and natural disaster losses. Guy Carpenter's cat price indices are used as a proxy for property insurance prices. The analysis also involves categorizing underinsurance types, and comparing countries and economies. The study uses GDP and consumption per capita for extrapolation and benchmarking of insurance penetration.","There is a significant global protection gap for climate-related and other natural catastrophes, with substantial uninsured losses, especially in emerging economies. Economic development affects insurance demand, yet a disparity between insured and uninsured losses remains, primarily in countries like the US, Japan, and China. Factors like internet access can increase insurance uptake, while issues like political risk and Islamic law can hinder it. Emerging markets show an increasing uninsured loss trend that outpaces GDP growth. Middle-income economies face the highest underinsurance relative to GDP, and despite economic growth, insurance penetration often lags, acting as a substitute for savings. Enhancements in building codes and mandatory insurance schemes can help address underinsurance by narrowing the gap and supporting economic recovery after disasters. The correlation between mortgage penetration and insurance uptake reinforces this. Digital distribution channels can also aid in expanding access. Overall, the gap between actual and best-practice insurance penetration signals a critical underinsurance issue, with potential solutions involving policy mandates and integrating insurance with essential services to reduce fiscal vulnerability and promote recovery.","The study analyzes the property insurance protection gap (uninsured losses) and underinsurance (difference between economically beneficial and actual insurance) using a cross-country panel dataset covering 90% of global GDP. Swiss Re sigma data on disaster losses (threshold of USD 48.8M insured or USD 97.7M total) is used, acknowledging the influence of large earthquakes in the 1970s/80s on emerging market data. The analysis focuses on property damage, estimating value at risk akin to property underwriter models. A USD 153 billion gap estimate may be biased, overestimating by including some self-insured assets, but underestimating by omitting perils like hail and drought. Risk perceptions, buying behavior, and market structure contribute to underinsurance; a 'best-practice benchmark' is derived from top quartile insurance penetration. Analysis controls for inflation/exchange rates by normalizing premiums by GDP. Factors influencing insurance penetration (a proxy for resilience) including financial, demographic, and digital distribution aspects are explored, while noting availability bias in risk perception. Underinsurance types (entirely uninsured, perils not covered, restrictive terms, undervalued) are identified with corresponding strategies. Insurance industry and governments are pivotal through standards and mitigation incentives. Product bundling, simple policies, and trust improve penetration. Index-based insurance and takaful can address underinsurance, requiring strong regulation and Sharia-compliant assets for takaful's success. Government-backed programs and catastrophe bonds play a role. Insurance penetration relates to economic indicators and disaster losses, differing between advanced and emerging economies. Insurance mitigates macroeconomic disaster impacts, emphasizing addressing underinsurance; scatter plots depict relationships between insurance penetration and consumption.",Macroeconomic/Fiscal,Econometric,Acute shocks,,Global,,Transitional (accounting for changes over time),,"The paper primarily focuses on quantifying and analyzing the property protection gap related to natural catastrophes, using historical loss data and insurance penetration rates. Simulation tools estimate expected losses based on hazards, vulnerability, and insured object values. Determinants of insurance penetration are identified using panel data analysis and regression models, with comparisons across countries and time periods. Benchmarking and gap estimation methods are employed to quantify underinsurance.",,,,,,,,
