DOI,Author(s),Year,Paper Title,Background,Methodology,Results,Discussion
10.1371/journal.pone.0304718,Alabia et al.,2024.0,Future redistribution of fishery resources suggests biological and economic trade-offs according to the severity of the emission scenario,"Climate change is anticipated to have long-term and pervasive effects on marine ecosystems, with cascading consequences to many ocean-reliant sectors. For the marine fisheries sector, these impacts can be further influenced by future socio-economic and political factors. This raises the need for robust projections to capture the range of potential biological and economic risks and opportunities posed by climate change to marine fisheries. This study projects future changes in the abundance and distribution of commercially important species in the eastern Bering and Chukchi Seas under different Shared Socioeconomic Pathways (SSPs), highlighting potential impacts on commercial and subsistence fisheries, trans-boundary resource management, and fishing fleet mobility. The study acknowledges limitations from simplified biological/economic assumptions, a limited species subset, and reliance on machine learning models.","The study projects future changes in the abundance and distribution of eight commercially important fish and crab species in the eastern Bering Sea and Chukchi Sea (2021-2100) under different CMIP6 SSPs, using a bioeconomic modeling approach. This approach integrates climate and ocean productivity projections with machine learning algorithms (Random Forest and Boosted Regression Trees) to predict species abundance based on climate layers (including bottom temperatures), summer net primary production (SNPP), and bathymetry, trained using trawl survey data (2000-2019). Ensemble model predictions are used to estimate maximum sustainable yield (MSY), maximum catch potential (MCP), maximum revenue potential (MRP), and maximum profit potential (MPP), considering species-specific population growth rates and assuming constant prices and costs. The analysis also examines shifts in the center of gravity of species abundance and overlaps present-day fishing grounds with aggregated fishing effort data (2012-2020).","Contrasting patterns of abundance and distribution changes across species, time periods, and climate scenarios were revealed, highlighting potential winners and losers under future climate change. The least changes in future species abundance and distribution were observed under SSP126. Under the extreme scenario (SSP585), projected Pacific cod abundance increased and snow crab abundance decreased, with concurrent zonal and meridional future shifts in their centers of gravity. Fishing at the same distance from the current major port in the Bering Sea (i.e., Dutch Harbor) could yield declining catches for highly valuable fisheries (e.g., Pacific cod and snow crab) under SSP585. This is driven by strong decreases in future catches of highly valuable species despite minimal declines in maximum catch potential, which are dominated by less valuable taxa. Shifts in species distribution are minimal under SSP126 and significant under SSP370 and SSP585. Abundance declines are observed in the EBS for abundant cod and flatfish taxa, with increases in the Chukchi Sea, and opposite patterns for low vs. high economic value species. Maximum catch potential (MCP) increases in the Chukchi Sea are driven by low-value taxa. Economic impacts (MRP, MPP) are most significant late-century under SSP585. Increases in MCP do not necessarily translate to increases in MRP and MPP.","Projected changes in abundance and shifting distributions could have important biological and economic impacts on the productivity of commercial and subsistence fisheries in the eastern Bering and Chukchi seas, with potential implications for the effective management of transboundary resources. High greenhouse gas emissions (SSP585) can lead to economic impacts, potentially from the loss of high-value taxa. Redistribution of fishery resources could lead to governance and management issues, fisheries conflicts, overexploitation risks, ecological shifts, and altered predator-prey dynamics. Limited economic impact is expected in well-managed ecosystems under low to moderate climatic changes in the near-term (2021–2040), but mitigation strategies are needed as climate change intensifies. These findings highlight potential impacts on commercial/subsistence fisheries, trans-boundary resource management, and fishing fleet mobility. The study acknowledges limitations from simplified biological/economic assumptions, a limited species subset, and machine learning models."
10.1371/journal.pone.0291577,Zhang Y. et al.,2023.0,"Agriculture, bioenergy, and water implications of constrained cereal trade and climate change impacts","International trade creates intricate connections and dependencies between countries, forming a complex network of global supply chains. The trade of agricultural commodities affects producers, consumers, prices, and the utilization of resources such as water and land. The interactions across these systems can be obscured when external impacts cross multiple sectors. Understanding these connections is crucial to discern how non-linear, globally interlinked agricultural-bioenergy-water systems behave under constraints such as trade restrictions and climate impacts on crops. This study aims to elucidate these interactions by examining the separate and combined effects of trade constraints and climate change impacts on agricultural systems, highlighting their implications on cereal consumption, trade, and production, as well as water and bioenergy resources.","The study utilizes the Global Change Assessment Model (GCAM) version 5.3 to perform a global-scale integrated assessment of the impacts of agricultural trade and climate change on bioenergy-water systems. The analysis spans from 1975 to 2100, with a specific focus on the period between 2015 and 2050 in 5-year increments. The model is systematically perturbed using imposed agricultural trade restrictions and climate-induced crop yield changes, which are explored both independently and in combination through four scenarios: Reference, Import Dependency, Climate Change, and Import Dependency under Climate Change. These perturbations are based on long-term averages derived from a single climate model realization. The study considers sectors' outcomes such as trade, production, price, and consumption changes but does not incorporate explicit adaptation responses.","{'1': 'Cereal import dependency constraints have a larger impact on global cereal consumption and trade than climate change impacts on agricultural yields.', '2': 'The global trade of cereals decreases by approximately 50% in scenarios with zero cereal import dependency by 2050, compared to the baseline.', '3': 'Global irrigation water consumption rises by 3%, and corn ethanol production decreases by 7% in 2050 amidst reduced cereal trade.', '4': 'Climate change leads to higher domestic cereal prices and reduced cereal consumption globally, particularly affecting regions with higher cereal imports.', '5': 'Regional variations are pronounced: the USA shows approximately additive impacts from trade perturbations and climate change, while the Middle East experiences significant shifts in cereal and non-cereal trade and production.', '6': 'Climate change generally causes greater price increases for corn than import dependency constraints, with impacts differing by region.', '7': 'In some regions, reduced cereal trade leads to decreased cereal intake yet higher non-cereal consumption.', '8': 'Regions with low baseline import dependency may adapt by increasing production while those with high dependency face costlier production.', '9': 'Eliminating import dependency elevates vulnerability to domestic disruptions, and trade constraints may partially counter climate change's adverse effects.'}","The exploration of interactions among agricultural trade, climate impacts, and bioenergy-water systems reveals complex dynamics that vary across the globe. While the move toward a zero cereal import dependency significantly diminishes global cereal trade volumes, the direct consequences of climate change on agricultural yields remain significant but less impactful than trade restrictions on cereal consumption and trade. The differentiated regional impacts underscore the importance of context-specific strategies for managing trade and agricultural policies. In the USA, trade constraints may enhance the viability of domestic corn ethanol production, while other regions like the Middle East could confront increased food costs and stress on trade networks. The findings highlight the potential for trade policies to mitigate some climate impacts, yet they also caution against increased vulnerability from diminished international trade flexibility. The research underscores the necessity for more adaptive strategies and comprehensive policy considerations that address both trade and climate dimensions to maintain resilience in global agricultural systems."
10.1126/science.abb7772,Wang et al.,2020.0,Recent global decline of CO2 fertilization effects on vegetation photosynthesis,"The enhanced vegetation productivity driven by increased concentrations of carbon dioxide (CO2) [i.e., the CO2 fertilization effect (CFE)] sustains an important negative feedback on climate warming, but the temporal dynamics of CFE remain unclear. This declining trend in the forcing of terrestrial carbon sinks by increasing amounts of atmospheric CO2 implies a weakening negative feedback on the climatic system and increased societal dependence on future strategies to mitigate climate warming. This study investigates the trends in CFE globally, considering the impacts of nutrient limitations and water availability on GPP.","The study used linear and nonlinear multiple regression, 15-year moving windows, and the Mann-Kendall test to analyze Gross Primary Productivity (GPP) trends from 1982-2015. Data sources included satellite GPP proxies, eddy covariance (EC) flux tower data (excluding sites with large land cover changes), satellite-based Leaf Area Index (LAI), CCDAS GPP data, the EC-LUE model, TRENDY model simulations, and terrestrial water storage data. A linear spatial mixed-effects model was used to link GPP trends with foliar nutrient concentrations. Different climate zones were analyzed to explore the temporal dynamics of CFE at a global scale.","Global CFE has declined across most terrestrial regions of the globe from 1982 to 2015. The decline in CFE correlates well with changing nutrient concentrations and availability of soil water. Current carbon cycle models also demonstrate a declining CFE trend, albeit one substantially weaker than that from the global observations. Declining trends in the carbon fertilization effect (β) are evident across various climate zones and vegetation types, particularly in grasslands and cold climates, with slightly smaller decreases in tropical regions. The decline is attributed to both direct effects on foliar physiology and indirect effects on the leaf area index (LAI), with water availability limitations and environmental factors like nutrient deposition influencing certain areas, while increases in croplands may be driven by management practices.","The observed decline in global CFE suggests a weakening of the negative feedback on climate warming provided by terrestrial ecosystems, and may imply future warming may be underestimated. The discrepancy between observed CFE trends and those predicted by carbon cycle models highlights the need for improved representation of nutrient limitations and water availability in these models. The study's findings emphasize the increased societal dependence on future strategies to mitigate climate warming given the reduced carbon uptake and land-based climate mitigation potential. While adaptation was not explicitly considered in this study's methodology, the results indicate that future climate change models need to include the decreasing rate of Carbon sequestration to better assess the effects of Climate Change."
10.1038/s41558-020-00985-5,Kotz et al. (2021),2021.0,Day-to-day temperature variability reduces economic growth,"Elevated annual average temperature has been found to impact macro-economic growth. However, various fundamental elements of the economy are affected by deviations of daily temperature from seasonal expectations which are not well reflected in annual averages. This study investigates the impact of day-to-day temperature variability on macro-economic growth, independent of changes in annual average temperature. The study highlights the importance of considering acute climate shocks, specifically day-to-day temperature variability, as a driver of risk impacting total factor productivity (TFP).","Fixed-effects panel regression models were used to analyze the impact of day-to-day temperature variability on regional economic growth over 40 years (1979-2018) for 1,537 regions worldwide. The analysis utilized climate data from ERA5, WFDEI, and EWEMBI. The models controlled for various climate factors, including annual average temperature, precipitation, degree days, and seasonal temperature differences, as well as economic factors and fixed regional and yearly effects. Adaptation is not explicitly considered. The study utilizes econometric methods and accounts for transitional economic dynamics.","Increases in seasonally adjusted day-to-day temperature variability reduce macro-economic growth independent of and in addition to changes in annual average temperature. An extra degree of variability results in a five percentage-point reduction in regional growth rates on average. The impact of day-to-day variability is modulated by seasonal temperature difference and income, resulting in highest vulnerability in low-latitude, low-income regions (12 percentage-point reduction). Effects are persistent, and greater vulnerability is noted in lower-income and low-latitude regions.","These findings illuminate a new, global-impact channel in the climate–economy relationship that demands a more comprehensive assessment in both climate and integrated assessment models. Increased day-to-day temperature variability reduces economic growth, particularly in low-latitude and low-income regions, independent of mean temperature and extreme heat events. Adaptation depends on national income and seasonal temperature differences. While spillover effects are acknowledged, they were not assessed in this study. The study demonstrates that day-to-day temperature variability acts as a driver of risk impacting total factor productivity (TFP)."
10.5194/nhess-22-2567-2022,Chan et al.,2022.0,"Comparison of sustainable flood risk management by four countries - the United Kingdom, the Netherlands, the United States, and Japan - and the implications for Asian coastal megacities","Sustainable flood risk management (SFRM) has emerged as a key concept since the 1980s, emphasizing the integration of social, ecological, and economic themes into flood risk management (FRM) practices. While many countries have shown interest in SFRM, its justification remains somewhat embryonic, and its influence on policies varies globally. This study aims to review the evolution from traditional flood management to SFRM in four developed countries: the United Kingdom, the Netherlands, the United States, and Japan. This comparison offers valuable lessons for developing coastal megacities, especially in Asia, which face unique challenges due to rapid urbanization and climate change-induced risks such as sea-level rise and intensified storms.","The study conducted a comprehensive review of flood management experiences across the UK, the Netherlands, the USA, and Japan through a literature review, policy analysis, and a comparative analysis of strategies. The research focused on understanding shifts in flood management approaches over time, especially how these countries integrate sustainability concepts into their policies. Additionally, the paper analyzed flood risk management strategies in several Asian cities to highlight the transition from hard-engineering solutions to more holistic and adaptive approaches that incorporate socio-economic and environmental factors.","The study's key findings include: The UK has implemented strategies such as 'Making Space for Water', Planning Policy Statement 25 (PPS25), and the National Planning Policy Framework (NPPF) to integrate sustainability into FRM. The Netherlands has adopted the 'Room for the River' initiative to mitigate flooding and promote sustainable practices. The USA's approach includes the National Flood Insurance Program (NFIP), which combines insurance with risk management. Japan focuses on advanced flood warning and evacuation systems to enhance climate resilience. Most developing Asian coastal megacities continue relying on hard-engineering solutions, which may be insufficient given rapid urban growth and climate change challenges. There is a growing recognition of the need for 'mixed options' in flood risk management to incorporate social, economic, and environmental considerations.","The study emphasizes the importance of integrating social, ecological, and economic themes into flood risk management strategies for long-term sustainability. Different countries have adopted their interpretations of SFRM, contributing valuable insights into achieving sound flood management practices. While developed countries like the USA, UK, Netherlands, and Japan demonstrate varied approaches towards sustainability, Asian cities face continuous challenges transitioning from traditional methods to adaptive strategies. The paper advocates for the adoption of mixed-option strategies in vulnerable areas, combining traditional methods with socio-economic considerations and climate change adaptation. This research highlights the pressing need for integrating diverse themes into flood management and moving towards sustainable practices to address the dynamic and persistent risks associated with climate change."
10.1007/s10584-020-02940-x,Clay et al. (2020),2020.0,Ocean and coastal indicators: understanding and coping with climate change at the land-sea interface,"The U.S. Exclusive Economic Zone (EEZ) encompasses approximately 3.4 million square nautical miles of ocean and a coastline of over 12,300 miles. Along with the Great Lakes, this vast area generates ~US 370 billion of U.S. gross domestic product, 617 billion in sales and 2.6 million jobs each year. These ocean and coastal ecosystems also provide many important non-market services including subsistence food provisioning, health benefits, shoreline protection, climate regulation, conservation of marine biodiversity, and preservation of cultural heritage. As climatic changes occur, these benefits or ecosystem services may be significantly reduced or in some cases enhanced. These services are also under an array of pressures including over-exploitation of natural resources, pollution, and land use changes that occur simultaneously in synergistic, multiplicative, or antagonistic ways. This results in direct and indirect impacts that are often unpredictable across spatial and temporal scales. The paper examines indicators for tracking climate impacts on U.S. marine resources, focusing on climate change, ocean warming, acidification, sea level rise, extreme weather, GHG emissions, pollution, over-exploitation of resources, land-use changes, sea surface temperature (SST) changes, and arctic sea ice extent as key drivers of risk.","This study utilizes a conceptual model linking climate processes, ocean attributes, and societal needs, employing scalable and flexible indicators developed in close collaboration with the U.S. National Climate Indicators System. Indicator selection criteria emphasized links to climate variables and peer-reviewed support. The methodology incorporated assessment of existing literature, use of experimental data, modeling, and field observations to understand species' sensitivity. Survey data informs observations on shifts in fish distributions and coral bleaching. Vulnerability indicators (social, gentrification, fishing dependence) are developed using landings data and US Census data for coastal communities. Existing monitoring networks are integrated, emphasizing long-term monitoring, synthesis, and data delivery.","Pilot National Climate Indicator System includes SST, arctic sea ice extent, ocean chlorophyll concentration, and sea level rise. Ocean acidification and coral bleaching negatively impact ecosystems. Climate change necessitates updated fishery management. Communities dependent on fishing and under social/gentrification pressure are more vulnerable. Marine mammals/shorebirds indicate ecosystem change.","Tracking the impacts via indicators will be essential to ensure long-term health of the marine environment and sustain the benefits to stakeholders who depend on marine ecosystem services. Tracking climate-related changes in ocean/coastal ecosystems aids in early warnings and resilience. Identified indicators can link climate change to opportunities for mitigation and adaptation. Adaptation is indirectly considered through the development and tracking of social vulnerability indicators and integration of observation networks. A full suite of ecosystem service indicators and improved data delivery are needed. Continued funding to develop new indicators is crucial for systematic monitoring of climate impacts on U.S. marine resources, including regulatory service indicators like aragonite saturation state, coral reef health, Vibrio, and harmful algal blooms. The study highlights the need for improved data delivery."
10.1016/j.wroa.2024.100223,Ross A.G. et al.,2024.0,A macro-level analysis of the socio-economic impacts of climate change driven water scarcity: Incorporating behavioural and resilience aspects,"Recognising the urgent need to address water scarcity resulting from climate change, there is a growing push to enhance the resilience of water (and related) systems. For instance, policymakers are now urging companies to shift from short-term focused strategies towards long-term approaches to effectively manage water scarcity. This paper utilises a custom-built dynamic multisectoral model to assess the socio-economic impacts at a macro-level of temporary water scarcity. The focus of the analysis is to identify the effects that varying levels of investment foresight may have on economic resilience. Specifically, the model incorporates often overlooked factors such as behavioural and resilience aspects. By considering these key elements, a more comprehensive understanding of the system-wide implications of water scarcity on the broader economy is provided. The study addresses climate change-driven water scarcity and its socio-economic impacts, focusing on the effects of firms' investment foresight on economic resilience to temporary water scarcity events (droughts).","The study uses the DEMACRO-ESS, a custom-built dynamic multi-sectoral computable general equilibrium (CGE) model parameterized for Germany on a 2020 Social Accounting Matrix (SAM) at monthly frequency, to simulate the economic impacts of temporal water scarcity by reducing the water efficiency parameter. The model incorporates different investment behavior specifications (perfect foresight, myopic expectations, imperfect foresight) and a nested CES production function with land and water included as natural capital. Sensitivity analysis is performed by varying the Armington trade elasticity. The analysis focuses on month-long scarcity events of varying severity, examining firm investment foresight (Myopic, Imperfect, Perfect) impacts on water scarcity economics. Hazard definition: Stylised changes; Economic dynamics: Adaptive (reflecting shifts in economic behavior in response to impacts); Adaptation considered: Firms' foresight and responses to water scarcity.","The analysis shows how firms' foresight, or lack thereof, impacts their response to water scarcity and the subsequent impact on the economy. Sector-specific analyses shed light on the potential negative impacts of water scarcity on sectors like agriculture, food, and electricity production and distribution. Yet, the analysis also reveals that certain sectors can benefit from competitiveness effects, which can mitigate the adverse economic implications of water scarcity. However, it should be noted that these sectors may contribute to a catch-up effect on water use. Key findings include significant negative impacts on GDP, employment, and investment under myopic foresight scenarios, with agriculture, food, and electricity sectors most affected. Competitiveness effects in some sectors, like motor vehicles, can mitigate economic impacts but may increase water use. An open economy improves GDP and reduces water usage but negatively affects employment. Firms with foresight perform better during water scarcity events.","The policy recommendations arising from this research emphasise the promotion of anticipation and preparedness among firms. It is crucial to prioritise resilience-building measures in all sectors, whether they directly rely on water or not. The study highlights the varying economic resilience to water scarcity across sectors, emphasizing the importance of proactive investment and preparedness. While the model focuses on Germany, the qualitative findings are relevant elsewhere. The study stresses policy for firm anticipation/preparedness. It excludes financial flows, uses fixed tax rates & government expenditure, assumes an import substitution elasticity of 2.7, a CES technology substitution elasticity of 0.3, and assumes business-as-usual for Germany's trade partners."
10.21919/remef.v17i4.794,Lucatello S. & Sánchez R.,2022.0,"Climate Change in North America: Risks, Impacts, and Adaptation. A Reflection Based on the IPCC Report AR6 – 2022; [Cambio climático en América del Norte: riesgos, impactos y adaptación. Una reflexión basada en el Informe AR6 del IPCC – 2022]","The impacts of climate change are global in scope and unprecedented in scale, and the increasing frequency and severity of extreme events, from rising temperatures, droughts, extreme rainfall, and rising sea levels, have increased throughout North America. Without immediate action, adaptation to climate change will be more difficult and costly, particularly for the most vulnerable social groups and economic activities and ecosystems in the area. This article reflects on the evidence recently produced by the Working Group 2 of the IPCC - the UN Intergovernmental Panel on Climate Change - in relation to the North American region (Canada, USA, Mexico), highlighting the economic and financial dimensions of climate change impacts and adaptation. It emphasizes differentiated impacts, noting increased extreme weather across the US, Canada, and Mexico, with Indigenous people and urban areas remaining especially vulnerable. Key sectors like energy, food, and health require focused attention.","The evaluation methods of the information used for the IPCC report on “Impacts, adaptation and Vulnerability” are based on impacts and adaptation assessments revised in the available literature on the topic. This paper summarizes key IPCC Sixth Assessment Report messages and data for North America, focusing on observed climate change impacts and projected risks in key sectors highlighted in IPCC reports. It reflects on IPCC Working Group 2 findings on impacts and adaptation, presenting North American data as context.","North America faces increasing frequency and intensity of extreme weather events, including droughts, heat waves, and storms, causing damage to economies, ecosystems, and social systems. These impacts threaten water resources, energy infrastructure, agriculture, and human health. Adaptation efforts are inconsistent across the US, Mexico, and Canada. Inaction will disproportionately harm vulnerable groups, and early adaptation offers economic benefits. There are increased extreme weather events across the US, Canada, and Mexico, with Indigenous people and urban areas remaining especially vulnerable.","In the future, it is necessary to delve into the impacts of climate change at the subnational level in the North American region and in Mexico. There is no comprehensive assessment of the health implications of climate change at the national and subnational level in the three countries. Mental health research is needed. Furthermore, farming practices should be considered when assessing agricultural impacts. It is also necessary to advocate for future subnational research, particularly in Mexico, focusing on key sectors like energy, food, and health. Mexico's adaptation implementation gap must be addressed."
10.1371/journal.pone.0269741,Braswell et al.,2022.0,Creeping disaster along the US coastline: Understanding exposure to sea level rise and hurricanes through historical development,"Current estimates of U.S. property at risk of coastal hazards and sea level rise (SLR) are staggering-evaluated at over a trillion U.S. dollars. Despite being enormous in the aggregate, potential losses due to SLR depend on mitigation, adaptation, and exposure and are highly uneven in their distribution across coastal cities. This study seeks to analyze how changes in exposure have historically unfolded due to coastal urban development in the United States, especially under the pressure of sea level rise and hurricanes. The research draws attention to the consequences of continued growth in these vulnerable zones and the implications for future adaptation strategies.","The study utilizes the Historical Settlement Data Compilation for the U.S. (HISDAC-US), derived from Zillow's ZTRAX database, covering the period 1900-2015. It examines building patterns at a 50-meter resolution combined with NOAA sea level rise zones. Analysis is conducted at the level of Metropolitan Statistical Areas (MSAs), intersected with hurricane landfall data from the HURDAT2 database. Protected areas and wetlands are excluded. The expansion and densification of structures are quantified over ten-year increments using buildings per unit area (BUPR). Panel regression models with fixed effects evaluate the relationship between hurricane activity and building patterns inside and outside SLR zones, with dependent variables such as built-up land share, structure density, and total structures, while independent variables include wind speed and hurricane hits, with adjustments for census division fixed effects.","- SLR zones developed faster and continue to have higher structure density than non-coastal, urban, and inland areas, especially in hurricane-prone regions.","The findings highlight the accelerated development and densification within SLR and hurricane-prone zones, emphasizing a persistent risk profile for U.S. coastal properties. Development patterns reveal uneven distribution of risk across different cities, with southern Florida and the Western Gulf coast noted for significant expansion. Historical data suggests that adaptation policies need to prioritize existing structures, as building saturation limits further expansion while increasing adaptive capacity challenges. The transitional nature of economic dynamics and the constraint they impose on adaptation efforts underscore the importance of adaptive strategies that incorporate socio-economic factors alongside robust building codes. Increased density and vulnerability in frontline coastal areas call for a reassessment of policies to mitigate future risks effectively."
10.1016/j.scitotenv.2021.152552,Cremen G. et al.,2022.0,Modelling and quantifying tomorrow's risks from natural hazards,"Understanding and modelling future risks from natural hazards is becoming increasingly crucial as the climate changes, human population grows, asset wealth accumulates, and societies become more urbanised and interconnected. This need is recognised by the 2015–2030 Sendai Framework for Disaster Risk Reduction, which emphasises the importance of preparing for the disasters that our world may face tomorrow through strategies/policies that aim to minimise uncontrolled development in hazardous areas. While the vast majority of natural-hazard risk-assessment frameworks have so far focused on static impacts associated with current conditions and/or are influenced by historical context, some authors have sought to provide decision makers with risk-quantification approaches that can be used to cultivate a sustainable future. This Review documents these latter efforts, explicitly examining work that has modelled and quantified the individual components that comprise tomorrow's risk. This includes future natural hazards affected by climate change, future exposure (e.g., in terms of population, land use, and the built environment), and the evolving physical vulnerabilities of the world's infrastructure. The paper focuses on geophysical, hydrological, climatological, and meteorological natural hazards. It further highlights the importance of preparing for future disasters and the opportunities for decision-makers to influence future risk through policies controlling risk drivers.","Future natural hazard risk is modeled by quantifying the individual components of hazard, exposure, and vulnerability using physical sciences and engineering approaches. Hazard modeling involves combining emission scenarios with climate models, downscaling results, simulating weather variables, deriving hazardous events, and calculating local intensities to generate frequency exceedance curves. Exposure is modeled using socioeconomic scenario storylines for population and economic growth. Urban growth is modeled using techniques like cellular automata, agent-based modeling, Markov chain methods, and machine learning, constrained by population and economic projections. Vulnerability is modeled using methods like finite element models, statistical models, and systems reliability theory to assess time-dependent earthquake fragility and environment-induced deterioration. Economic dynamics are considered transitional, accounting for changes over time. The analysis operates at a local spatial disaggregation and focuses on acute shocks.","Key findings include the assessment of vulnerability and exposure dynamics due to socioeconomic processes and climate change. The influence of urbanization, socioeconomic growth, and land-use choices significantly impact future exposure. Additionally, there is an increase in vulnerability due to infrastructure degradation and unplanned modifications. Future risk modeling successfully incorporates climate change projections, population growth, socioeconomic factors, and land-use changes under various socioeconomic scenarios.","The paper concludes with a discussion on the challenges faced by modellers in determining the risks that tomorrow's world may face from natural hazards, and the constraints these place on the decision-making abilities of relevant stakeholders. It notes the lack of a commonly accepted analytical framework for end-to-end risk quantification. Risk-modelling challenges can significantly affect decision making. The paper highlights opportunities for decision-makers to influence future risk through policies controlling risk drivers. Adaptation is not directly considered in this review; the focus is on modeling and quantifying future risks through physical sciences and engineering perspectives."
10.1175/BAMS-D-22-0106.1,Stuart et al.,2024.0,Enhancing Global Food Security,"Food security is a critical component of environmental security and remains one of the most significant global challenges. Food insecurity impacts various aspects of life, leading to adverse health outcomes, increased migration, and threats to both national and global sustainable development. This paper builds on discussions from a Presidential Session at the American Meteorological Society’s (AMS) 2022 Annual Meeting, focusing on enhancing food security by leveraging the atmospheric and climate sciences. Despite the evident importance, food security has not been a central focus within the AMS community. The paper explores the interactions between weather, climate, and the food system, examining their impact on food security and identifying opportunities for AMS to contribute to this critical issue.","The study employs expert perspectives and panel discussions, including a comprehensive analysis of hydrometeorological and climatological data at various time and spatial scales. It integrates observational data from meteorological stations and satellites, reanalyses, and model-derived outputs. The methodology emphasizes the integration of climate data with socioeconomic context, stakeholder engagement for co-developing decision-support tools, and the use of co-production and iterative frameworks. Modeling techniques for weather, climate, and agriculture are utilized, alongside attribution studies and forecast-based financing (FbF) methods, all within a systems-thinking approach.","The AMS community can play a pivotal role in improving global food security. \ Climate change exacerbates threats to food security, necessitating improved forecasting and monitoring tools. \ Effective stakeholder engagement and co-developed decision-support tools are crucial for addressing food security. \ Integrating climate data with socioeconomic factors enhances adaptation strategies. \ Local, traditional, and Indigenous knowledge are vital for enhancing early warning systems. \ Interdisciplinary approaches and robust, accessible data are necessary for effective food security solutions.","The study highlights the untapped potential of the AMS community to significantly enhance global food security by addressing existing scientific needs and technology gaps. The paper identifies extreme weather events, climate change, and socioeconomic challenges as primary drivers of food security risks. It is crucial to develop forecasting and monitoring tools and engage stakeholders effectively. The paper stresses the importance of actionable knowledge conversion, effective communication of uncertainty, and knowledge exchange. By adopting interdisciplinary approaches, enhancing stakeholder engagement, and leveraging local and traditional knowledge, the AMS community can make substantial contributions towards building resilience in the global food system."
10.1175/BAMS-D-21-0262.1,Brunet et al.,2023.0,Advancing Weather and Climate Forecasting for Our Changing World,"Our world is rapidly changing. Societies are facing an increase in the frequency and intensity of high-impact and extreme weather and climate events. These extremes together with exponential population growth and demographic shifts (e.g., urbanization, increase in coastal populations) are increasing the detrimental societal and economic impact of hazardous weather and climate events. Urbanization and our changing global economy have also increased the need for accurate projections of climate change and improved predictions of disruptive and potentially beneficial weather events on kilometer scales. Technological innovations are also leading to an evolving and growing role of the private sector in the weather and climate enterprise. The increasing frequency of extreme weather events due to climate change is impacting low-income nations the most, exacerbating existing socio-economic inequalities, biodiversity loss, unsustainable resource consumption, and ecosystem degradation. Addressing these challenges requires focusing on capacity building and data management, fostered through increased collaboration between public, private, and academic sectors.","The methodology involves analyzing historical weather/climate event data combined with ensemble-based climate model output. This data is downscaled using high-resolution models and AI. Integrated systems approaches are employed, considering scope, complementarity, and cost-benefit analysis. The approach also incorporates AI/ML into numerical prediction systems and implements NWP systems with postprocessing, production, and visualization in the cloud. Downscaling of global ensembles using AI is also used for national impact sectors. This analysis looks at acute shocks on a local scale.","The paper highlights several key findings. First, there is a clear increase in the frequency and intensity of extreme weather events attributed to climate change, disproportionately impacting low-income nations. Second, there is a strong need for improved weather and climate forecasting capabilities through the strategic use of advanced technologies, including artificial intelligence and high-performance computing. Third, the study emphasizes the critical importance of collaborative efforts between public, private, and academic sectors to foster capacity building and data management for effective climate risk reduction. Finally, it emphasizes the potential for climate risk products to improve using a combination of historical data with climate model outputs and downscaling with high-resolution models and AI.","This article discusses the challenges faced in accelerating advances in weather and climate forecasting and proposes a vision for key actions needed across the private, public, and academic sectors. Actions span (i) utilizing the new observational and computing ecosystems; (ii) strategies to advance Earth system models; (iii) ways to benefit from the growing role of artificial intelligence; (iv) practices to improve the communication of forecast information and decision support in our age of internet and social media; and (v) addressing the need to reduce the relatively large, detrimental impacts of weather and climate on all nations and especially on low-income nations. These actions will be based on a model of improved cooperation between the public, private, and academic sectors. This paper advocates for advancements in weather and climate forecasting, including model improvements, machine learning applications, and data sharing. Improved communication of forecast information and decision support is vital. While adaptation is not explicitly addressed, the paper discusses several aspects that could inform adaptation efforts. The study underscores the crucial role of technological advancements, data accessibility, and inter-sectoral collaboration in mitigating the detrimental impacts of weather and climate events, particularly on vulnerable populations and economies. This article represents a concise summary of the white paper on the Future of Weather and Climate Forecasting (2021) put together by the World Meteorological Organizations' Open Consultative Platform."
