DOI,Author(s),Year,Paper Title,Link to paper,Paper ID,Reviewer,Status,Country(ies),Outcome(s) of Interest,Drivers of Risk,Scenario(s),Methodology,Calibration Approach,Hazard definition,Impact persistence,Space disaggregation,Impact interactions,Economic dynamics,Climate features,Adaptation considered,Highlights,More Notes,SummaryCount
10.1371/journal.pone.0310989,Alemu F.M. et al.,2024.0,Factor productivity impacts of climate change and estimating the technical efficiency of cereal crop yields: Evidence from sub-Saharan African countries,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0310989&type=printable,10.1371/journal.pone.0310989,AI,Step 5,Sub-Saharan African countries,"Agricultural productivity (factor, land, labor, fertilizer), cereal crop yields (technical efficiency, production), GDP (losses/impact, per capita income), total factor productivity (TFP).","Climate change, GHG emissions (CO2, methane), rainfall variations (drought, flooding), temperature changes, technological inefficiency.",Not specified; the analysis uses panel data from 2005-2020.,"Panel data analysis (2005-2020) of 35 sub-Saharan African countries using pooled OLS and stochastic frontier models with a Cobb-Douglas production function, estimated using STATA 17.",Econometric,Chronic trends,,Regional,,Transitional (accounting for changes over time),,"Adaptation strategies are not explicitly modeled, but the efficiency of cereal crop production in the face of climate change is analyzed.","Climate change negatively impacts agricultural productivity in Sub-Saharan Africa, specifically land, labor, and fertilizer productivity, potentially offsetting agricultural gains, while GDP per capita boosts total factor productivity.","Labor and fertilizer positively influence cereal crop TE, while arable land per hectare reduces it. Climate-smart agriculture, technology, and improved farming practices, including organic fertilizers, can enhance yields and economic gains. Skilled labor, fertilizer, and climate-resistant agricultural technologies can mitigate the adverse effects of climate change.",3.0
10.1007/s10640-018-0262-8,Letta & Tol,2019.0,"Weather, Climate and Total Factor Productivity",found,10.1007/s10640-018-0262-8,AI,Step 5,60 countries (1960-2006); less than 70 countries in extended analysis,"TFP growth, economic growth, labor productivity, temperature shocks","Temperature shocks, annual temperature changes, precipitation changes, climate change",Historical data from 1960–2006; uses DICE model for climate impacts,Panel regression models with country and region x time fixed effects; uses PWT 8.1 data; robustness checks with different datasets and model specifications,Econometric,Acute shocks,Adaptive,Regional,,Transitional (accounting for changes over time),,Interactions of temperature changes with factors like poverty and institutional quality; does not explicitly model adaptation,Temperature shocks negatively affect TFP growth mostly in poorer countries; impacts diminish as income rises; significant long-run economic growth impacts are more severe for developing nations,Compounding effects of growth reductions noted; climate impact is moderated by income level and institutional quality; limitations in sample size and possible measurement errors acknowledged,3.0
10.1038/s41467-023-43114-4,Krichene H. et al.,2023.0,The social costs of tropical cyclones,found,10.1038/s41467-023-43114-4,AI,Step 5,41 TC-affected countries,"The study examines economic growth reduction/losses, national GDP trajectories/growth rates, Discounted Annual Damage (DAD) from tropical cyclones, and the Social Cost of Carbon (SCC)/Tropical Cyclone-induced SCC (TC-SCC).","Tropical cyclones (TCs), global mean temperature/temperature increases, greenhouse gas emissions/emission scenarios (RCPs), and socioeconomic development (SSPs) are key drivers of risk.",The outcomes were analyzed under various scenarios including different socioeconomic pathways (SSPs) and Representative Concentration Pathways (RCPs).,"The methodology combines empirical modeling using a three-way fixed effects panel model, scenario analysis, and probabilistic methods (bootstrapping) to quantify the Social Cost of Carbon (SCC) induced by Tropical Cyclones (TCs) at the country level, deriving temperature-dependent damage functions. Future TC damages are projected using a statistical TC emulator based on global climate models, and the SCC calculation follows Ricke et al. (2018), assessing GDP per-capita differences with and without a carbon pulse.",Econometric,Acute shocks,Permanent,The analysis operates at a Global scale.,Sequential Interactions between impacts are considered.,Transitional (accounting for changes over time),Other climate complexities are included.,"Adaptation is considered indirectly through temperature-dependent damage functions that adjust GDP projections based on TC exposure and impacts under different climate scenarios, without explicitly modeling adaptive responses.","Tropical cyclones (TCs) negatively impact economic growth and substantially increase the global Social Cost of Carbon (SCC), particularly in TC-affected nations and major emitters. Lower- and middle-income countries face greater adaptation challenges. The discount rate significantly influences SCC estimates.","The study analyzes macroeconomic impacts of tropical cyclones (TCs), investigating persistent growth effects using data from 41 TC-affected countries. The relationship between global mean temperature (GMT) and TC-induced growth changes depends on RCPs. Discounting is identified as a primary source of uncertainty, and historical adaptation may be insufficient even in high-income countries. The analysis likely underestimates impacts on lower-income populations.",3.0
10.1007/978-3-030-86211-4_2,Aaheim A. et al.,2022.0,Cross-Sectoral Challenges for Adaptation Modelling,assistant: [yes],10.1007/978-3-030-86211-4_2,AI,Step 5,"Analyses considered a range of countries and regions, including Nepal, Finland, Argentina, The Netherlands, Texas, Europe and global analyses.","GDP impacts, consumption changes, value added (forests), worker productivity loss, agricultural losses, infrastructure impacts, supply chain disruptions, mortality rates, flood damages, and adaptation costs/benefits are key macroeconomic and fiscal outcomes of interest.","Climate change, extreme weather events (heatwaves, droughts, floods, storms, sea-level rise), socioeconomic development, land use changes, and infrastructure vulnerabilities are key drivers of risk.",Shared Socioeconomic Pathways (SSPs) and Representative Concentration Pathways (RCPs) like RCP8.5 and RCP2.6 are used to analyze outcomes.,"Integrated Assessment Models (IAMs) like DICE, FUND, PAGE and multi-region, multi-sector Computable General Equilibrium (CGE) models (e.g., GRACE) are employed, along with top-down and bottom-up integration, impact models, global sensitivity analysis (GSA), and participatory approaches.",,Acute shocks,Adaptive,Global and Regional disaggregation are both used in the analyses.,Sectoral Interactions are considered in the analysis.,Adaptive (reflecting shifts in economic behavior in response to impacts) and Transitional (accounting for changes over time) economic dynamics are considered.,"Other climate complexities, such as cascading failures, are included.","Adaptation is incorporated into Integrated Assessment Models (IAMs) and CGE models with varying degrees of explicitness, often focusing on cost-benefit analysis, autonomous adaptation, and evaluation of adaptation strategies.","Adaptation modeling is vital for mitigating climate change impacts. IAMs are used for economic assessments, and model validation requires more than historical data, while global sensitivity analysis is useful. Top-down and bottom-up adaptation approaches are complementary.","The document addresses the gap between adaptation science/modeling and policy, emphasizing the need for smarter adaptation, data-driven solutions, and robust decision-making under uncertainty. Limitations of IAMs and CGE models are highlighted, including market-related barriers and inadequate representation of extreme events.",3.0
10.1038/s41558-020-00985-5,Kotz M. et al.,2021.0,Day-to-day temperature variability reduces economic growth,https://www.pik-potsdam.de/~anders/publications/kotz_wenz21.pdf,10.1038/s41558-020-00985-5,AI,Step 5,"Worldwide (1,537 regions across 76 countries)",Regional economic growth rates; macroeconomic growth; temperature variability impact,Day-to-day temperature variability; seasonal temperature difference; annual average temperature level; annual average temperature change; total annual precipitation,Observed day-to-day temperature variability and historical climate data from 1979-2018,Fixed-effects panel regression models using subnational economic data to assess the impact of day-to-day temperature variability on regional growth,Econometric,Acute shocks,Adaptive,Regional,Sequential Interactions,Transitional (accounting for changes over time),,"Adaptation is implicitly examined through fixed-effects panel models that control for a variety of factors, providing insights into how adaptation efforts may influence economic outcomes across different contexts; Partitioning of data by national and regional income examines differential impacts","Day-to-day temperature variability negatively impacts macroeconomic growth, independently of average temperature changes. Lower-income regions and regions with smaller seasonal temperature differences are more vulnerable.",The impact of day-to-day temperature variability on regional economic growth is geographically dependent and modulated by seasonal temperature difference and income. The effect is independent of changes in annual average temperature. Climate and economic variables exhibit spatial autocorrelation.,3.0
10.1016/j.ecolecon.2022.107627,Jarrett U. et al.,2023.0,Dry spells and global crop production: A multi-stressor and multi-timescale analysis,https://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1119&context=econfacpub,10.1016/j.ecolecon.2022.107627,AI,Step 5,"Global (panel of countries, excluding Sub-Saharan Africa)","Crop production growth, FAO CPI growth, agricultural value added per capita (growth), cereal yields (growth), value-weighted net crop production, GDP effects, drought effects, wheat yield loss","Dry spells, heat waves, drought (SPEI), aridity, temperature, precipitation, water stress, irrigation levels",Analysis uses historical daily precipitation and temperature data (1979-2016) from the Climate Prediction Center (CPC); subsamples based on aridity index and SPEI.,"Global panel data analysis (1979-2016) using fixed effects regression models with country and year fixed effects, controlling for temperature, precipitation, country-specific time trends, climate regimes, droughts, and aridity; robustness tested through alternative specifications and sequential g-estimation.",Econometric,Acute shocks,Adaptive,Global,Sequential Interactions,Transitional (accounting for changes over time),,"Irrigation is explicitly included as a factor; its role is examined by comparing outcomes in more and less irrigated areas, considering variations in effects based on drought and aridity levels.","Dry spells, particularly those lasting 4-5 weeks or more, negatively impact crop production growth and FAO CPI growth; these impacts are exacerbated by the co-occurrence of heat waves, drought, and aridity, and are most pronounced in unirrigated areas and those experiencing annual water deficits; irrigation may mitigate the effects.","Study examines the impact of climate stressors on agricultural production using a panel dataset of 118 countries (excluding Sub-Saharan Africa), focusing on punctuated events and multi-stressor interactions; sequential g-estimation is used to address endogeneity concerns related to drought; heterogeneous effects in dry spell impacts are examined.",3.0
10.1016/j.strueco.2023.05.009,Chang et al.,2023.0,Temperature and GDP: A review of climate econometrics analysis,found,10.1016/j.strueco.2023.05.009,AI,Step 5,The notes do not specify a particular country or group of countries. They discuss general methodologies and concepts related to climate econometrics and the temperature-GDP relationship.,"GDP, GDP growth, GDP per capita, Economic Output, Industrial Output, Temperature, Human Welfare, Macroeconomic Output.","Temperature rise, temperature shocks, temperature variability, deviation from historical norms.",Temperature-GDP relationship models using climate econometrics and integrated assessment models (IAMs). Cross-sectional and panel models with temperature bins.,"Climate change impact assessment utilizes climate econometrics, focusing on the temperature-GDP nexus. Methodologies include temperature-GDP relationship estimation, differentiating between growth and level effects. Empirical analysis employs temperature bins for non-linear effects, cross-sectional models comparing regions, and panel models with fixed effects. The approach combines empirical findings with climate change integrated assessment models (IAMs).",Econometric,Chronic trends,Adaptive,Regional,,Transitional (accounting for changes over time),,"Adaptation isn't explicitly considered in the provided notes. The focus is on modelling and quantifying the relationship between temperature and GDP, particularly the impact of temperature changes on GDP levels and growth rates. The notes describe econometric methods for identifying and estimating these impacts using temperature and GDP data.","Highlights: Growth effects of climate change cause compounding, permanent economic damage unlike level effects. Research leverages diverse impact mechanisms, adaptation, and high-resolution data by varying temporal temperature resolution, employing non-linear econometrics, and specifying temperature deviation. Combining cross-sectional and panel models allows for examining economic impacts at different future times. Modeling challenges include specifying impact functions (linear vs non-linear), temperature variables, and control variables. Linking climate econometrics with Integrated Assessment Models (IAMs) offers future research potential.","Climate econometrics expands research scope beyond prior climate change impact assessments by considering factors like labor productivity and total factor productivity, with research divided into sectoral and aggregate macroeconomic studies. However, challenges remain, including a lack of consensus on growth vs. level effects, potential biases in temperature-GDP extrapolations due to adaptation, and the need to incorporate empirical findings into Integrated Assessment Models (IAMs). Current literature shows a minimum level of consensus on growth and level effects. Multiple model specifications and variables capturing climate variability are increasingly utilized.",1.0
10.1038/s41558-021-01000-1,Ortiz-Bobea et al.,2021.0,Anthropogenic climate change has slowed global agricultural productivity growth,https://library.uniteddiversity.coop/Food/Anthropogenic_climate_change_has_slowed_global_agricultural_productivity_growth.pdf,10.1038/s41558-021-01000-1,AI,Step 5,"Global, using country-level data (172 countries)","Agricultural Total Factor Productivity (TFP), TFP growth (country-level, global), agricultural output","Anthropogenic Climate Change (ACC), temperature, precipitation, green-season temperature and precipitation","CMIP6, counterfactual climate scenarios with and without ACC","Econometric models regressing country-level agricultural TFP growth on temperature and precipitation (1961/62-2015) with country and year fixed effects, using counterfactual climate scenarios from CMIP6 and GCMs, and robustness checks including block bootstrapping and placebo tests.",Econometric,Chronic trends,Adaptive,"Global, with some regional variations noted (e.g., Africa, Latin America)",,Transitional (accounting for changes over time),,Adaptation is implicitly considered through econometric models assessing TFP sensitivity to climate variations and through vertically centering response functions.,"Anthropogenic climate change (ACC) has negatively impacted global agricultural productivity growth (TFP) since 1961, with disproportionately larger negative impacts in warmer regions, and agriculture has become more sensitive to climate change over time.","The study acknowledges limitations related to TFP metrics (e.g., exclusion of CO2 fertilization effects and agricultural research impacts), uses vertically centered response functions, and explores model variations for robustness, including placebo tests.",4.0
10.1038/s41598-019-49167-0,Sultan B. et al.,2019.0,Evidence of crop production losses in West Africa due to historical global warming in two crop models,https://horizon.documentation.ird.fr/exl-doc/pleins_textes/divers19-10/010077008.pdf,10.1038/s41598-019-49167-0,AI,Step 5,"West Africa, specifically focusing on the region between 20°W to 15°E and 4°N to 18°N, with specific mention of Niger.",Climate change; West Africa; Millet; Sorghum; Crop yield loss; Production loss; Financial loss; Country-level impact; Niger; USD,Historical climate change; human-induced climate change; temperature increases; rainfall variations; CO2 concentration; evapotranspiration; heat stress; crop yield impacts; agricultural productivity; heavy rains; growing season changes; regional variations (Sahel).,"Factual climate simulations (including human and natural forcing), counterfactual (non-warming) climate simulations, and 100 historical climate simulations with atmospheric general circulation model.","The study employs an ensemble of historical climate simulations, generated with an atmospheric general circulation model (MRI-AGCM3.2), in conjunction with two process-based crop models (SARRA-H and CYGMA) to quantify climate change impacts on millet and sorghum yields. The methodology compares factual climate simulations (including human and natural forcing) with counterfactual (non-warming) simulations, focusing on West Africa (20°W to 15°E; 4°N to 18°N) during 2000-2009, and using datasets like S14FD, MIRCA2000, M3-Crops, and HID. Harvested area weighting is used to compute average yield impacts. Statistical tests (Student's t-test, Kolmogorov-Smirnov test) are applied to assess the robustness of changes. Model validation includes comparison of FAO reported yields with model simulations (1961-2012) and sensitivity analysis with the CYGMA model. The simulated maximum yield impact is limited to -100%.",,Chronic trends,,Regional,,,,"Agronomic adjustments are considered within the crop models (SARRA-H and CYGMA), albeit differently. Technological improvements are also considered, again with differences between the models. Harvested area weighting is used to compute average yield impacts. The simulated maximum yield impact is capped at -100% to avoid unrealistic losses.","Historical climate change (2000-2009) significantly impacted millet and sorghum yields in West Africa, resulting in economic losses and highlighting the need for adaptation. Models (CYGMA and SARRA-H) estimate that without human influence on climate, millet yields could have been 11-18% higher and sorghum yields 6-15% higher. Warming exceeding 1°C and increased evapotranspiration-led water deficits are major contributing factors to yield losses. While both models show yield losses, CYGMA captures yield growth better and SARRA-H better captures year-to-year variability. Production loss estimates provide a basis for understanding adaptation costs in West African crop production systems. Human activities have negatively impacted regional climate in the Sahel and production of major cereals.","Study uses World Bank and FAOSTAT data to simulate climate change impacts on millet and sorghum yields in West Africa (2000-2009) using Cygma and SARRA-H models. SARRA-H performed better at capturing yield anomalies linked to seasonal climate variability. Data quality limitations exist, particularly regarding yield statistics, historical management information, and harvested area data which was fixed at 2000 levels (M3-Crops dataset).",1.0
10.1016/j.foodpol.2008.01.003,Barrios et al.,2008.0,The impact of climatic change on agricultural production: Is it different for Africa?,https://hummedia.manchester.ac.uk/schools/soss/economics/discussionpapers/EDP-0421.pdf,10.1016/j.foodpol.2008.01.003,AI,Step 5,Sub-Saharan Africa (SSA) and Non-Sub-Saharan Africa (NSSA) countries,Agricultural output/production; GDP effects; productivity loss; Sub-Saharan Africa (SSA); investment diversion; precautionary savings.,Rainfall changes; Temperature increases; Climatic Changes; Evapotranspiration; Desertification.,Pre-1961 climate conditions (rainfall and temperature held constant at pre-1961 levels).,Panel data regression with fixed effects using a production function framework to estimate the impact of rainfall and temperature on agricultural output at the country level. Includes simulations of agricultural production under pre-1960 climate conditions. Five-point moving averages are used for climate proxies.,Econometric,Chronic trends,Adaptive,Regional,,Transitional (accounting for changes over time),,"Limited consideration of mediating factors within the agricultural production function, and potential compensatory responses by farmers, with focus on modelling the impact of climate variations on output when other inputs are adjusted.","Climate change, particularly declining rainfall in Sub-Saharan Africa (SSA) from the mid-20th century onward, significantly impacted agricultural output and contributed to a widening agricultural production gap between SSA and non-SSA developing countries (NSSA). SSA agricultural production is highly sensitive to climate change, unlike other developing regions.","The study compares agricultural production in Sub-Saharan Africa (SSA) and non-SSA developing countries, aiming to address the gap in research on climate change's effects on African agriculture, and suggests policies to reduce African agriculture's sensitivity to rainfall, such as improved irrigation.",3.0
10.1073/pnas.1615922114,Liang X.-Z. et al.,2017.0,Determining climate effects on US total agricultural productivity,found,10.1073/pnas.1615922114,AI,Step 5,US,"TFP, TFPC, Agricultural Productivity, Climate Impact, Economic Growth",Climate change; temperature and precipitation anomalies; extreme weather events; regional climate variability,"RCP4.5, RCP8.5",Multivariate regression models using historical climate data (1951-2010) and projections from CMIP5 under RCP4.5 and RCP8.5,Econometric,Chronic trends,Adaptive,Regional,Spatial Interactions,Transitional (accounting for changes over time),,Assumes historical adaptation remains constant; future predictions are based on past climate-productivity correlations,Post-1980 increase in TFP sensitivity to climate; potential reversal to pre-1980 TFP levels by 2050 under RCP8.5; warmer Midwest summers yield negative impacts,TFP is more sensitive to climate change than yields alone; adaptation and technology can potentially mitigate losses; projections have uncertainty and are based on historical climate sensitivity,3.0
10.1007/s11356-022-22743-0,Jatuporn C. & Takeuchi K.,2023.0,Assessing the impact of climate change on the agricultural economy in Thailand: an empirical study using panel data analysis,found,10.1007/s11356-022-22743-0,AI,Step 5,Thailand,"Effect of climate change on Thailand's agricultural GDP, economic growth, productivity, and variability.","Climate change, extreme weather events, temperature variations, rainfall, and land use changes.",Analysis based on historical data from 1995 to 2019 without specific socioeconomic or climate scenarios.,"Uses panel data analysis, ARDL bounds testing, PMG estimation, and unit root tests focusing on Thailand's provinces.",Econometric,Chronic trends.,Permanent,Regional.,,Transitional (accounting for changes over time),,Considered indirectly via economic responses to climate changes; does not explicitly model adaptation.,Extreme weather negatively impacts agriculture; increased total rainfall is beneficial; adaptation strategies needed for sustainable growth.,Analysis suggests increased awareness and supervision of agricultural production with a focus on improving productivity and water resource management.,3.0
10.1371/journal.pone.0067065,Craine et al.,2013.0,Long-Term Climate Sensitivity of Grazer Performance: ACross-Site Study,https://pdfs.semanticscholar.org/076e/fa5765e82eb35a09e95a416e5f15336c8f8c.pdf,10.1371/journal.pone.0067065,AI,Step 5,US,Economic costs for US cattle producers; Decreased weight gain in cattle; Potential losses of US$1B per 1°C increase in temperature.,Climate change; Warming temperatures; Reduced forage quality; Reduced nitrogen availability.,Observed climate data and its impact on bison weight across 22 US bison herds.,"Analysis of bison weight data across US herds to assess climate change impacts, extrapolating findings to domestic cattle.",Stylised,Chronic trends,,Local,,,,"Adaptation is indirectly considered through the analysis of climate-forage quality-bison weight relationships, with potential implications for adapting agricultural practices.","Warming temperatures can reduce forage quality, negatively impacting cattle and bison weight gain, which translates to economic costs for producers.",Bison-climate relationships are extrapolated to cattle for economic impact estimates.,3.0
10.1007/s11356-021-16291-2,Ozdemir,2022.0,The impact of climate change on agricultural productivity in Asian countries: a heterogeneous panel data approach,https://assets-eu.researchsquare.com/files/rs-264686/v1/d424686e-6f46-4351-9980-6786cb0fb2f9.pdf,10.1007/s11356-021-16291-2,AI,Step 5,11 Asian countries/Asian countries,Agricultural productivity; agricultural value added; food security.,"Climate change (temperature, rainfall, CO2 emissions), energy consumption, fertilizer use.","The paper does not specify the exact socioeconomic or climate scenarios used in the analysis, relying on historical data from 1980-2016.","Heterogeneous panel data analysis, specifically Panel Autoregressive Distributed Lag (ARDL) models with Mean Group (MG), Pooled Mean Group (PMG), and Dynamic Fixed Effect (DFE) estimators to analyze the short-run and long-run effects of climate change variables on agricultural productivity in 11 Asian countries from 1980-2016; panel cointegration tests (Pedroni and Kao) are used to assess long-run relationships; Hausman test is used to compare estimators.",Econometric,Chronic trends,Permanent,Regional,,Transitional (accounting for changes over time),,The paper focuses on modeling and analyzing the impacts of climate change on agricultural productivity using panel data techniques; adaptation measures themselves are not explicitly modeled or evaluated.,"Climate change impacts agricultural productivity, with CO2 emissions and temperature negatively affecting it in the long run, while rainfall has a positive impact; analysis of Asian countries confirms a long-run relationship between agricultural productivity and climate variables, with CO2 emissions and temperature negatively impacting productivity in the long run, despite potential short-term positive effects from CO2.","The study investigates the long-run and short-run relationships between climate change and agricultural productivity using a model that estimates short-run dynamic coefficients, long-run coefficients, and the speed of adjustment with country and time dimensions.",3.0
10.1016/j.sftr.2024.100367,Gupta R. et al.,2024.0,A note on climate change and growth dynamics,found,10.1016/j.sftr.2024.100367,AI,Step 5,167 countries,"Economic growth, temperature anomalies (∆ TA), macro-fiscal outcomes.","Temperature anomalies, economic growth, greenhouse gas emissions.","Variations in temperature anomalies and economic growth based on historical data (1851-2018) from 167 countries, analyzed via an overlapping generations (OLG) endogenous growth model.","Overlapping generations (OLG) endogenous growth model with fixed-effects panel data estimation on 167 countries from 1851 to 2018, and Reverse-MIDAS regression.",Econometric,Chronic trends,Permanent or Adaptive (depending on reviewer interpretation).,Global,,Adaptive (reflecting shifts in economic behavior in response to impacts),,Adaptation is not explicitly modeled; the focus is on the impact of temperature anomalies on output and growth.,"Climate change (temperature anomalies) significantly impacts economic growth, potentially leading to convergent or divergent oscillatory growth patterns, influenced by the sensitivity of temperature anomalies to economic growth; Higher economic growth is associated with increased temperature anomalies and output loss.",The model links climate-change-induced output losses to current economic growth and controls for growth and temperature anomaly volatilities; Green economic growth is crucial to avoid negative growth outcomes; Growth dynamics can result in convergent or divergent oscillatory growth based on the positive relationship between changes in temperature anomalies and current economic growth.,4.0
10.3917/redp.335.0693,Kulanthaivelu,2023.0,Tropical Cyclones and Economic Growth: the Importance of Considering Small Island Developing States,found,10.3917/redp.335.0693,AI,Step 5,"Multiple countries, with a focus on Small Island Developing States (SIDS)",Per capita GDP growth rate,Tropical cyclone events and exposure,"TCE-DAT, CRU TS, UNSD","Panel data regression with time and country fixed effects to study the marginal cumulative effect over 15 years after a cyclone strike, using TCE-DAT, CRU TS, and UNSD data.",Econometric,Acute shocks,Adaptive,Global,,Transitional (accounting for changes over time),,"Regression analysis examines the impact of cyclone strikes, incorporating cyclone exposure, temperature, precipitation, and per capita GDP. The study uses fixed effects to analyze the economic impact of cyclones over 15 years.","National growth responses to cyclone events are heterogeneous, depending on country size and development level. SIDS experience a statistically significant negative impact on per capita GDP growth from cyclone events, while non-SIDS show insignificant results. Negative impacts in SIDS appear to be driven by increased dependence on foreign economic conditions, insufficient reconstruction capacities, and difficulties implementing adaptation policies.","Negative impacts in SIDS appear to be driven by an increased dependence on foreign economic conditions, insufficient reconstruction capacities, and difficulties in implementing adaptation policies.",2.0
10.5194/nhess-22-2531-2022,Stalhandske et al.,2022.0,Projected impact of heat on mortality and labour productivity under climate change in Switzerland,found,10.5194/nhess-22-2531-2022,AI,Step 5,Switzerland,Labour productivity loss; mortality; economic costs due to reduced productivity and mortality; heat exposure.,Climate change; rising temperatures; heat; extreme temperatures; Wet Bulb Globe Temperature (WBGT); Representative Concentration Pathways (RCPs); heat events.,CH2018 Climate Scenarios; RCP2.6; RCP8.5.,"High-resolution spatial analysis using the IPCC risk framework (hazard, exposure, vulnerability) within the CLIMADA platform, incorporating Monte Carlo simulations to address uncertainty; considers constant socio-economic factors.",Stylised,Acute shocks,,Local/Regional,Spatial Interactions,Static,,"IPCC risk framework used; socio-economic factors held constant; allows for analysis of adaptation measures, though not explicitly incorporated or dynamically updated.","Heat exposure in Switzerland causes significant mortality and economic losses in labor productivity. Under a high emissions scenario (RCP8.5), labor productivity losses and mortality are projected to increase significantly by the end of the century. The model links increased temperatures (WBGT) to mortality and labor productivity losses, projecting future impacts and highlighting vulnerable sectors and regions.","The analysis models heat-related impacts in Switzerland, integrating mortality and labor productivity effects. The model uses openly available code and data, and can evaluate adaptation measures, though no cost/benefit analysis is provided. Uncertainties are addressed using Monte Carlo simulations. It assumes uniform mortality distribution during the warm season and consistent relative mortality risk across regions. Impacts are more pronounced under the RCP8.5 scenario by 2050.",3.0
10.1145/3080556.3080569,Tomlinson B. & Aubert B.A.,2017.0,Information systems in a future of decreased and redistributed global growth,https://computingwithinlimits.org/2017/papers/limits17-tomlinson.pdf,10.1145/3080556.3080569,AI,Step 5,"Countries with established ICT export capabilities and strong economic prospects, with global datasets and projections.","GDP decline, income reduction, economic growth, innovation impacts, and redistribution.","Temperature increase, productivity decline, deglobalization, and indirect effects like geopolitical events.","Burke et al. (2015) GDP projections under climate change, focusing on temperature effects.","Quantitative analysis projecting climate change impact on GDP growth and ICT exports up to 2099, using World Bank and Burke et al. data.",Econometric,Chronic trends,Permanent,Global,,Transitional (accounting for changes over time),,"Current adaptation efforts considered, with focus on projecting climate change impacts on GDP and ICT exports.","Climate change is expected to slow global economic growth and redistribute it, negatively impacting countries like Vietnam, China, Malaysia, and the Philippines while benefiting Northern and Eastern Europe in ICT exports.","Temperature effects analyzed without considering sea-level rise; climate change exacerbates global inequality, affecting equatorial countries disproportionately.",3.0
10.1016/j.euroecorev.2024.104819,Kotlikoff L. et al.,2024.0,Can today's and tomorrow's world uniformly gain from carbon taxation?,found,10.1016/j.euroecorev.2024.104819,AI,Step 5,"India, BRA, SAP, MENA, SLA, SSA, US, 18 regions","GDP effects, welfare, Social Cost of Carbon, regional damages, interest rate, consumption, productivity","Climate change, regional temperature, carbon emissions, carbon taxation, Total Factor Productivity, energy substitutability","RCP8.5, Business-as-Usual (BAU), UWI, UWIF, UWIL, damage levels (1x, 2x, 4x, 6x)","Multi-region overlapping generations model, general equilibrium, damage functions from DICE and Krusell-Smith, calibrated to UN and World Bank data",,Chronic trends,Permanent,Regional,"Spatial Interactions, Sequential Interactions, Sectoral Interactions",Transitional (accounting for changes over time),"Tipping Points, Other","Focus on carbon tax and clean energy transitions; substitutability of energy, region-specific vulnerabilities","Carbon tax and strategic transfers can mitigate damages, requiring global participation; UWI policies require significant transfers; China's role crucial; regional SCC varies; UWI can reduce global damages","Incorporates feedback loops, regional technologies, migration costs, UWI policy variants, Green Paradox, economic variables path, SCC estimates provided",3.0
10.1016/j.worlddev.2019.104699,Baarsch F. et al.,2020.0,The impact of climate change on incomes and convergence in Africa,found,10.1016/j.worlddev.2019.104699,AI,Step 5,African countries,"GDP per capita (growth, levels, effects), Economic Convergence, Income Inequality, Labour Productivity, Economic Development","Climate change, climate variability, temperature, precipitation, exposure, vulnerability, hazards, warming scenarios (RCP2.6, RCP8.5)","RCP2.6, RCP8.5, SSP2","Employs an economic model incorporating hazard, exposure, and vulnerability at the national level to analyze climate change impacts on African countries' GDP per capita. Utilizes panel regression (1980-2014) to estimate GDP per capita sensitivity to precipitation and temperature, calibrated for individual countries. Projects impacts to 2050 under RCP2.6 and RCP8.5 scenarios using SSP2 GDP per capita projections as a baseline, analyzing effects on income convergence and inequality (Gini, Atkinson).",Econometric,Chronic trends,Adaptive,Regional,,Transitional (accounting for changes over time),Other,"Exposure, vulnerability, and climate hazards are embedded within an economic model, analyzed at the national level for African countries, considering climate variability and change effects under different warming scenarios (RCP8.5 and RCP2.6) between 2015 and 2050. SSP2 GDP per capita projections are used as a baseline to estimate the impact of climate change.","African economies are poorly adapted to current climate conditions, hindering economic development and delaying convergence. Climate change, particularly in high warming scenarios, poses significant macroeconomic risks, potentially doubling impacts by 2050 compared to low warming scenarios. Western and Eastern Africa are projected to be most affected, with climate change negatively impacting labour productivity and GDP per capita growth across the continent.","African countries face significant macroeconomic risks from climate change, potentially hindering SDG achievement and increasing instability/migration. There is a need for stringent mitigation policies, revised NDCs, and updated economic models considering the social cost of carbon, alongside addressing the adaptation deficit in African countries. Climate change is projected to negatively affect income convergence, especially when considering population weighting.",3.0
