DOI,gemini,openai,common,priority,passfail
10.1155/2019/9579357,XC XV XN,XC XN,XN XC,0,NA
10.2514/6.2022-3917,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.compag.2024.109274,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.aquaculture.2021.737744,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1111/emr.12623,XC XV XN,XC XV XN,XN XC XV,0,NA
10.2307/1941868,XN,Ambiguous,Ambiguous,7,Passed
10.1080/27658511.2023.2269746,XC,XC XV XN,XC,0,NA
10.1038/s41598-022-18109-8,XN,XV XN,XN,0,NA
10.1016/j.ehb.2016.10.006,RF,XV XN,RF,8,Passed
10.1029/2010JD014132,XC XN,XC XV XN,XN XC,0,NA
10.1093/oxrep/grad004,RE RF,RE,RE RF,5,Unknown
10.2307/1941992,XO,XV XN,Disagree,6,Passed
10.1038/ncomms7185,Ambiguous,XC XV XN,Ambiguous,2,Failed
10.1016/j.reprotox.2020.01.009,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.margeo.2014.08.001,XC XN,XC XV XN,XN XC,0,NA
10.1016/j.epsl.2017.05.009,XC,XC XN,XC,0,NA
10.1007/s11027-019-09901-5,XC XN,XC XN,XN XC,0,NA
10.4324/9781315678122-22,XN,XC XV XN,XN,0,NA
10.3390/f12101305,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.scitotenv.2022.158651,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.scitotenv.2011.03.023,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.resourpol.2021.102423,XO,XC XN,Disagree,1,Failed
10.3390/f10020139,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.eap.2015.10.001,XN,XC XN,XN,0,NA
10.12924/cis2022.10010023,XN XO,XN,XN,0,NA
10.1071/WF13184,XN,XN,XN,0,NA
10.1016/j.pnsc.2008.12.006,XO,XC XV XN,Disagree,1,Unknown
10.4324/9781315786193,XC XN XO,XC XV XN,XN XC,0,NA
10.4043/28888-ms,XC XN,XC XV XN,XN XC,0,NA
10.1134/S0031918X1708004X,XC XV XN,XC XV XN,XN XC XV,0,NA
10.4324/9780203867785-16,XC,XC XV XN,XC,0,NA
10.1038/s41598-024-71417-z,XN,XV XN,XN,0,NA
10.1016/j.earscirev.2024.104701,RE RF RA,XV XN,RE RA RF,8,Passed
10.1016/j.ecolind.2023.110262,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.proenv.2012.01.192,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1029/2007JF000925,XC XN,XC XV XN,XN XC,0,NA
10.3389/fpls.2023.1102879,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/978-3-319-44726-1_3,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3390/applbiosci2010010,XN,XC XV XN,XN,0,NA
10.17994/IT.2023.21.2.73.1,XC,XC XV XN,XC,0,NA
10.1016/j.biocon.2020.108907,XO,XC XN XA,Disagree,1,Unknown
10.5194/gmd-16-4977-2023,XN XO,XN,XN,0,NA
10.1093/jpe/rtw026,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.jenvman.2023.119518,XV XN,XC XV XN,XN XV,0,NA
10.1007/s10584-021-03148-3,RA,XV XN,RA,8,Passed
10.3233/978-1-61499-472-5-361,XN,XV XN,XN,0,NA
10.26794/2308-944X-2022-10-4-55-66,XC,XC XN,XC,0,NA
10.1007/s11356-023-30702-6,XN,No codes,Code failure,1,Failed
10.4337/9781788972840.00031,XO,XC XN,Disagree,1,Failed
10.1007/s11356-023-29909-4,XO,XN,Disagree,1,Failed
10.1016/j.ijleo.2016.08.064,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3390/make6030083,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.palaeo.2007.10.033,XC XN,XC XN,XN XC,0,NA
10.1093/jimb/kuae031,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s10668-005-5752-5,XV XN,XV XN,XN XV,0,NA
10.14195/978-989-26-16-506_128,XC XN,XC XN,XN XC,0,NA
10.5194/bg-12-2861-2015,XC XV XN,XC XN,XN XC,0,NA
10.1002/jgrd.50296,XO,XC XV XN,Disagree,6,Passed
10.3390/su132112118,XN XO,XC XV XN,XN,0,NA
10.1016/j.energy.2014.07.008,XO,XV XN,Disagree,1,Failed
10.1016/j.fishres.2008.01.007,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.marpolbul.2021.112801,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1080/14616688.2024.2330574,XC XV XN XO,XC XV XN,XN XC XV,0,NA
10.1016/j.oregeorev.2010.05.003,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.uclim.2023.101760,XN,XN,XN,0,NA
10.3724/SP.J.1037.2013.00064,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s00484-024-02799-y,XN,XC XV XN,XN,0,NA
10.3390/s19040825,XN,XN,XN,0,NA
10.1016/j.envsci.2008.04.001,XO,XV XN,Disagree,1,Failed
10.1021/ja400881n,XC,XC XV XN,XC,0,NA
10.1504/IJGW.2013.057285,XN,XN,XN,0,NA
10.3390/en15238802,RE,XV XN,RE,3,Failed
10.1201/9781420065756,XV XN,XV XN,XN XV,0,NA
10.1016/j.quaint.2012.03.037,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.landusepol.2018.01.030,XV XN,XV XN,XN XV,0,NA
10.3390/atmos9070245,XV XN,XN,XN,0,NA
10.1111/asap.12392,XO,XC XV XN,Disagree,1,Failed
10.1093/humrep/det020,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1644/10-MAMM-S-238.1,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1051/forest:19990303,XV XN,XC XV XN,XN XV,0,NA
10.1111/jora.12575,XC,XC XN,XC,0,NA
10.1016/j.jhydrol.2020.124706,XV XN,XN,XN,0,NA
10.1111/1365-2745.12796,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1029/2009GB003761,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.apenergy.2018.03.081,XO,XC XV XN,Disagree,6,Passed
10.1016/j.ejrh.2022.101048,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.rser.2018.02.021,XC XN,XC XV XN,XN XC,0,NA
10.1007/s11430-014-4832-5,XC XV XN,XC XN,XN XC,0,NA
10.1074/jbc.M117.798553,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.envpol.2021.116885,XC XN,XC XN,XN XC,0,NA
10.13198/j.issn.1001-6929.2024.02.04,XN,XC XN XA,XN,0,NA
10.1016/j.ygcen.2018.07.007,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.eneco.2024.107648,XN,XN,XN,0,NA
10.9755/ejfa.2018.v30.i9.1800,XV XN,XC XV XN,XN XV,0,NA
10.1029/2020WR027698,XN,XC XN,XN,0,NA
10.1111/gec3.12558,XO,XC XV XN,Disagree,6,Passed
10.1007/s13157-021-01468-9,XN XO,XC XV XN,XN,0,NA
10.1175/JCLI-D-20-0619.1,XC,XC XV XN,XC,0,NA
10.4324/9781351278768,XO,XN XA,Disagree,6,Passed
10.1016/j.apenergy.2014.08.025,XV XN,XV XN,XN XV,0,NA
10.3390/rs11141731,XN,XN,XN,0,NA
10.1016/j.jhazmat.2018.11.032,XC,XC XV XN,XC,0,NA
10.1016/j.jmst.2024.08.023,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1029/2005PA001133,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.foreco.2017.02.037,XN,XC XN,XN,0,NA
10.1016/j.jdeveco.2018.06.007,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1371/journal.pone.0189327,XO,XC XV XN,Disagree,6,Passed
10.1088/1748-9326/abdf89,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1002/wcc.324,XV XN,XC XN XO,XN,0,NA
10.1029/2006JG000293,Ambiguous,XC XN,Ambiguous,2,Unknown
10.1016/j.envres.2022.114481,XC XV XN,XC XN,XN XC,0,NA
10.37934/araset.26.1.3141,XN,XC XN,XN,0,NA
10.1051/metal/2009059,XC XN,XV XN,XN,0,NA
10.3389/fsufs.2023.1159901,RF RA,RA,RA RF,10,Passed
10.1016/j.ecolmodel.2011.10.021,XV XN,XV XN,XN XV,0,NA
10.1016/j.jag.2021.102376,XV XN,XC XV XN,XN XV,0,NA
10.1002/eap.2635,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1038/s41598-021-93583-0,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1111/j.1365-2486.2012.02686.x,XV XN,XC XV XN,XN XV,0,NA
10.26656/fr.2017.7(2).669,XC XV XN,XC XN,XN XC,0,NA
10.1111/j.1654-1103.2010.01168.x,XV XN,XC XN,XN,0,NA
10.1016/j.worlddev.2021.105690,RE,XV XN,RE,8,Passed
10.1016/j.regsciurbeco.2023.103896,XN,XN,XN,0,NA
10.1016/j.apenergy.2018.08.106,XV XN,XN,XN,0,NA
10.1016/j.jclepro.2016.02.116,XO,XV XN,Disagree,1,Failed
10.3390/su11236792,XO,XC XV XN,Disagree,1,Failed
10.3354/cr01376,XN XO,XC XV XN,XN,0,NA
10.1016/j.energy.2010.08.023,XO,XV XN,Disagree,1,Failed
10.3390/rs14081870,XV XN,XN,XN,0,NA
10.1039/c2ce06463d,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.still.2020.104797,XN,XC XV XN,XN,0,NA
10.1016/j.quaint.2018.02.012,XC XV XN,XC XN,XN XC,0,NA
10.1088/1742-6596/2526/1/012038,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s10668-024-05429-0,XV XN,XN,XN,0,NA
10.1175/JHM-D-12-0140.1,XO,XC XV XN,Disagree,1,Failed
10.1016/j.ecolmodel.2010.04.003,XC XV XN,XC XV XN,XN XC XV,0,NA
10.4289/0013-8797.123.1.206,XC XN,Ambiguous,Ambiguous,2,Failed
10.1371/journal.pone.0290044,XC XV XN,XV XN,XN XV,0,NA
10.1080/15567249.2016.1217287,XC,XC XV XN,XC,0,NA
10.1002/2015JG003098,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.seppur.2020.116771,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1111/j.1365-2419.2008.00473.x,XV XN,XV XN,XN XV,0,NA
10.3130/jaabe.12.277,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.cej.2023.144796,XC XV XN,XC XN,XN XC,0,NA
10.1029/2023EF003773,Ambiguous,XC XV XN,Ambiguous,7,Passed
10.1016/j.agrformet.2023.109779,XN,XV XN,XN,0,NA
10.1007/s00338-018-1656-3,XV XN,XC XV XN,XN XV,0,NA
10.1007/s00227-020-03754-2,XC XV XN,XC XN,XN XC,0,NA
10.4324/9781315744520-6,XC,XC XV XN XA,XC,0,NA
10.1080/00288330.2016.1220955,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.jclepro.2021.129953,XV XN,XV XN,XN XV,0,NA
10.5194/acp-14-4327-2014,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.cropro.2024.106930,XC,XC XV XN,XC,0,NA
10.1186/s12870-021-03099-y,XC XN,XC XV XN,XN XC,0,NA
10.1016/j.sciaf.2024.e02454,XV XN,XN,XN,0,NA
10.1002/ps.7977,XV XN,XC XV XN,XN XV,0,NA
10.13080/z-a.2017.104.012,XV XN,XC XV XN XA,XN XV,0,NA
10.1109/WSC.2008.4736129,XC,XC XV XN XA,XC,0,NA
10.1007/s11430-009-0106-z,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1128/aem.01543-22,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1080/00288230809510463,XO,XV XN,Disagree,1,Failed
10.2112/JCOASTRES-D-13-00002.1,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3390/biology11101453,XN XA,XN,XN,0,NA
10.2478/foecol-2019-0015,XN,XC XV XN,XN,0,NA
10.1016/j.eiar.2020.106382,XN,XN,XN,0,NA
10.1098/rsta.2010.0291,RF RA,RA,RA RF,10,Passed
10.3389/fmars.2022.910085,XN,XC XV XN,XN,0,NA
10.1007/s13143-012-0016-4,XC,XC XV XN,XC,0,NA
10.1007/s10750-020-04321-y,XC XN,XC XN,XN XC,0,NA
10.1016/S0140-6736(23)02687-9,XO,XC XN,Disagree,1,Unknown
10.1139/X10-202,XN,XV XN,XN,0,NA
10.1021/acsapm.3c00140,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.energy.2023.127655,XC XN,XN,XN,0,NA
10.1016/j.agwat.2024.108777,XC XN,XC XN,XN XC,0,NA
10.1104/pp.19.01280,XC XV XN,XC XN,XN XC,0,NA
10.62754/joe.v3i7.4614,XC,XV XN,Disagree,1,Unknown
10.1016/j.jag.2016.07.001,XN,XC XV XN,XN,0,NA
10.1175/JHM-D-16-0208.1,XV XN,XC XV XN,XN XV,0,NA
10.5194/hess-28-303-2024,XN,XN,XN,0,NA
10.1016/j.worlddev.2020.105347,RE,RE,RE,5,Failed
10.1175/JCLI-D-21-0810.1,XN,XV XN,XN,0,NA
10.1007/BF01091839,XN,XN,XN,0,NA
10.1080/23322039.2024.2312777,RF RA,XV XN,RA RF,3,Unknown
10.1002/ecs2.2735,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.nucengdes.2024.113519,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.ecolmodel.2012.01.025,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s12571-023-01400-5,XO,XC XV XN,Disagree,6,Passed
10.1016/j.scitotenv.2024.174417,XN,XN,XN,0,NA
10.1016/j.gca.2016.06.037,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1002/adfm.202107312,XC XV XN,XC XV XN,XN XC XV,0,NA
10.16058/j.issn.1005-0930.2024.02.003,XV XN,XN,XN,0,NA
10.18522/2073-6606-2020-18-1-140-153,XC XN,Ambiguous,Ambiguous,7,Passed
10.1080/15140326.2024.2329840,Ambiguous,RE,Ambiguous,9,Passed
10.3724/SP.J.1226.2016.00082,XV XN,XN,XN,0,NA
10.1007/s11284-018-1645-6,XC XN,XC XV XN,XN XC,0,NA
10.1108/CG-06-2022-0241,XV XN,XC XN,XN,0,NA
10.1111/1477-8947.12384,XO,XC XV XN,Disagree,1,Failed
10.1002/eap.2103,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.indcrop.2022.115906,XC XV XN,XC XV XN,XN XC XV,0,NA
10.15389/agrobiology.2017.3.561eng,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s11270-016-2762-x,XV XN,XV XN,XN XV,0,NA
10.21177/1998-4502-2024-16-2-754-769,XN,XC XN,XN,0,NA
10.1038/s43247-024-01519-z,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.jcs.2021.103400,XV XN,XN,XN,0,NA
10.1073/pnas.2411419121,Ambiguous,XN,Ambiguous,2,Failed
10.1016/j.rse.2017.10.030,XC XN,XC XN,XN XC,0,NA
10.3112/erdkunde.2017.01.05,XN,XC XV XN,XN,0,NA
10.1016/j.jcis.2023.05.183,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.beth.2022.11.002,XC XN,XC XN,XN XC,0,NA
10.1186/s12966-014-0093-0,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1534/genetics.113.159319,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1371/journal.pone.0308170,XO,XV XN,Disagree,1,Failed
10.1002/ecs2.3129,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.buildenv.2016.01.010,XC XV XN,XV XN,XN XV,0,NA
10.1017/pab.2023.7,XC XN,XC XV XN,XN XC,0,NA
10.1016/j.esr.2024.101462,XC,XC XV XN,XC,0,NA
10.1016/j.ecss.2024.108658,XN,XV XN,XN,0,NA
10.1186/s12879-017-2611-6,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.ecolind.2023.109893,XV XN,XV XN,XN XV,0,NA
10.1061/41031(341)274,XO,XV XN,Disagree,1,Unknown
10.1016/j.ecss.2023.108571,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.eneco.2012.04.010,RE RF,RE,RE RF,5,Failed
10.1016/j.msea.2020.140335,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.jclepro.2023.138108,XV XN,XV XN,XN XV,0,NA
10.1890/13-0653.1,XN,XV XN,XN,0,NA
10.1111/evo.14514,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3390/cimb45040192,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1111/1477-8947.12424,RE RF,RE RA,RE RA RF,5,Failed
10.1038/s41598-022-08825-6,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s10644-024-09810-x,XC,XC XV XN,XC,0,NA
10.1016/j.rse.2013.11.020,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1088/1757-899X/245/3/032052,XC XN,XC XV XN,XN XC,0,NA
10.1109/ACCESS.2022.3221875,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.isprsjprs.2021.01.018,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.jece.2022.109068,XC XV XN,XC XV XN,XN XC XV,0,NA
10.7554/elife.74161,XO,XC XV XN,Disagree,6,Passed
10.1002/ecy.3793,XV XN,XC XV XN,XN XV,0,NA
10.1162/003465302317332008,RE,XC XN,RE,3,Failed
10.1007/s13762-017-1282-6,XC XV XN,XC XN,XN XC,0,NA
10.3389/fenrg.2021.769920,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1021/acsapm.4c02441,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.molp.2021.03.010,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.worlddev.2022.105967,RE,XN,RE,8,Passed
10.51599/are.2024.10.01.03,XA XO,Ambiguous,Ambiguous,2,Unknown
10.1073/pnas.1705293114,XV XN,XC XN,XN,0,NA
10.3390/en14206501,XC XV XN,XC XN,XN XC,0,NA
10.11834/jrs.20232508,XV XN,XV XN,XN XV,0,NA
10.1371/journal.pone.0098478,XV XN,XC XV XN,XN XV,0,NA
10.3390/rs14081922,XC XN,XC XV XN,XN XC,0,NA
10.26565/2410-7360-2023-59-2,XN XO,XV XN,XN,0,NA
10.1016/S0196-8904(96)00239-7,XO,XC XV XN,Disagree,1,Failed
10.1111/j.1466-8238.2012.00794.x,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3390/inorganics10100164,XC XN,XC XV XN,XN XC,0,NA
10.1007/s10584-015-1486-z,RA,XN,RA,8,Passed
10.1016/j.psep.2023.03.053,XO,XC XV XN,Disagree,1,Failed
10.1002/csc2.20782,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.envsoft.2021.105024,XO,XC,Disagree,1,Unknown
10.1016/j.gloplacha.2008.01.002,XO,XV XN,Disagree,6,Passed
10.1016/j.margeo.2015.09.013,XC XN,XC XV XN,XN XC,0,NA
10.2478/congeo-2019-0003,XV XN,XV XN,XN XV,0,NA
10.1016/j.jenvman.2020.111108,XV XN,XV XN,XN XV,0,NA
10.1088/1748-9326/accfb2,XV XN XO,XC XV XN,XN XV,0,NA
10.1038/s41467-018-04755-y,XN,XV XN,XN,0,NA
10.3389/fmicb.2024.1393538,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1108/GS-07-2020-0090,XV XN,XN,XN,0,NA
10.1111/fwb.14290,XC XN,XC XV XN,XN XC,0,NA
10.1002/rra.3921,XV XN,XV XN,XN XV,0,NA
10.1007/s10113-020-01693-8,XO,XV XN,Disagree,1,Failed
10.1016/j.ceramint.2024.07.146,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1002/wcc.295,RA,XV XN,RA,8,Passed
10.1016/S0304-3800(03)00146-7,RA,XV XN,RA,8,Passed
10.1016/j.jenvman.2018.02.021,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.scitotenv.2024.174370,XV XN,XV XN,XN XV,0,NA
10.1016/j.yqres.2016.07.003,XV XO,XC XV XN,XV,0,NA
10.1016/j.epsl.2018.05.008,XC XO,XC XV XN,XC,0,NA
10.17660/ActaHortic.2020.1285.24,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.atmosenv.2009.01.026,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.landusepol.2021.105660,XN XO,XN,XN,0,NA
10.1016/j.geomorph.2024.109448,XC,XC XV XN,XC,0,NA
10.1016/j.jenvman.2022.115500,Ambiguous,XC XN,Ambiguous,2,Unknown
10.1016/j.rser.2020.109781,XC XV XN XA,XC XV XN,XN XC XV,0,NA
10.3390/w14132112,XC XV XN,XC XN,XN XC,0,NA
10.1093/jmammal/gyab132,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.agsy.2021.103166,XO,XC XN,Disagree,1,Unknown
10.3390/ijerph16193633,XC XV XN,XV XN,XN XV,0,NA
10.1109/OAJPE.2020.3003540,XC XV XN,XC XN,XN XC,0,NA
10.1088/1755-1315/1101/6/062025,XN,XN,XN,0,NA
10.1029/2021EF002240,RE,RE,RE,10,Passed
10.1088/0022-3727/44/12/125301,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1109/TITS.2022.3186707,XC XV XN,XC XN,XN XC,0,NA
10.3390/agronomy14010071,XV XN,XC XN,XN,0,NA
10.1007/s00521-017-3324-x,XC,XC XN,XC,0,NA
10.2174/1389203717666161013095027,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.jenvman.2020.110667,XC XN,XC XN,XN XC,0,NA
10.3390/su10103804,XV XN,XV XN,XN XV,0,NA
10.1007/s11056-017-9622-4,XV XN,XC XV XN,XN XV,0,NA
10.1073/pnas.2117556119,XV XN,XV XN,XN XV,0,NA
10.1016/j.energy.2019.06.005,XC XV XN,XC XN,XN XC,0,NA
10.1007/978-94-017-9193-9_7,RE,XC XN,RE,8,Passed
10.1016/j.techfore.2023.122704,XO,XN,Disagree,1,Failed
10.1016/j.esr.2022.100971,XO,XV XN,Disagree,1,Failed
10.1016/j.envexpbot.2024.105825,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3390/rs6021451,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1002/ecm.1383,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.foreco.2021.119266,XV XN,XC XV XN,XN XV,0,NA
10.1378/chest.110.2.411,XC XN,XC XN,XN XC,0,NA
10.1136/jech-2020-215002,XV XN,XV XN,XN XV,0,NA
10.1016/j.fcr.2021.108121,XN,XC XN,XN,0,NA
10.13284/j.cnki.rddl.003587,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1080/24750263.2019.1631893,XV XN,XV XN,XN XV,0,NA
10.1016/j.geoderma.2017.02.028,XV XN,XC XV XN,XN XV,0,NA
10.1111/gcb.15820,XV XN,XC XV XN,XN XV,0,NA
10.1111/muwo.12370,RE RF,XC XN,RE RF,3,Unknown
10.1007/978-3-319-89845-2_43,XC XV XN,XC XV XN,XN XC XV,0,NA
10.5194/isprsarchives-XLI-B2-55-2016,XV XN,XV XN,XN XV,0,NA
10.1111/eva.12123,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/978-3-031-23811-6_6,XN,XN XA,XN,0,NA
10.1016/j.jenvman.2024.122470,XV XN,XV XN,XN XV,0,NA
10.1016/j.quascirev.2023.108008,XC,XC XV XN,XC,0,NA
10.1242/jeb.246592,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3390/su13084127,XN,XN,XN,0,NA
10.3390/rs6010352,XC,XC XV XN,XC,0,NA
10.1016/j.jnucmat.2024.155349,XC XN,XC XV XN,XN XC,0,NA
10.1016/j.renene.2021.06.002,XN,XN,XN,0,NA
10.3390/rs14040839,XN,XV XN,XN,0,NA
10.1016/j.jglr.2014.12.002,XN XO,XN,XN,0,NA
10.3390/su13084224,XC XN,XC XV XN,XN XC,0,NA
10.1038/s41561-020-00661-5,XC,XC XV XN,XC,0,NA
10.1016/j.enpol.2015.01.028,XO,XV XN,Disagree,1,Failed
10.5194/isprs-archives-XLIII-B3-2022-1301-2022,XC,XC XV XN,XC,0,NA
10.1016/j.biombioe.2016.05.026,XN,XC XV XN,XN,0,NA
10.1016/j.atmosres.2023.106902,XC XV XN,XV XN,XN XV,0,NA
10.5194/tc-18-1467-2024,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.polgeo.2023.102925,XO,XV XN,Disagree,1,Failed
10.3390/electronics13173401,XC XN,XC XN,XN XC,0,NA
10.1111/gcb.15725,XV XN,XV XN,XN XV,0,NA
10.1071/FP13067,XV XN,XV XN,XN XV,0,NA
10.1111/gcb.12544,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1109/TSAsia.2012.6397986,XO,XC XV XN,Disagree,1,Unknown
10.1108/MEQ-06-2024-0235,RE RF,XV XN,RE RF,3,Failed
10.1029/2019GL086551,XV XN,XN,XN,0,NA
10.1016/j.heliyon.2021.e07028,XV XN,XV XN,XN XV,0,NA
10.1007/s40195-022-01514-3,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.asr.2010.03.003,XC XV XN,XC XN,XN XC,0,NA
10.1186/s13570-020-00177-y,XV XN,XN,XN,0,NA
10.1029/2011JD015773,XC XN,XC XV XN,XN XC,0,NA
10.3389/fpubh.2024.1456729,XC XN,XC XV XN,XN XC,0,NA
10.1016/j.scitotenv.2024.174995,XV XN,XV XN,XN XV,0,NA
10.1016/j.rsma.2024.103985,XC XV XN,XC XN,XN XC,0,NA
10.1007/s11104-024-07134-3,XV XN,XC XV XN,XN XV,0,NA
10.1177/2514848620935751,XN XO,XC XV XN,XN,0,NA
10.1016/j.scitotenv.2022.158049,XV XN,XV XN,XN XV,0,NA
10.1021/acsanm.3c06196,XC XV XN,XC XV XN,XN XC XV,0,NA
10.11821/dlyj020210459,XN,XC XN,XN,0,NA
10.1007/978-3-031-73090-0_11,XO,XV XN,Disagree,1,Unknown
10.1016/j.gloenvcha.2022.102492,XO,XC XV XN,Disagree,6,Passed
10.1016/j.cbpa.2015.07.014,XC XV XN,XC XN,XN XC,0,NA
10.1016/j.dsr2.2018.11.003,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1007/s44246-024-00157-6,RE RF,XC XV,RE RF,3,Failed
10.4324/9781315651095-8,XO,XC XV XN XA,Disagree,1,Failed
10.1016/j.scitotenv.2019.134771,XN,XC XV XN,XN,0,NA
10.1038/s41560-020-0562-4,RE RF RA,XN,RE RA RF,8,Passed
10.1080/13416979.2024.2358257,XV XN,XC XN,XN,0,NA
10.1061/(ASCE)UP.1943-5444.0000287,XN,XN,XN,0,NA
10.1016/j.eap.2020.01.004,RE,XC XV XN,RE,3,Failed
10.1111/1365-2745.12561,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1002/ecy.1749/suppinfo,XN,XC XV XN,XN,0,NA
10.3390/en17122871,XC XV XN,XC XV XN,XN XC XV,0,NA
10.3389/ffgc.2023.1024101,XC XV XN,XC XN,XN XC,0,NA
10.1029/2009PA001800,XC XN,XC XV XN,XN XC,0,NA
10.1016/j.jclepro.2023.136669,XN,XN,XN,0,NA
10.1016/B978-0-443-15847-6.00013-6,XO,XN XA,Disagree,1,Unknown
10.1016/j.seares.2017.03.007,XV XN,XC XV XN,XN XV,0,NA
10.17660/ActaHortic.2022.1351.6,XV XN,XN,XN,0,NA
10.1016/j.foreco.2023.121516,XV XN,XV XN,XN XV,0,NA
10.3389/fevo.2020.540948,XV XN,XC XV XN,XN XV,0,NA
10.1016/j.rse.2012.01.014,XC XV XN,XC XV XN,XN XC XV,0,NA
10.1016/j.quascirev.2018.03.019,XC XV XN,XC XV XN,XN XC XV,0,NA
