DOI,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes,ExtractCount,Impacted Sector,Solution,Quantification,Expression,Type of Value,Sample
10.1016/j.gloenvcha.2014.04.014,,Multiple Countries,,,,Log(Economic Damages),-2.202,0.64,,,,,"Table 3, Column 2",Coefficient for Gini (avg.) in explaining economic damages from floods. Implies a negative relationship between income inequality and flood damage.,3.0,All,Any,Regression Coefficient,AvoidedImpact,Economic,Need
10.1016/j.gloenvcha.2014.04.014,,Multiple Countries,,,,Log(Economic Damages),-2.269,0.7,,,,,"Table 3, Column 3",Coefficient for Gini (avg.) in explaining economic damages from floods. Implies a negative relationship between income inequality and flood damage.,3.0,All,Any,Regression Coefficient,AvoidedImpact,Economic,Need
10.1016/j.gloenvcha.2014.04.014,,Multiple Countries,,,,Log(Economic Damages),-2.073,0.73,,,,,"Table 3, Column 4",Coefficient for Gini (avg.) in explaining economic damages from floods. Implies a negative relationship between income inequality and flood damage.,3.0,All,Any,Regression Coefficient,AvoidedImpact,Economic,Need
10.1016/j.gloenvcha.2014.04.014,,Multiple Countries,,,,Log(Economic Damages),0.796,0.65,,,,,"Table 3, Column 4",Coefficient for Pol. risk in explaining economic damages from floods. Implies a positive relationship between political risk and flood damage.,3.0,All,Any,Regression Coefficient,BaselineImpact,Economic,Need
10.1016/j.gloenvcha.2014.04.014,,Multiple Countries,,,,Log(Economic Damages),-1.349,0.52,,,,,"Table 3, Column 4",Coefficient for Investment Profile in explaining economic damages from floods. Implies a negative relationship between investment profile and flood damage.,3.0,All,Any,Regression Coefficient,AvoidedImpact,Economic,Need
10.1016/j.gloenvcha.2014.04.014,,Multiple Countries,,,,Log(Economic Damages),0.722,0.37,,,,,"Table 3, Column 4",Coefficient for Milit. in Politics in explaining economic damages from floods. Implies a positive relationship between military influence in politics and flood damage.,3.0,All,Any,Regression Coefficient,BaselineImpact,Economic,Need
10.1016/j.gloenvcha.2014.04.014,,Multiple Countries,,,,Log(Economic Damages),4.655,1.15,,,,,"Table 3, Column 2",Coefficient for Life exp in explaining economic damages from floods. Implies a positive relationship between life expectancy and flood damage.,3.0,All,Any,Regression Coefficient,BaselineImpact,Economic,Need
10.1016/j.gloenvcha.2014.04.014,,Multiple Countries,,,,Log(Economic Damages),4.068,1.41,,,,,"Table 3, Column 3",Coefficient for Life exp in explaining economic damages from floods. Implies a positive relationship between life expectancy and flood damage.,3.0,All,Any,Regression Coefficient,BaselineImpact,Economic,Need
10.1016/j.gloenvcha.2014.04.014,,Multiple Countries,,,,Log(Economic Damages),4.025,1.46,,,,,"Table 3, Column 4",Coefficient for Life exp in explaining economic damages from floods. Implies a positive relationship between life expectancy and flood damage.,3.0,All,Any,Regression Coefficient,BaselineImpact,Economic,Need
10.1016/j.gloenvcha.2014.04.014,,Multiple Countries,,,,Log(Economic Damages),0.687,0.05,,,,,"Table 3, Column 1",Coefficient for Magnitude in explaining economic damages from floods.,3.0,All,Any,Regression Coefficient,BaselineImpact,Economic,Need
10.1016/j.gloenvcha.2014.04.014,,Multiple Countries,,,,Log(Economic Damages),0.733,0.06,,,,,"Table 3, Column 2",Coefficient for Magnitude in explaining economic damages from floods.,3.0,All,Any,Regression Coefficient,BaselineImpact,Economic,Need
10.1016/j.gloenvcha.2014.04.014,,Multiple Countries,,,,Log(Economic Damages),0.845,0.06,,,,,"Table 3, Column 3",Coefficient for Magnitude in explaining economic damages from floods.,3.0,All,Any,Regression Coefficient,BaselineImpact,Economic,Need
10.1016/j.gloenvcha.2014.04.014,,Multiple Countries,,,,Log(Economic Damages),0.832,0.06,,,,,"Table 3, Column 4",Coefficient for Magnitude in explaining economic damages from floods.,3.0,All,Any,Regression Coefficient,BaselineImpact,Economic,Need
10.1016/j.gloenvcha.2014.04.014,,Multiple Countries,,,,Log(Economic Damages),0.885,0.12,,,,,"Table 3, Column 1",Coefficient for Total GDP in explaining economic damages from floods.,3.0,All,Any,Regression Coefficient,BaselineImpact,Economic,Need
10.1016/j.gloenvcha.2014.04.014,,Multiple Countries,,,,Log(Economic Damages),0.543,0.12,,,,,"Table 3, Column 2",Coefficient for Total GDP in explaining economic damages from floods.,3.0,All,Any,Regression Coefficient,BaselineImpact,Economic,Need
10.1016/j.gloenvcha.2014.04.014,,Multiple Countries,,,,Log(Economic Damages),0.703,0.12,,,,,"Table 3, Column 3",Coefficient for Total GDP in explaining economic damages from floods.,3.0,All,Any,Regression Coefficient,BaselineImpact,Economic,Need
10.1016/j.gloenvcha.2014.04.014,,Multiple Countries,,,,Log(Economic Damages),0.713,0.12,,,,,"Table 3, Column 4",Coefficient for Total GDP in explaining economic damages from floods.,3.0,All,Any,Regression Coefficient,BaselineImpact,Economic,Need
10.1016/j.gloenvcha.2014.04.014,,Multiple Countries,,,,Log(Economic Damages),-0.023,0.01,,,,,"Table 3, Column 1",Coefficient for Time Trend in explaining economic damages from floods.,3.0,All,Any,Regression Coefficient,BaselineImpact,Economic,Need
10.1016/j.gloenvcha.2014.04.014,,Multiple Countries,,,,Log(Economic Damages),-0.06,0.02,,,,,"Table 3, Column 3",Coefficient for Time Trend in explaining economic damages from floods.,3.0,All,Any,Regression Coefficient,BaselineImpact,Economic,Need
10.1016/j.gloenvcha.2014.04.014,,Multiple Countries,,,,Log(Economic Damages),-0.317,0.17,,,,,"Table 3, Column 1",Coefficient for GDPpc in explaining economic damages from floods. Implies a negative relationship between GDP per capita and flood damage.,3.0,All,Any,Regression Coefficient,AvoidedImpact,Economic,Need
10.1016/j.gloenvcha.2014.04.014,,Multiple Countries,,,,Log(Economic Damages),-0.384,0.16,,,,,"Table 3, Column 2",Coefficient for GDPpc in explaining economic damages from floods. Implies a negative relationship between GDP per capita and flood damage.,3.0,All,Any,Regression Coefficient,AvoidedImpact,Economic,Need
10.1016/j.gloenvcha.2014.04.014,,Multiple Countries,,,,Log(Economic Damages),-0.498,0.2,,,,,"Table 3, Column 3",Coefficient for GDPpc in explaining economic damages from floods. Implies a negative relationship between GDP per capita and flood damage.,3.0,All,Any,Regression Coefficient,AvoidedImpact,Economic,Need
10.1016/j.gloenvcha.2014.04.014,,Multiple Countries,,,,Log(Economic Damages),-0.496,0.18,,,,,"Table 3, Column 4",Coefficient for GDPpc in explaining economic damages from floods. Implies a negative relationship between GDP per capita and flood damage.,3.0,All,Any,Regression Coefficient,AvoidedImpact,Economic,Need
10.1016/j.gloenvcha.2014.04.014,,Range of Countries,Historical Data,,,Log Deaths/Log Unit,0.812,0.27,,,,,,Table 2,3.0,All,Institutional Improvement,Regression Coefficient,AvoidedImpact,Economic,Need
10.1016/j.gloenvcha.2014.04.014,,Range of Countries,Historical Data,,,Log Deaths/Log Unit,0.455,0.25,,,,,,Table 2,3.0,All,Institutional Improvement,Regression Coefficient,AvoidedImpact,Economic,Need
10.1016/j.gloenvcha.2014.04.014,,Range of Countries,Historical Data,,,Log Deaths/Log Unit,-1.477,0.38,,,,,,Table 2,3.0,All,Institutional Improvement,Regression Coefficient,AvoidedImpact,Economic,Need
10.1016/j.gloenvcha.2014.04.014,,Range of Countries,Historical Data,,,Log Deaths/Log Unit,-1.313,0.73,,,,,,Table 2,3.0,All,Education,Regression Coefficient,AvoidedImpact,Economic,Need
10.1016/j.gloenvcha.2014.04.014,,Range of Countries,Historical Data,,,Log Deaths/Log Unit,-2.695,1.31,,,,,,Table 2,3.0,All,Education,Regression Coefficient,AvoidedImpact,Economic,Need
10.1016/j.gloenvcha.2014.04.014,,Range of Countries,Historical Data,,,Log Deaths/Log Unit,-1.665,0.69,,,,,,Table 2,3.0,All,Institutional Improvement,Regression Coefficient,AvoidedImpact,Economic,Need
10.1016/j.gloenvcha.2014.04.014,,Range of Countries,Historical Data,,,Log Deaths/Log Unit,-1.366,0.51,,,,,,Table 2,3.0,All,Institutional Improvement,Regression Coefficient,AvoidedImpact,Economic,Need
10.1016/j.gloenvcha.2014.04.014,,Range of Countries,Historical Data,,,Log Deaths/Log Unit,-0.563,0.09,,,,,,Table 2,3.0,All,Economic Development,Regression Coefficient,AvoidedImpact,Economic,Need
10.5194/nhess-15-895-2015,,Not specified in the notes,,,,%,0.0,,,,,,"Abstract, Page 896",Forecast-based humanitarian action offers a return on investment through reduced vulnerability and improved disaster preparedness.,1.0,All,Forecast-based Financing,Return on Investment,RateOfReturn(),Economic,Need
10.5194/nhess-15-895-2015,,India,,,,People Evacuated,800000.0,,,,,,Page 896,"800,000 people evacuated before Cyclone Phailin",1.0,All,Forecast-based Financing,Avoided Losses,NonMonetaryBenefits,Economic,Need
10.5194/nhess-15-895-2015,,West Africa,,,,Days,38.0,,,,,,Page 896,"Disaster management supplies were sourced ahead of time based on a 2008 seasonal forecast of above-normal rainfall, which improved supply availability from about 40 days to 2 days when flooding did occur in the region",1.0,All,Forecast-based Financing,Days Saved,NonMonetaryBenefits,Economic,Lead
10.1007/978-94-017-9193-9_7,,California,Any,,,million USD,32.0,,,,,,Page 233,Average cost of a single fruit fly eradication campaign.,3.0,Agriculture,Eradication,AdaptationCost,CapExCost,Monetary,Need
10.1007/978-94-017-9193-9_7,,California,Any,,,million USD,100.0,,,,,,Page 233,Eradication effort in 1980-81 in the San Francisco Bay Area.,3.0,Agriculture,Eradication,AdaptationCost,CapExCost,Monetary,Need
10.1007/978-94-017-9193-9_7,,Japan,Any,,,million USD,177.2,,,,,,Page 233,Four eradication campaigns against the melon fly in Okinawa prefecture from 1973 to 1992.,3.0,Agriculture,Eradication,AdaptationCost,CapExCost,Monetary,Need
10.1007/978-94-017-9193-9_7,,California,Any,,,million USD,564.0,,,,,,Page 233,Revenue loss following an embargo on Californian fruits by Asian countries.,3.0,Agriculture,Quarantine,Economic impacts,BaselineImpact,Economic,Need
10.1007/978-94-017-9193-9_7,,California,Any,,,jobs,14000.0,,,,,,Page 233,Loss of jobs due to medfly establishment.,3.0,Agriculture,Quarantine,Economic impacts,BaselineImpact,Economic,Need
10.1007/978-94-017-9193-9_7,,USA,Any,,,million USD / yr,63.0,,,,,,Page 233,USDA-APHIS spending on fruit fly exclusion and detection in 2010.,3.0,Agriculture,Exclusion and Detection,AdaptationCost,OpExCost,Fiscal,Need
10.1007/978-94-017-9193-9_7,,USA,,,,billion USD / yr,12.0,,,,,,Page 234,"The paper mentions a $12 billion threat to the US fruit producing industry due to the Mediterranean fruit fly (medfly), Ceratitis capitata (Wiedemann).",3.0,Agriculture,Pest Management,Economic Impact,BaselineImpact,Economic,Need
10.1007/978-94-017-9193-9_7,,USA,,,,million USD,927.75,,,,,,page 233,Potential impact of A. ludens (Mexican fruit fly) establishment in the USA.,3.0,Agriculture,Pest Control,Economic Impact,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP585,,,%,37.0,,,,,,Page 13,Decline in MRP (37%) and MPP (47%) are due to reduction and shift in abundance of low-catch and high-economic value species.,1.0,Fisheries,Any,MRP and MPP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP585,,,%,47.0,,,,,,Page 13,Decline in MRP (37%) and MPP (47%) are due to reduction and shift in abundance of low-catch and high-economic value species.,1.0,Fisheries,Any,MRP and MPP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP126,,,%,-12.02,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2021-2040,1.0,Fisheries,Any,MRP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP126,,,%,-15.72,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2021-2040,1.0,Fisheries,Any,MPP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP126,,,%,-18.28,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2041-2060,1.0,Fisheries,Any,MRP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP126,,,%,-22.74,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2041-2060,1.0,Fisheries,Any,MPP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP126,,,%,-20.92,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2061-2080,1.0,Fisheries,Any,MRP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP126,,,%,-26.21,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2061-2080,1.0,Fisheries,Any,MPP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP126,,,%,-23.12,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2081-2100,1.0,Fisheries,Any,MRP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP126,,,%,-28.25,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2081-2100,1.0,Fisheries,Any,MPP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP245,,,%,-6.7,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2021-2040,1.0,Fisheries,Any,MRP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP245,,,%,-9.95,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2021-2040,1.0,Fisheries,Any,MPP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP245,,,%,-17.42,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2041-2060,1.0,Fisheries,Any,MRP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP245,,,%,-23.3,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2041-2060,1.0,Fisheries,Any,MPP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP245,,,%,-23.88,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2061-2080,1.0,Fisheries,Any,MRP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP245,,,%,-30.77,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2061-2080,1.0,Fisheries,Any,MPP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP245,,,%,-32.55,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2081-2100,1.0,Fisheries,Any,MRP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP245,,,%,-40.55,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2081-2100,1.0,Fisheries,Any,MPP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP370,,,%,-6.72,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2021-2040,1.0,Fisheries,Any,MRP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP370,,,%,-10.38,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2021-2040,1.0,Fisheries,Any,MPP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP370,,,%,-16.81,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2041-2060,1.0,Fisheries,Any,MRP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP370,,,%,-23.46,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2041-2060,1.0,Fisheries,Any,MPP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP370,,,%,-29.07,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2061-2080,1.0,Fisheries,Any,MRP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP370,,,%,-37.66,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2061-2080,1.0,Fisheries,Any,MPP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP370,,,%,-35.5,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2081-2100,1.0,Fisheries,Any,MRP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP370,,,%,-44.28,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2081-2100,1.0,Fisheries,Any,MPP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP585,,,%,-9.27,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2021-2040,1.0,Fisheries,Any,MRP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP585,,,%,-13.22,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2021-2040,1.0,Fisheries,Any,MPP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP585,,,%,-23.96,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2041-2060,1.0,Fisheries,Any,MRP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP585,,,%,-31.66,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2041-2060,1.0,Fisheries,Any,MPP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP585,,,%,-33.79,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2061-2080,1.0,Fisheries,Any,MRP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP585,,,%,-42.68,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2061-2080,1.0,Fisheries,Any,MPP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP585,,,%,-37.37,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2081-2100,1.0,Fisheries,Any,MRP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP585,,,%,-46.83,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2081-2100,1.0,Fisheries,Any,MPP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP126,,,%,1.92,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2021-2040,1.0,Fisheries,Any,MCP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP245,,,%,4.68,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2021-2040,1.0,Fisheries,Any,MCP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP370,,,%,5.58,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2021-2040,1.0,Fisheries,Any,MCP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP585,,,%,3.98,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2021-2040,1.0,Fisheries,Any,MCP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP126,,,%,-4.55,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2041-2060,1.0,Fisheries,Any,MCP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP245,,,%,-0.86,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2041-2060,1.0,Fisheries,Any,MCP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP370,,,%,2.8,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2041-2060,1.0,Fisheries,Any,MCP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP585,,,%,-2.04,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2041-2060,1.0,Fisheries,Any,MCP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP126,,,%,-5.27,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2061-2080,1.0,Fisheries,Any,MCP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP245,,,%,-3.65,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2061-2080,1.0,Fisheries,Any,MCP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP370,,,%,-3.22,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2061-2080,1.0,Fisheries,Any,MCP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP585,,,%,-3.89,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2061-2080,1.0,Fisheries,Any,MCP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP126,,,%,-7.1,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2081-2100,1.0,Fisheries,Any,MCP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP245,,,%,-7.09,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2081-2100,1.0,Fisheries,Any,MCP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP370,,,%,-5.65,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2081-2100,1.0,Fisheries,Any,MCP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP585,,,%,-4.22,,,,,,Table 2,Percentage change relative to present (2000-2019) for 2081-2100,1.0,Fisheries,Any,MCP,BaselineImpact,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP126,,,million USD / yr,0.0,,,,,,Page 15,Projected increases in MCP in the NEBS and Chukchi Sea under SSP126 did not result into significant increases in MRP and MPP - implying near zero benefit from increased catch potential,1.0,Fisheries,Any,MRP,MonetaryBenefits,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP585,,,million USD / yr,0.0,,,,,,Page 15,Projected increases in MCP in the NEBS and Chukchi Sea under SSP585 did not result into significant increases in MRP and MPP - implying near zero benefit from increased catch potential,1.0,Fisheries,Any,MRP,MonetaryBenefits,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP126,,,million USD / yr,0.0,,,,,,Page 15,Projected increases in MCP in the NEBS and Chukchi Sea under SSP126 did not result into significant increases in MRP and MPP - implying near zero benefit from increased catch potential,1.0,Fisheries,Any,MPP,MonetaryBenefits,Economic,Need
10.1371/journal.pone.0304718,,"US, Russia",SSP585,,,million USD / yr,0.0,,,,,,Page 15,Projected increases in MCP in the NEBS and Chukchi Sea under SSP585 did not result into significant increases in MRP and MPP - implying near zero benefit from increased catch potential,1.0,Fisheries,Any,MPP,MonetaryBenefits,Economic,Need
10.1002/wcc.295,,South Africa,Unmitigated emissions pathway,,,%,4.0,,,,,,Page 5,Increase in average annual irrigation demand,1.0,Agriculture,Any,Irrigation Demand,AdaptationCost,Economic,Need
10.1002/wcc.295,,South Africa,Unmitigated emissions pathway,,,%,6.0,,,,,,Page 5,Increase in average annual irrigation demand,1.0,Agriculture,Any,Irrigation Demand,AdaptationCost,Economic,Need
10.1038/s41467-023-37858-2,,U.S. Virgin Islands,"Sea-level rise, storm surge",,,mm y-1,0.0,,,,,,Page 2,"The study focuses on the impact of reef degradation due to climate change on coastal flooding and the potential benefits of reef restoration. While the qualitative description suggests economic and tourism benefits through avoided flooding, the page does not provide specific quantitative results regarding national-scale economic costs or benefits expressed as a monetary value. '0' is used here as a placeholder because the actual value is missing.",1.0,Tourism,Coral Restoration,Hydrodynamic modeling,AvoidedImpact,Economic,Need
10.1038/s41467-023-37858-2,,U.S. Virgin Islands,"Fixed mortality, 500k",,,mm y−1,7.38,0.6,,,,,Page 3,Average reef accretion potential by 2100,1.0,Tourism,Reef Restoration,Reef accretion potential,NonMonetaryBenefits,Economic,Need
10.1038/s41467-023-37858-2,,U.S. Virgin Islands,"Fixed mortality, 500k",,,m,0.25,0.02,,,,,Page 3,Vertical accretion by 2050,1.0,Tourism,Reef Restoration,Vertical accretion,NonMonetaryBenefits,Economic,Need
10.1038/s41467-023-37858-2,,U.S. Virgin Islands,"Fixed mortality, 500k",,,m,0.62,0.05,,,,,Page 3,Vertical accretion by 2100,1.0,Tourism,Reef Restoration,Vertical accretion,NonMonetaryBenefits,Economic,Need
10.1038/s41467-023-37858-2,,U.S. Virgin Islands,SLR & Storm,,,million USD / yr,0.0,,,,,,Highlights,"A. palmata restoration can mitigate flooding by restoring reef accretion, offsetting sea-level rise effects and protecting coastal infrastructure, but has high upfront costs.  Zero value because the amount is not quantified in this section.",1.0,Tourism,Coral Reef Restoration,Avoided infrastructure damage,AvoidedImpact,Economic,Need
10.1038/s41467-023-37858-2,,U.S. Virgin Islands,SSP1-2.6 to SSP2-4.5,,,m,0.2,,,,,,Page 8,Projected decrease in wave-driven water levels during storms due to restoration.,1.0,Tourism,Restoration,Water Level Reduction,AvoidedImpact,Economic,Need
10.1038/s41467-023-37858-2,,U.S. Virgin Islands,SSP5-8.5,,,m,0.3,,,,,,Page 8,Restoration could keep water depths at the reef crest near the lowest predictions of sea-level rise.,1.0,Tourism,Restoration,Water Level Maintenance,NonMonetaryBenefits,Economic,Need
10.3354/cr01134,,Philippines,Historical,,,%,17.0,,,,,58.0,Abstract,"Increase in housing damage due to increased typhoon intensity by 2085, assuming constant adaptive capacity.",1.0,Housing,Adaptation,Housing damage,BaselineImpact,Economic,Need
10.3354/cr01134,,Philippines,2085 projection,,,buildings per 1000 inhabitants,0.0,,,,,,Page 6,"The paper projects potential increases in housing damage by 2085, but specific monetary costs are not directly calculated on this page. Mentions regional R2 values 0.56, 0.24, 0.21 and 0.48 for regressions of windspeed on housing damage; these are not monetary and also are not for adaptation but rather for baseline risk assessment.",1.0,Housing,Any,Regression analysis,BaselineImpact,Economic,Need
10.3354/cr01134,,Philippines,Scenario A,,,%,18.0,,,,,,Table 2,Increase in damage to houses in North Philippines compared to current expectations.,1.0,Housing,Adaptation,Housing Damage Increase,BaselineImpact,Economic,Need
10.3354/cr01134,,Philippines,Scenario B,,,%,37.0,,,,,,Table 2,Increase in damage to houses in North Philippines compared to current expectations.,1.0,Housing,Adaptation,Housing Damage Increase,BaselineImpact,Economic,Need
10.3354/cr01134,,Philippines,Scenario A,,,%,28.0,,,,,,Table 2,Increase in damage to houses in National Capital Region (Manila) compared to current expectations.,1.0,Housing,Adaptation,Housing Damage Increase,BaselineImpact,Economic,Need
10.3354/cr01134,,Philippines,Scenario B,,,%,58.0,,,,,,Table 2,Increase in damage to houses in National Capital Region (Manila) compared to current expectations.,1.0,Housing,Adaptation,Housing Damage Increase,BaselineImpact,Economic,Need
10.3354/cr01134,,Philippines,Scenario A,,,%,29.0,,,,,,Table 2,Increase in damage to houses in Islands (west Philippines) compared to current expectations.,1.0,Housing,Adaptation,Housing Damage Increase,BaselineImpact,Economic,Need
10.3354/cr01134,,Philippines,Scenario B,,,%,58.0,,,,,,Table 2,Increase in damage to houses in Islands (west Philippines) compared to current expectations.,1.0,Housing,Adaptation,Housing Damage Increase,BaselineImpact,Economic,Need
10.3354/cr01134,,Philippines,Scenario A,,,%,21.0,,,,,,Table 2,Increase in damage to houses in Islands (east and central Philippines) compared to current expectations.,1.0,Housing,Adaptation,Housing Damage Increase,BaselineImpact,Economic,Need
10.3354/cr01134,,Philippines,Scenario B,,,%,47.0,,,,,,Table 2,Increase in damage to houses in Islands (east and central Philippines) compared to current expectations.,1.0,Housing,Adaptation,Housing Damage Increase,BaselineImpact,Economic,Need
10.3354/cr01134,,Philippines,Scenario A,,,houses per 1000 inhabitants,30.0,,,,,,Page 57,Damage can be can be as high as 30 (Scenario A) to 36 (Scenario B) houses per 1000 inhabitants (up from 25 damaged houses for the Control Scenario).,1.0,Housing,Adaptation,Housing Damage,BaselineImpact,Economic,Need
10.3354/cr01134,,Philippines,Scenario B,,,houses per 1000 inhabitants,36.0,,,,,,Page 57,Damage can be can be as high as 30 (Scenario A) to 36 (Scenario B) houses per 1000 inhabitants (up from 25 damaged houses for the Control Scenario).,1.0,Housing,Adaptation,Housing Damage,BaselineImpact,Economic,Need
