DOI,Outcome,Country(ies),Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes,ExtractCount
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 Countries,Historical Data (1980-2008),2008.0,1980,log,0.687,0.05,,,,,30,"Magnitude coefficient in column (1); p<0.01, significant",3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 Countries,Historical Data (1980-2008),2008.0,1980,log,0.733,0.06,,,,,30,"Magnitude coefficient in column (2); p<0.01, significant",3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 Countries,Historical Data (1980-2008),2008.0,1980,log,0.845,0.06,,,,,30,"Magnitude coefficient in column (3); p<0.01, significant",3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 Countries,Historical Data (1980-2008),2008.0,1980,log,0.832,0.06,,,,,30,"Magnitude coefficient in column (4); p<0.01, significant",3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 Countries,Historical Data (1980-2008),2008.0,1980,log,0.885,0.12,,,,,30,"Total GDP coefficient in column (1); p<0.01, significant",3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 Countries,Historical Data (1980-2008),2008.0,1980,log,0.543,0.12,,,,,30,"Total GDP coefficient in column (2); p<0.01, significant",3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 Countries,Historical Data (1980-2008),2008.0,1980,log,0.703,0.12,,,,,30,"Total GDP coefficient in column (3); p<0.01, significant",3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 Countries,Historical Data (1980-2008),2008.0,1980,log,0.713,0.12,,,,,30,"Total GDP coefficient in column (4); p<0.01, significant",3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 Countries,Historical Data (1980-2008),2008.0,1980,log,-0.023,0.01,,,,,30,"Time trend coefficient in column (1); p<0.05, significant",3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 Countries,Historical Data (1980-2008),2008.0,1980,log,-0.06,0.02,,,,,30,"Time trend coefficient in column (3); p<0.01, significant",3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 Countries,Historical Data (1980-2008),2008.0,1980,log,-0.317,0.17,,,,,30,"GDPpc coefficient in column (1); p<0.10, significant",3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 Countries,Historical Data (1980-2008),2008.0,1980,log,-0.384,0.16,,,,,30,"GDPpc coefficient in column (2); p<0.05, significant",3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 Countries,Historical Data (1980-2008),2008.0,1980,log,-0.498,0.2,,,,,30,"GDPpc coefficient in column (3); p<0.05, significant",3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 Countries,Historical Data (1980-2008),2008.0,1980,log,-0.496,0.18,,,,,30,"GDPpc coefficient in column (4); p<0.01, significant",3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 Countries,Historical Data (1980-2008),2008.0,1980,log,-2.202,0.64,,,,,30,"Gini coefficient in column (2); p<0.01, significant",3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 Countries,Historical Data (1980-2008),2008.0,1980,log,-2.269,0.7,,,,,30,"Gini coefficient in column (3); p<0.01, significant",3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 Countries,Historical Data (1980-2008),2008.0,1980,log,-2.073,0.73,,,,,30,"Gini coefficient in column (4); p<0.01, significant",3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 Countries,Historical Data (1980-2008),2008.0,1980,log,-1.349,0.52,,,,,30,"Investment Profile coefficient in column (4); p<0.05, significant",3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 Countries,Historical Data (1980-2008),2008.0,1980,log,0.722,0.37,,,,,30,"Milit. in Politics coefficient in column (4); p<0.10, significant",3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 Countries,Historical Data (1980-2008),2008.0,1980,log,4.655,1.15,,,,,30,"Life exp coefficient in column (2); p<0.01, significant",3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 Countries,Historical Data (1980-2008),2008.0,1980,log,4.068,1.41,,,,,30,"Life exp coefficient in column (3); p<0.01, significant",3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 Countries,Historical Data (1980-2008),2008.0,1980,log,4.025,1.46,,,,,30,"Life exp coefficient in column (4); p<0.01, significant",3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 countries,Historical Data (1980-2008),1994.0,No CC,Log,1.409,0.18,,,,,31,"Magnitude (wind speed, rainfall, etc.) significantly correlated with economic damages; Averaged year of 1980-2008 used.",3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 countries,Historical Data (1980-2008),1994.0,No CC,Log,1.481,0.16,,,,,31,"Magnitude (wind speed, rainfall, etc.) significantly correlated with economic damages; Averaged year of 1980-2008 used.",3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 countries,Historical Data (1980-2008),1994.0,No CC,Log,1.581,0.14,,,,,31,"Magnitude (wind speed, rainfall, etc.) significantly correlated with economic damages; Averaged year of 1980-2008 used.",3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 countries,Historical Data (1980-2008),1994.0,No CC,Log,1.65,0.14,,,,,31,"Magnitude (wind speed, rainfall, etc.) significantly correlated with economic damages; Averaged year of 1980-2008 used.",3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 countries,Historical Data (1980-2008),1994.0,No CC,Log,0.871,0.21,,,,,31,Total GDP significantly correlated with economic damages; Averaged year of 1980-2008 used.,3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 countries,Historical Data (1980-2008),1994.0,No CC,Log,0.813,0.18,,,,,31,Total GDP significantly correlated with economic damages; Averaged year of 1980-2008 used.,3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 countries,Historical Data (1980-2008),1994.0,No CC,Log,1.104,0.13,,,,,31,Total GDP significantly correlated with economic damages; Averaged year of 1980-2008 used.,3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 countries,Historical Data (1980-2008),1994.0,No CC,Log,0.812,0.15,,,,,31,Total GDP significantly correlated with economic damages; Averaged year of 1980-2008 used.,3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 countries,Historical Data (1980-2008),1994.0,No CC,Log,-0.573,0.16,,,,,31,Area significantly correlated with lower economic damages; Averaged year of 1980-2008 used.,3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 countries,Historical Data (1980-2008),1994.0,No CC,Log,-0.711,0.17,,,,,31,Area significantly correlated with lower economic damages; Averaged year of 1980-2008 used.,3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 countries,Historical Data (1980-2008),1994.0,No CC,Log,-0.718,0.13,,,,,31,Area significantly correlated with lower economic damages; Averaged year of 1980-2008 used.,3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 countries,Historical Data (1980-2008),1994.0,No CC,Log,-1.305,0.25,,,,,31,GDP per capita significantly correlated with lower economic damages; Averaged year of 1980-2008 used.,3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 countries,Historical Data (1980-2008),1994.0,No CC,Log,-1.856,0.34,,,,,31,GDP per capita significantly correlated with lower economic damages; Averaged year of 1980-2008 used.,3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 countries,Historical Data (1980-2008),1994.0,No CC,Log,-1.211,0.3,,,,,31,GDP per capita significantly correlated with lower economic damages; Averaged year of 1980-2008 used.,3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 countries,Historical Data (1980-2008),1994.0,No CC,Log,4.171,1.68,,,,,31,Gini coefficient significantly correlated with higher economic damages; Averaged year of 1980-2008 used.,3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 countries,Historical Data (1980-2008),1994.0,No CC,Log,3.558,1.68,,,,,31,Gini coefficient significantly correlated with higher economic damages; Averaged year of 1980-2008 used.,3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 countries,Historical Data (1980-2008),1994.0,No CC,Log,4.481,1.54,,,,,31,Gini coefficient significantly correlated with higher economic damages; Averaged year of 1980-2008 used.,3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 countries,Historical Data (1980-2008),1994.0,No CC,Log,2.874,1.42,,,,,31,Political Risk significantly correlated with higher economic damages; Averaged year of 1980-2008 used.,3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 countries,Historical Data (1980-2008),1994.0,No CC,Log,2.994,0.79,,,,,31,Socioeconomic Conditions significantly correlated with higher economic damages; Averaged year of 1980-2008 used.,3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 countries,Historical Data (1980-2008),1994.0,No CC,Log,-2.171,1.24,,,,,31,Investment Profile significantly correlated with lower economic damages; Averaged year of 1980-2008 used.,3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 countries,Historical Data (1980-2008),1994.0,No CC,Log,1.274,0.7,,,,,31,Ethnic Tensions significantly correlated with higher economic damages; Averaged year of 1980-2008 used.,3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 countries,Historical Data (1980-2008),1994.0,No CC,Log,1.391,0.35,,,,,31,Credit/GDP significantly correlated with higher economic damages; Averaged year of 1980-2008 used.,3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 countries,Historical Data (1980-2008),1994.0,No CC,Log,0.961,0.42,,,,,31,Credit/GDP significantly correlated with higher economic damages; Averaged year of 1980-2008 used.,3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 countries,Historical Data (1980-2008),1994.0,No CC,Log,-1.324,0.6,,,,,31,Trade significantly correlated with lower economic damages; Averaged year of 1980-2008 used.,3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 countries,Historical Data (1980-2008),1994.0,No CC,Log,-1.274,0.57,,,,,31,Trade significantly correlated with lower economic damages; Averaged year of 1980-2008 used.,3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 countries,Historical Data (1980-2008),1994.0,No CC,Log,-1.818,0.5,,,,,31,Trade significantly correlated with lower economic damages; Averaged year of 1980-2008 used.,3.0
10.1016/j.gloenvcha.2014.04.014,Disaster Deaths,36 countries,Historical (1980-2008),1994.0,No CC,%,1.477,0.38,,,,,p. 29,"This is the impact of a 1% increase in government expenditure as a percentage of GDP on the number killed by tropical cyclones. Value is negative, indicating a reduction in disaster deaths.",3.0
10.1016/j.gloenvcha.2014.04.014,Disaster Deaths,36 countries,Historical (1980-2008),1994.0,No CC,%,2.695,1.31,,,,,p. 29,"This is the impact of a 1% increase in primary school enrollment on the number killed by tropical cyclones. Value is negative, indicating a reduction in disaster deaths.",3.0
10.1016/j.gloenvcha.2014.04.014,Disaster Deaths,36 countries,Historical (1980-2008),1994.0,No CC,%,0.455,0.25,,,,,p. 29,"This is the impact of a 1% increase in Credit/GDP on the number killed by tropical cyclones. Value is negative, indicating a reduction in disaster deaths.",3.0
10.1016/j.gloenvcha.2014.04.014,Disaster Deaths,36 countries,Historical (1980-2008),1994.0,No CC,%,-1.366,0.51,,,,,p. 29,"This is the impact of a 1 unit increase in Military in Politics on the number killed by tropical cyclones. Value is negative, indicating a reduction in disaster deaths.",3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 countries,Historical Data (1980-2008),1994.0,No CC,Log,-1.211,0.3,,,,,31,GDP per capita significantly correlated with lower economic damages; Averaged year of 1980-2008 used.,3.0
10.1016/j.gloenvcha.2014.04.014,Economic Damages,36-44 countries,Historical Data (1980-2008),1994.0,No CC,Log,1.391,0.35,,,,,31,Credit/GDP significantly correlated with higher economic damages; Averaged year of 1980-2008 used.,3.0
10.1038/s41558-019-0607-5,Banking Crises Frequency,Global,SSP5,2100.0,No CC,%,26.0,,,,,,829,Lower bound estimate,3.0
10.1038/s41558-019-0607-5,Banking Crises Frequency,Global,SSP5,2100.0,No CC,%,248.0,,,,,,829,Upper bound estimate,3.0
10.1038/s41558-019-0607-5,Fiscal Burden,Global,SSP5,2100.0,No CC,% of GDP per year,5.0,,,,,,829,Lower bound estimate due to rescuing insolvent banks,3.0
10.1038/s41558-019-0607-5,Fiscal Burden,Global,SSP5,2100.0,No CC,% of GDP per year,15.0,,,,,,829,Upper bound estimate due to rescuing insolvent banks,3.0
10.1038/s41558-019-0607-5,Public Debt Ratio,Global,SSP5,2100.0,No CC,Factor,2.0,,,,,,829,Increase in ratio of public debt to GDP,3.0
10.1038/s41558-019-0607-5,Bailout Costs,Global,SSP5,2050.0,No CC,% of GDP,30.0,,,,,,,,3.0
10.1016/j.scitotenv.2020.138855,Economic damages,33 European countries,1980-2017 HMHs,2017.0,No CC,Billion USD,0.0,,,,,,"Page 6, Fig 1","Data from Munich Re, 2019, bar graphs show economic damages in billion USD, value estimated at zero because figure is qualitative",1.0
10.1016/j.scitotenv.2020.138855,Economic damages,7 European countries,1980-2017 HMHs,2017.0,No CC,Billion USD,0.0,,,,,,"Page 6, Fig 1","Data from Munich Re, 2019, bar graphs show economic damages in billion USD, value estimated at zero because figure is qualitative",1.0
10.1016/j.scitotenv.2020.138855,Economic damages,Europe,Historical,2019.0,No CC,USD,502600000000.0,,,,,,7,Total economic losses from 1900-2019,1.0
10.1016/j.scitotenv.2020.138855,Economic damages,Germany,Historical,2002.0,No CC,USD,12900000000.0,,,,,,7,Floods,1.0
10.1016/j.scitotenv.2020.138855,Economic damages,Germany,Historical,2013.0,No CC,USD,7800000000.0,,,,,,7,Floods,1.0
10.1016/j.scitotenv.2020.138855,Economic damages,Europe,Future,2100.0,Current (2020),USD,88800000000.0,,,,,,7,Expected annual economic loss by the end of the 21st century.,1.0
10.1146/annurev-resource-100815-095343,GDP,Unspecified,Historical climate data,2014.0,No CC,% per meter per second,-0.02,,,,,,22,"GDP loss surrounding cyclone 15 years after exposure based on Hsiang & Jina (2014), associated with tropical cyclones. Values extracted from the graph.",2.0
10.1146/annurev-resource-100815-095343,GDP,Haiti & neighbors,Tropical cyclone exposure,2029.0,No cyclone,% per meter per second,-0.02,,,,,,22,"Effect on own GDP following cyclone exposure, 15 years after. Assuming cyclone happened in 2014 for illustration.",2.0
10.32479/ijeep.14045,Gross Capital Formation,Egypt,,2020.0,No CC,coefficient,1.375,0.586,,,,,,Page 7,2.0
10.32479/ijeep.14045,Gross Capital Formation,Egypt,,2020.0,No CC,coefficient,1.615,0.548,,,,,,Page 7,2.0
10.1080/15140326.2024.2329840,GDP,China,High Temperature Regime,2021.0,Low Temperature Regime,%,-0.3,,,,,,Page 12,"Describes the response of output to a positive monetary policy shock. Output increases 0.4% under low regime, and only 0.1% under high regimes.",3.0
10.1080/15140326.2024.2329840,GDP,China,High Temperature Regime,2024.0,Low Temperature Regime,%,-0.3,,,,,,12,"Impact of positive monetary policy shocks. The year is based on the publication date, as no specific year is given in the text for the simulation.",3.0
10.1080/15140326.2024.2329840,GDP,China,Low Temperature Regime,2021.0,No Monetary Policy Shock,%,0.4,,,,,,Page 12,Response of output to a positive monetary policy shock.,3.0
10.1080/15140326.2024.2329840,GDP,China,Low Temperature Regime,2024.0,No monetary policy shock,%,0.4,,,,,,12,"Impact of positive monetary policy shocks. The year is based on the publication date, as no specific year is given in the text for the simulation.",3.0
10.1080/15140326.2024.2329840,GDP,China,High Temperature Regime,2021.0,No Monetary Policy Shock,%,0.1,,,,,,Page 12,Response of output to a positive monetary policy shock.,3.0
10.1080/15140326.2024.2329840,GDP,China,High Temperature Regime,2024.0,No monetary policy shock,%,0.1,,,,,,12,"Impact of positive monetary policy shocks. The year is based on the publication date, as no specific year is given in the text for the simulation.",3.0
10.1080/15140326.2024.2329840,GDP,China,High Temperature Regime,2024.0,No CC,percent,-0.9,,,,,,Page 12,Output falls by at most approximately 0.9% under high regimes due to one-standard-deviation negative monetary policy shocks.,3.0
10.1080/15140326.2024.2329840,GDP,China,High Temperature Regime,2021.0,No Monetary Policy Shock,%,-0.9,,,,,,Page 12,Response of output to a negative monetary policy shock.,3.0
10.1080/15140326.2024.2329840,GDP,China,High Temperature Regime,2021.0,Low Temperature Regime,%,-0.4,,,,,,Page 12,"Describes the response of output to a negative monetary policy shock. Output falls by 0.5% under low regime, and 0.9% under high regimes.",3.0
10.1080/15140326.2024.2329840,GDP,China,Low Temperature Regime,2021.0,No Monetary Policy Shock,%,-0.5,,,,,,Page 12,Response of output to a negative monetary policy shock.,3.0
10.1080/15140326.2024.2329840,GDP,China,Low Temperature Regime,2024.0,No monetary policy shock,%,-0.5,,,,,,12,"Impact of negative monetary policy shocks. The year is based on the publication date, as no specific year is given in the text for the simulation.",3.0
10.1080/15140326.2024.2329840,GDP,China,Low Temperature Regime,2024.0,No CC,percent,-0.5,,,,,,Page 12,Output falls by at most approximately 0.5% under low regimes due to one-standard-deviation negative monetary policy shocks.,3.0
10.1080/15140326.2024.2329840,GDP,China,High Temperature Regime,2020.0,Low Temperature Regime,Unknown,-0.01,,,,,,Page 18,"Estimated GDP impact from impulse response to monetary policy shock under high temperature shocks, relative to low temperature shocks; the negative value is based on graphs showing lower responses.",3.0
10.1080/15140326.2024.2329840,GDP,China,tempv_20,2021.0,Low temp,%,0.3,,,,,,16,Response to one-standard-deviation positive monetary shock,3.0
10.1080/15140326.2024.2329840,GDP,China,tempv_20,2021.0,High temp,%,0.2,,,,,,16,Response to one-standard-deviation positive monetary shock,3.0
10.1080/15140326.2024.2329840,GDP,China,tempv_20 high regime,2021.0,tempv_20 low regime,%,0.2,,,,,,Page 16,GDP increase under high temperature shock with a positive monetary policy shock. Study period ends in 2021.,3.0
10.1080/15140326.2024.2329840,GDP,China,tempv_20 low regime,2021.0,,%,0.3,,,,,,Page 16,GDP increase under low temperature shock with a positive monetary policy shock. Study period ends in 2021.,3.0
10.1017/S1355770X20000224,Lifetime Earnings,Philippines,Historical,2005.0,No CC,USD/Person,1367.0,,,,,,,Page 1,3.0
10.1017/S1355770X20000224,Lifetime Earnings,Philippines,Historical Data,2005.0,Baseline pollution levels,USD,1367.0,,,,,,,3,3.0
10.1017/S1355770X20000224,Lifetime Earnings,Philippines,No explicit scenario,2005.0,No CC,$ per person,1367.0,,,,,,,Page 1,3.0
10.1017/S1355770X20000224,Lifetime earnings,Philippines,,2005.0,Baseline pollution exposure,USD,1367.0,,,,,,,3,3.0
10.1017/S1355770X20000224,Lifetime Earnings,The Philippines,Historical Weather Data,2005.0,Current O3 exposure,USD,1367.0,,,,,,,Page 1,3.0
10.1017/S1355770X20000224,Lifetime Earnings,The Philippines,Historical,2005.0,Baseline Pollution,USD,1367.0,,,,,,,3,3.0
10.1017/S1355770X20000224,GDP,Philippines,Historical Data,2005.0,Baseline pollution levels,%,2.0,,,,,,,3,3.0
10.1017/S1355770X20000224,GDP,Philippines,No explicit scenario,2005.0,No CC,Billion USD,2.05,,,,,,,Page 23,3.0
10.1017/S1355770X20000224,GDP,Philippines,Historical Data,2005.0,No CC,USD billion,2.05,,,,,,,Page 23,3.0
10.1017/S1355770X20000224,GDP,The Philippines,Historical Weather Data,2005.0,Current O3 exposure,percent,2.0,,,,,,,Page 1,3.0
10.1017/S1355770X20000224,GDP,The Philippines,Historical,2005.0,Baseline Pollution,%,2.0,,,,,,,3,3.0
10.1017/S1355770X20000224,GDP,The Philippines,Historical Weather Data,2005.0,Current O3 exposure,USD billions,2.05,,,,,,,Page 1,3.0
10.1017/S1355770X20000224,GDP,The Philippines,Historical Weather Data,2021.0,Current,%,2.0,,,,,,,Highlights,3.0
10.1017/S1355770X20000224,GDP,The Philippines,25% O3 reduction,2023.0,Current O3 levels,%,2.0,,,,,,,22,3.0
10.1017/S1355770X20000224,GDP,Philippines,Historical Data,2005.0,No CC,%,2.0,,,,,,,Page 3,3.0
10.1017/S1355770X20000224,Lifetime Earnings,Philippines,Historical Data,2005.0,Baseline pollution levels,USD,2050000000.0,,,,,,,Page 3,3.0
10.1017/S1355770X20000224,GDP,The Philippines,Historical Data,2005.0,Current O3 exposure,%,2.0,,,,,,,Highlights,3.0
10.1017/S1355770X20000224,Lifetime earnings,Philippines,,2005.0,Baseline pollution exposure,USD,2050000000.0,,,,,,,Page 3,3.0
10.1017/S1355770X20000224,Earnings,The Philippines,Historical Weather Data,2021.0,Current,%,2.8,,,,,,,Highlights,3.0
10.1017/S1355770X20000224,Earnings,The Philippines,25% O3 reduction,2023.0,Current O3 levels,%,2.8,,,,,,,22,3.0
10.1073/pnas.2103081118,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2020.0,No CC,US$/tCO2,52.03,,,,,,,Table 2,3.0
10.1073/pnas.2103081118,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2020.0,No CC,US$/tCO2,64.8,,,,,,,Table 2,3.0
10.1073/pnas.2103081118,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2020.0,No tipping points,% increase,8.4,,,,,,,Table 2,3.0
10.1073/pnas.2103081118,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2020.0,No tipping points,% increase,13.1,,,,,,,Table 2,3.0
10.1073/pnas.2103081118,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2020.0,No tipping points,% increase,-1.7,,,,,,,Table 2,3.0
10.1073/pnas.2103081118,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2020.0,No tipping points,% increase,0.1,,,,,,,Table 2,3.0
10.1073/pnas.2103081118,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2020.0,No tipping points,% increase,1.8,,,,,,,Table 2,3.0
10.1073/pnas.2103081118,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2020.0,No tipping points,% increase,2.9,,,,,,,Table 2,3.0
10.1073/pnas.2103081118,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2020.0,No tipping points,% increase,-1.4,,,,,,,Table 2,3.0
10.1073/pnas.2103081118,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2020.0,No tipping points,% increase,1.3,,,,,,,Table 2,3.0
10.1073/pnas.2103081118,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2020.0,No tipping points,% increase,24.5,,,,,,,Table 2,3.0
10.1073/pnas.2103081118,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2020.0,No tipping points,% increase,28.9,,,,,,,Table 2,3.0
10.1073/pnas.2103081118,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2100.0,No CC,%,24.5,,75%,22.5,99.5%,132.2,Page 2,Increase due to all tipping points combined,3.0
10.1073/pnas.2103081118,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2100.0,No CC,%,13.1,,,,,,,,3.0
10.1073/pnas.2103081118,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2100.0,No CC,%,8.4,,,,,,,,3.0
10.1073/pnas.2103081118,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2100.0,No CC,%,2.9,,,,,,,,3.0
10.1073/pnas.2103081118,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2100.0,No CC,%,1.8,,,,,,,,3.0
10.1073/pnas.2103081118,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2100.0,No CC,%,1.3,,,,,,,,3.0
10.1073/pnas.2103081118,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2100.0,No CC,%,0.1,,,,,,,,3.0
10.1073/pnas.2103081118,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2100.0,No CC,%,-1.4,,,,,,,,3.0
10.1073/pnas.2103081118,Social Cost of Carbon,180 countries,RCP4.5-SSP2,2100.0,No CC,%,-1.7,,,,,,,,3.0
10.1073/pnas.2103081118,Consumption per capita,Global,"RCP4.5, RCP8.5",2100.0,No tipping points,% change,-1.0,,,,,,,,3.0
10.1073/pnas.2103081118,Consumption per capita,Global,"RCP4.5, RCP8.5",2100.0,No tipping points,% change,-1.4,,,,,,,,3.0
10.1073/pnas.2103081118,Sea Level Rise,Global,RCP4.5 and RCP8.5,2100.0,No tipping points,%,61.0,,,,,,,,3.0
10.3390/w14060967,BI loss,Global,Historical,2013.0,No CC,USD billion (2005 PPP),26.9,,,,,,,Abstract,3.0
10.3390/w14060967,Asset damage,Global,Historical,2013.0,No CC,USD billion (2005 PPP),130.9,,,,,,,Abstract,3.0
10.3390/w14060967,BI loss per GDP,Global,RCP8.5/SSP3,2090.0,1971-2000,%,0.32,,,,,,,Abstract,3.0
10.3390/w14060967,Asset damage per GDP,Global,RCP8.5/SSP3,2090.0,1971-2000,%,1.78,,,,,,,Abstract,3.0
10.3390/w14060967,Asset Damage,Global,S14FD-Reanalysis,1999.0,No CC,USD billion (2005 PPP),96.0,,,,,,,"Page 10, Paragraph 1",3.0
10.3390/w14060967,Asset Damage,Global,S14FD-Reanalysis,2005.0,No CC,USD billion (2005 PPP),56.7,,,,,,,"Page 10, Paragraph 1",3.0
10.3390/w14060967,BI Loss / Asset Damage Ratio,Global,Reanalysis,1991.0,No Flood protection,%,-30.0,,,,,,,15,3.0
10.3390/w14060967,BI loss per GDP,"Indonesia, Egypt, Thailand",RCP8.5 SSP3,2090.0,No CC,%,1.5,,,,,,,Page 18,3.0
10.3390/su13063135,Debt-to-GDP Ratio,Pacific Islands,Baseline Estimation,2021.0,No CC,%,27.611,0.0573,,,,,,9,3.0
10.3390/su13063135,Debt-to-GDP Ratio,Pacific Islands,Robustness Check,2021.0,No CC,%,28.755,0.0655,,,,,,9,3.0
10.3390/su13063135,Primary Balance,Pacific Islands,Baseline Estimation,2021.0,No CC,% of GDP,1.388,1.7842,,,,,,9,3.0
10.3390/su13063135,Primary Balance,Pacific Islands,Robustness Check,2021.0,No CC,% of GDP,1.004,12.3257,,,,,,9,3.0
10.3390/su13063135,Debt,Papua New Guinea (PNG),Steady-state,2021.0,,percent,30.0,,,,,,13,"Illustrative calculation of steady-state debt level assuming certain steady-state values for other variables. 2021 is chosen as the year since that is when the paper was published, but it refers to the steady-state, not a specific year.",3.0
10.3390/su13063135,Budget Balance,PNG,Steady State,2021.0,No CC,Percent of GDP,-1.4,,,,,,17,"Implied budget deficit target based on 5% nominal GDP growth and 30% debt target. Illustrative value, not recommended.",3.0
10.3390/su13063135,Fiscal Stimulus,PNG,2018 earthquake,2018.0,No shock,percent of GDP,0.4,,,,,,21,The natural disaster-resilient fiscal rule would have suggested a 0.4 percent of fiscal stimulus in 2018 at the margin.,3.0
10.3390/su13063135,Budget Balance,PNG,2018 earthquake,2018.0,No shock,percent of GDP,-0.4,,,,,,21,Needs to be smaller than -0.4 percent of GDP in 2018,3.0
10.3390/su13063135,Public Investment,PNG,2018 earthquake,2018.0,No shock,million Kina,320.0,,,,,,21,Approximately 320 million Kina can be spent on public investment or emergency relief.,3.0
10.1007/s10368-022-00539-4,Savings Rate,OECD countries,Historical,2020.0,No CC,percentage points,0.0,,,,,,Page 10,Natural disasters reduce savings rates; increasing disaster frequency may raise capital depreciation. No specific quantification provided on this page.,1.0
10.1007/s10368-022-00539-4,Savings rate,OECD countries,Historical Data,2020.0,No CC,%,-0.02,,,,,,752,Per additional day increase in natural disaster duration (p < 0.05),1.0
10.1007/s10368-022-00539-4,Savings rate,OECD countries,Historical Data,2020.0,No CC,%,-0.01,,,,,,752,Per additional day increase in natural disaster duration (p < 0.05),1.0
10.1126/science.aad9837,Global economic growth,Global,Current climate,2016.0,No CC,percentage points year−1,-0.25,,,,,,1,Slowing of global economic growth due to current temperature climatologies.,3.0
10.1126/science.aad9837,Global economic growth,Global,Future warming scenario,2100.0,No CC,percentage points year−1,-0.28,,,,,,1,Additional slowing of global economic growth projected from future warming.,3.0
