DOI,Author(s),Year,Paper Title,Link to paper,Paper ID,Reviewer,Status,Outcome(s) of Interest,Drivers of Risk,Category,Approach,Methodology,Highlights,More Notes,Hazard definition,Impact persistence,Space disaggregation,Impact interactions,Economic dynamics,Climate features,Adaptation considered
10.1016/j.jhydrol.2024.131508,Mohamadiazar N. et al.,2024,"Integrating deep learning, satellite image processing, and spatial-temporal analysis for urban flood prediction",https://conference.ifas.ufl.edu/flooding/documents/posters/10-Mohamadiazar-Nasim-Near%20Real-Time.pdf,10.1016/j.jhydrol.2024.131508,AI,Step 5,"Rapid, accurate flood extent prediction; continuous flood monitoring; infrastructure impact assessment; early warning systems; insurance risk assessment.","Urban development (impervious surfaces), climate change (extreme rainfall).","Climate Hazards (Flooding, Storms, etc.)",Other,"A U-Net CNN model predicts near-real time urban flood extents using Sentinel-1 imagery, terrain data, and daily rainfall; model training/testing split: 70%/30%.","Developed a deep learning model for near real-time urban flood mapping with a Ground Truth Index of 84.05%, achieving 10-meter resolution and extending application beyond traditional flood mapping to enable more comprehensive monitoring.",Sensitivity analysis reveals the relative importance of different input data combinations in the flood prediction model.,Acute shocks,,Local,,,,"Model predicts flood extents from rainfall, incorporating terrain and satellite data, enabling near-real-time awareness."
10.1016/j.ecolecon.2022.107662,Emediegwu & Ubabukoh,2023,Re-examining the impact of annual weather fluctuations on global livestock production,found,10.1016/j.ecolecon.2022.107662,AI,Step 5,Decrease in global beef production; amplified effects in specific regions; precipitation effects vary by climate zone; projected future output decline.,"Temperature increase, precipitation changes (increase/decrease, droughts, floods), pathogen/parasite activity.",Agriculture,Econometric,"Country-level panel data analysis (1961-2017) using an established econometric strategy, including country fixed effects and region-specific trends; analyzes national livestock production and local weather fluctuations from 187 countries; uses cattle production data from FAOSTAT and historical weather data from the University of Delaware; employs cattle population-weighted weather averages; adjusts standard errors for spatial (1,000km) and serial (3-years) correlation using the approach described in Hsiang (2010); performs Panel Granger causality Wald test; models changes in temperature and precipitation impact on log animal production, uses error-corrected ACCESS SSP3.70, and Long difference estimations, to exploit the exogeneity of cross-time variations in weather, assumes no adaptation other than observed historically.","Temperature increases, particularly in hot, poor, and agriculture-dependent countries, significantly reduce global beef production; precipitation's impact varies by climate zone, being positive in tropical regions and negative in temperate ones; forecasts predict substantial declines in animal output due to climate change, with tropical countries being most severely affected, and temperature plays a more significant role than changes in rainfall; findings are robust across various tests, with non-linear relationships between temperature and beef production observed.","Beef production is highly sensitive to temperature, with a 1°C increase leading to a 9.7% reduction, amplified in hot, poor, and agriculture-dependent countries; increased precipitation benefits tropical but harms temperate regions; climate change projections indicate a 20% reduction by mid-century and 40% by end-of-century (ACCESS SSP3.70), assuming limited adaptation; these impacts are mediated through cereal yields and production, particularly in hot countries; the model doesn't capture adaptation to gradual changes or inter-annual tradeoffs.",Acute shocks,Adaptive,Global,,Static,,"The study assumes limited adaptation over the historical period, implicitly excluding future adaptive measures. Adaptation is not explicitly modeled, with analyses relying on historical data without projecting future adaptive responses. The focus is on assessing the direct impacts of weather on livestock production, without accommodating advanced adaptation strategies beyond what has been historically observed."
10.1029/2023EF004230,Balaguru et al.,2024,A Global Increase in Nearshore Tropical Cyclone Intensification,https://repository.library.noaa.gov/view/noaa/61151/noaa_61151_DS1.pdf,10.1029/2023EF004230,AI,Step 5,"Increased nearshore TC intensification, coastal socio-economic threat, climate change impact, vertical wind shear decrease, relative humidity increase","Vertical wind shear, relative humidity, upper troposphere warming, diabatic heating, sea surface temperature, anthropogenic warming, nearshore intensification, SSP585 emissions scenario.","Climate Hazards (Flooding, Storms, etc.)",Other,"The study employs multiple methodologies: analysis of observed TC track data from IBTrACS and ADT-HURSAT; atmospheric reanalyses from NCEP-DOE II and ERA5; high-resolution climate model simulations from HighResMIP and CMIP6, focusing on SSP585; and idealized numerical experiments using a Stationary Wave Model (SWM) with R30 resolution and 24 vertical levels. TC intensification rates are calculated via linear regression of storm maximum wind speed over successive 6-hr intervals, and statistical significance is assessed using Student’s t-tests with Monte Carlo methods for error estimation. Trends in SST, VWS, and RH are examined, with data sub-sampled to ensure statistically similar storm states. Nearshore regions are defined using a ~3° distance threshold. The SWM is used to decompose forcing mechanism effects by comparing CTRL (2015-2034), Future (2081-2100), and sensitivity experiments.","Nearshore tropical cyclone intensification rates increased during 1979-2020, particularly near the US, East Asian, and South Asian coasts, due to weakening vertical wind shear and increased relative humidity. Climate models project this intensification to continue, with decreasing wind shear playing a key role, attributed to amplified upper-tropospheric warming and altered heating patterns, although models may underestimate intensity changes. The most significant intensification occurs close to coastlines and implies potentially stronger landfalling storms.","Focuses on nearshore TC intensification (within 3° of coastlines, particularly around Central/South America, West/Southern Africa, Northern Australia/Southeast Asia, and islands in the Indian/Western Pacific Oceans), its historical trends (1979-2020), and future projections (SSP585); ERA5 reanalysis supports findings; HighResMIP underestimates intensification; CMIP6 and SWM discrepancies exist potentially due to coupling and parameterization issues; Vertical wind shear (VWS) changes are complex and regionally variable, influenced by SST warming and circulation responses.",Acute shocks,,Regional,Spatial Interactions,,,Adaptation is not explicitly considered in this paper. The focus is on analyzing past trends and projecting future changes in tropical cyclone intensification rates using climate models and observational data.
10.1029/2022EF003106,Goulart et al.,2023,Increase of Simultaneous Soybean Failures Due To Climate Change,https://www.karinvanderwiel.nl/Files/2023.EF.Goulart.etal.pdf,10.1029/2022EF003106,AI,Step 5,"Increased frequency and magnitude of simultaneous extreme soybean crop failures in the Americas under future climate scenarios, potentially mitigated by adaptation to long-term climate trends.","Climate extremes (heatwaves, droughts, hot-dry compounds), temperature changes, precipitation changes, climate variability, mean climate trends, weather-induced crop failures, GCM sensitivity, deforestation, rainfed harvest areas.",Agriculture,Other,"A hybrid model, coupling a process-based crop model (EPIC-IIASA) with a machine learning model (multilayer perceptron), is developed to improve soybean yield simulation in Argentina, Brazil, and Paraguay. The hybrid model uses simulated climate data, simulated yields (GGCM EPIC-IIASA), and observed yields (USDA, IBGE, MAGYP) from 1979-2015, along with climate indices generated using Climpact, to project future soybean yields, fixing harvest areas to 2012 values, and analyzes ""impact analogs"" (years with larger negative yield anomalies than 2012) under different climate scenarios (SSPs 1-2.6 and 5-8.5) using GGCMs (GFDL-esm4, IPSL-cm6a-lr, UKESM1-0-ll).","Long-term climate trends increase the frequency and magnitude of simultaneous soybean failures across the Americas, while changes in climate variability increase failures at the country level but not simultaneously; adaptation to long-term mean climate changes can reduce the risk of simultaneous failures, but without adaptation, 2012-like extreme events become more frequent, especially under high-forcing scenarios; such events are primarily driven by compounding hot and dry conditions; country-level failures are projected to increase, with the US showing the highest number.","Soybean production risk analysis focuses on the US, Brazil, and Argentina, utilizing a hybrid crop-machine learning model to assess the impact of climate change (including CO2 fertilization effects) on simultaneous extreme crop failures similar to the 2012 event, distinguishing between risks due to changes in mean climate versus climate variability and emphasizing the importance of joint analysis of yield anomalies across regions, with adaptation to long-term mean trends potentially reducing future risk, though trend removal also removes CO2 fertilization effects, and a reference list includes relevant studies on climate change impacts on agriculture across various scales and aspects.",Acute shocks,Adaptive,Regional,,Static,,"Adaptation scenarios are considered by simulating both adaptation and no adaptation conditions with a hybrid crop model. These analyses use a combination of historical data, modeled climate indices, and yield projections to assess the potential for future soybean failure events similar or larger than the 2012 drought. The approach evaluates climatic conditions, spatial distributions, and future emission scenarios to inform adaptation strategies by comparing baseline and adapted scenarios, thus providing insights into reducing vulnerabilities to extreme climate events. Such models are fine-tuned to accurately capture climate impacts under varying scenarios."
10.1088/1748-9326/ac8238,Cael et al.,2022,"Climate nonlinearities: selection, uncertainty, projections, and damages",https://nora.nerc.ac.uk/id/eprint/533090/1/Cael_2022_Environ._Res._Lett._17_084025.pdf,10.1088/1748-9326/ac8238,AI,Step 5,Structural uncertainty dominates temperature projections and economic damage estimates.,"Anthropogenic emissions, radiative forcing (greenhouse gases, aerosols, land use change), shared socioeconomic pathways (SSP4-6.0, SSP3-7.0), temperature anomalies, economic damages.",Tipping points / Feedback Effects,Stylised,"A Bayesian approach is employed to quantify structural uncertainty in climate projections using energy-balance models (EBMs). A model selection parameter governs the inclusion of various climate dynamics formulations (linear, T/F-dependent heat capacity and feedback). The methodology involves specifying a model (linear EBM), priors, sampling, likelihood computation, weighting, and probabilistic future projections using radiative forcing timeseries (1850-2020) and future emission scenarios. Damage calculations follow the approach in [10], incorporating Weitzman's [25] damage function and a 4.255% discount rate, also analyzes the impact of structural uncertainty on economic damages and uses publicly available data and code.","Structural uncertainty in climate models, particularly concerning temperature-dependent feedbacks, is substantial and dominates overall non-socioeconomic uncertainty in economic projections of climate change damages, impacting both temperature projections and economic damage assessments; reported uncertainties may be underestimated, requiring careful consideration of structural uncertainty in physical and socioeconomic projections using reduced complexity climate models.","Structural uncertainty in climate models, particularly in Integrated Assessment Models (IAMs), is significant. A temperature-dependent climate feedback model aligns best with observations, though the sign of temperature dependence differs from complex Earth system models, likely due to simplified representation of the pattern effect. Alternative model structures hold substantial posterior probability, emphasizing the importance of structural uncertainty. Reducing this uncertainty may involve explicitly incorporating phenomena like ENSO or the pattern effect.",,,Global,,Static,Other,"Adaptation is not explicitly considered in the provided notes. The focus is on quantifying structural uncertainty in climate projections, modeling climate dynamics, projecting future temperature changes, and calculating economic damages using different damage functions and discount rates."
10.1093/icesjms/fsad175,Watson et al.,2023,Enhancing the resilience of blue foods to climate shocks using insurance,https://repository.library.noaa.gov/view/noaa/58941/noaa_58941_DS1.pdf,10.1093/icesjms/fsad175,AI,Step 5,"Economic resilience, sustainable resource use, coastal community adaptation.","Climate change; marine heatwaves; harmful algal blooms; hypoxia/low oxygen events; coral bleaching; storms/hurricanes/cyclones; species range shifts; changes in ocean properties (temperature, nutrient availability); El Niño; disease outbreaks; non-linear food web dynamics; extreme weather events.",Fisheries,Other,"Explores insurance and reinsurance mechanisms (including parametric), moral hazard, and adverse selection in fisheries risk management; addresses risk pricing challenges (limited observations, complex teleconnections); discusses indemnity and parametric insurance, cooperative/mutual funds; proposes a multi-stage implementation process (design, demonstration, capital pool); and suggests an insurance-based risk reduction approach, drawing from agriculture.","Financial risk management tools, especially insurance (including ocean-index and parametric types), are crucial for building resilience in blue food supply chains and coastal communities against climate shocks by transferring risk, conserving capital, and incentivizing sustainable practices; however, challenges like data scarcity, moral hazard, adverse selection, attributing impacts, and designing policies sensitive to diverse coastal income landscapes need to be addressed, potentially requiring government subsidies, non-traditional support, and risk adjustments for long-term climate change; government disaster relief is currently inadequate and unsustainable.","Collaboration between insurance, marine sectors, government, academia, and NGOs is vital for equitable resilience against climate shocks impacting blue food economies; marine insurance offers an alternative to federal disaster relief, though challenges exist for common pool resources like wild fisheries; improving ocean forecasts enhance insurability; protecting the base of blue food supply chains is crucial; insurance should incentivize adaptation, not prop up failing industries; reinsurance and parametric insurance can act as disaster relief; tying financial tools to regions/groups, robust data, and inclusive engagement are key.",Acute shocks,Adaptive,,,Adaptive (reflecting shifts in economic behavior in response to impacts),Other,"Insurance mechanisms, including parametric insurance, are explored as an adaptation strategy for marine resource users and coastal communities to manage and transfer risk from climate shocks. The potential role of government policies in conjunction with insurance is noted, along with challenges in risk pricing and implementation. The text suggests a multi-stage implementation process and draws parallels with adaptation strategies in agriculture."
10.1007/s10584-023-03611-3,Moyer et al.,2023,How many people will live in poverty because of climate change? A macro-level projection analysis to 2070,found,10.1007/s10584-023-03611-3,AI,Step 5,Climate change increases extreme poverty despite overall poverty decline; 25-78 million additional people in extreme poverty by 2030-2050; Climatic tipping points worsen impacts; Reduced income inequality mitigates effects.,"Climate change (temperature, precipitation, tipping points), RCP scenarios (emissions), socioeconomic development (income inequality, economic production, fossil fuel use), depressed agricultural yields, increased prices (food, housing, healthcare), reduced labor productivity.",Total,Macro-model,"The study projects poverty across income thresholds for 175 countries through 2070 using the International Futures (IFs) model, a six-sector general equilibrium model, to simulate economic production, consumption, and poverty rates under different climate scenarios. It combines Representative Concentration Pathways (RCPs) with economic growth and income distribution series from the Shared Socioeconomic Pathways (SSPs) to model economic production, income distribution, and population change. The model incorporates damage functions, including the DICE model damage function, to gauge economic losses from worsening climate conditions and operationalizes the impact of tipping points using findings from Dietz et al. (2021). Sensitivity analysis was performed by exogenously changing the Gini coefficient for income inequality. Replication instructions for the IFs model are available online.","Climate change significantly impacts poverty by affecting prices, productivity, and income, hindering socioeconomic development. Climate change effects are modeled to impact productivity and increase poverty, driven by rising temperatures, precipitation anomalies, and climate tipping points, with agricultural activity identified as an important channel. Climate change is projected to reduce GDP and increase global inequality. The impact of climate change on poverty can be mitigated with sustained efforts to improve income distribution. Tipping points pose a substantial threat to future socioeconomic development and increase poverty.","The paper addresses the tension between economic development, climate change, and poverty, considering the impacts of income inequality and climate tipping points while acknowledging the energy requirements of human development and its environmental consequences.",Chronic trends,,Regional,Sectoral Interactions,Transitional (accounting for changes over time),Tipping Points,"No explicit adaptation measures are mentioned. The analysis focuses on modeling climate change impacts on poverty using SSPs, RCPs, the IFs model, damage functions, and tipping points. Sensitivity analysis of income inequality is performed."
10.1038/s41558-021-01236-x,Gambhir et al.,2022,Near-term transition and longer-term physical climate risks of greenhouse gas emissions pathways,https://centaur.reading.ac.uk/101855/1/Integrated%20climate%20risk%20assessment%20NCC%20manuscript_no%20tracked%20changes_2%20Nov%202021.pdf,10.1038/s41558-021-01236-x,AI,Step 5,"Physical risks (heatwaves, drought, heat stress, crop impacts) by 2050; Transition risks (mitigation costs, carbon prices, fossil fuel demand, coal plant reductions) by 2030; Balance between transition costs and physical threats.","Temperature pathways, GHG emissions, socio-economics, technology, policy, heatwaves, drought, flooding, crop changes, fossil fuel demand, carbon pricing, abatement costs, regional coordination.",Total,Macro-model,"Integrated framework uses GCAM (v5.1, technology-rich, regionally disaggregated IAM) coupled with MAGICC4.2 (reduced complexity climate model) and spatially-explicit global-scale impacts models to explore transition (to 2030) and physical (to 2050) risks under various emissions/temperature pathways (1.5-4°C), considering policy, technology, and socioeconomic factors (including SSP1 & SSP3); calculates regional hazard and impact attributes using seven physical hazard indicators, normalized to 2050 (physical) and 2030 (transition) values with the 2°C Central scenario using a 1981-2010 reference period.","Highlights: Physical risks by 2050 depend on the temperature pathway, while transition risks by 2030 are sensitive to temperature pathways and influenced by technological, policy, and socio-economic factors. An integrated framework assesses physical and transition risks globally and in key regions (China, USA, EU+UK, India). Major heatwaves and agricultural drought have non-linear relationships with temperature, leading to significant differences between scenarios. India is vulnerable to river flooding and agricultural drought under the NDC Pledges scenario. Stringent mitigation leads to higher abatement costs but lower physical climate hazards; similar long-term physical risks can have different near-term transition risks. The analysis explores impacts under various scenarios, allowing comparison of mitigation pathways and focusing on physical and transition risks, drawing from indicators that track progress towards the Paris Agreement goals. Disorderly scenarios and different technology pathways are explored, including scenarios that miss the 2°C target and a 1.5°C scenario emphasizing rapid decarbonization and end-use electrification.","The study explores climate risks (both physical and transition) under various warming scenarios (1.5-4°C) using 11 scenarios for a 2°C target, highlighting the interplay between socio-economic factors, technology (renewables, nuclear, CCS), and policy choices. It acknowledges uncertainty, uses median estimates, and compares risk ratios to a 2°C Central scenario. Transition risks are sensitive to temperature pathways (mitigation costs, carbon prices), while physical risks (heatwaves, drought, heat stress) depend greatly on the temperature pathway by 2050. The research emphasizes the lack of a single low-carbon transition pathway and the need for futures analysis beyond systems modeling, including considering extremes. It uses GCAM for emissions modeling but separate modules for climate impacts, factoring in land-use change emissions and distinguishing between water-limited and temperature-limited regions. The analysis complements NGFS scenarios but doesn't convert metrics into value-at-risk or consider the stimulus effect of low-carbon investment. Funding came from ClimateWorks Foundation and the H2020 PARIS REINFORCE project.",Acute shocks,Permanent,Regional,Sequential Interactions,Transitional (accounting for changes over time),,"Consideration of adaptation appears limited, primarily focusing on mitigation through different emissions scenarios and their impacts. Socio-economic scenarios (SSP1, SSP3, five SSPs with damage functions) are explored, acknowledging that context matters. Page 16 mentions the importance of considering adaptation measures but does not elaborate on how they are specifically modeled or integrated. The analysis focuses on physical hazards and impacts under different warming levels, not explicitly modeling adaptive responses."
10.1016/j.fishres.2024.106951,Punt et al.,2024,"Capturing uncertainty when modelling environmental drivers of fish populations, with an illustrative application to Pacific Cod in the eastern Bering Sea",https://repository.library.noaa.gov/view/noaa/67703/noaa_67703_DS1.pdf,10.1016/j.fishres.2024.106951,AI,Step 5,Negative impacts of climate change on Pacific cod outweigh positive; current harvest rules may lead to stock collapse; pessimistic climate scenarios offer better long-term conservation and profits.,"Environmental variables, temperature, ocean pH, sea surface temperature (SST), climate scenarios, Earth System Models, emission scenarios, recruitment, growth, Pacific cod, sea ice, metabolic demand, mortality, trophic interactions, ecosystem impacts, population dynamics.",Fisheries,Other,"The methodology projects future catch series for Eastern Bering Sea Pacific cod, accounting for uncertainty in model structure, environmental drivers, and Earth System Model/emission scenarios (CMIP6, SSP126 & SSP585). It uses a stock assessment model with age and length classes, incorporating environmental variables (sea surface temperature) to influence length at age-1.5 and mean recruitment. Bayesian methods with NUTS MCMC are used for parameter estimation and to sample catch series from posterior distributions. Projections to 2100 utilize dynamically downscaled hindcasts/projections from Earth System Models (GFDL-ESM4, CESM-CAM6, MIROC-ES2L) with bias correction. The analysis combines four assessment model configurations with six environmental scenarios and two harvest control rules (40% control rule and constant F control rule), considering structural, process, and parameter uncertainty. Relationships between population parameters and environmental variables are selected using model selection approaches, assuming stationarity in these relationships and no stock-recruitment relationship.","Including environmental drivers in stock assessments is crucial, but often neglects multiple uncertainties. Higher temperatures increase Pacific cod weight-at-age but reduce recruitment, with the latter effect dominating, potentially leading to stock decline under current harvest control rules. Accounting for structural model uncertainty, process error, and parameter uncertainty is essential. Basing future catches on pessimistic environmental scenarios (GFDL ssp585) may better conserve the stock and achieve long-term profits. Assessment model configuration is also significant, and incorporating a stock-recruitment relationship is important for future work. Earth System Model uncertainty must be considered, as differences in projected biomass and catch exist even under the same emission scenario, especially long-term. Updating projections and reviewing environmental variable relationships is needed. Climate effects from high warming rates can negate harvest control rule benefits by the end of the century.","The paper presents a framework for climate-enhanced single-species model projections incorporating uncertainties from model selection, environmental drivers, Earth System Models, emission scenarios, parameter uncertainty, and process error. It covers historical (1970-2022) and projected (2022-2100) conditions, highlighting the low explained variance for environmental drivers and comparing catch limit strategies under climate change. The study emphasizes model uncertainty and trade-offs, acknowledging limitations in environmental variable projections due to data constraints and recommending further exploration of biological processes mediating temperature effects on Pacific cod.",Chronic trends,Adaptive,Regional,,,,"Catch projections are made under different climate scenarios (CMIP6, SSPs) and harvest control rules. Model configurations and selection relate environmental variables to recruitment and biomass, but relationships are assumed to be stationary. The impact of different harvest control rules are tested."
10.1016/j.glt.2023.07.001,Zhang et al.,2023,The impact of fossil fuel combustion on children's health and the associated losses of human capital,https://www.newswise.com/pdf_docs/169400129996396_1-s2.0-S2589791823000154-main.pdf,10.1016/j.glt.2023.07.001,AI,Step 5,"Children's health deterioration, impaired human capital in adulthood, reduced economic potential.","Fossil fuel combustion, climate change, air pollution, early-life exposure, high temperatures, air pollutants, undernutrition, infections, adverse birth outcomes.",Health > Climate-Air Pollution Interactions,,"Literature review and meta-analysis of existing research are used to assess the impact of climate change and air pollution on children's health, cognitive, and non-cognitive skills.","Climate change and air pollution harm children's health, negatively impacting cognitive and non-cognitive development, potentially leading to reduced adult earnings and economic productivity; pollution-induced premature birth/low birth weight could also lead to specific behavioral tendencies.","A holistic assessment of climate change and air pollution's impacts on children is needed, considering direct health damages, long-term human capital losses, and associated economic costs, necessitating cross-disciplinary collaboration.",,,,,,,"Adaptation is not explicitly considered in this paper, which focuses on the health and cognitive impacts of fossil fuel-driven air pollution and climate change on children."
10.1175/JAMC-D-23-0206.1,Stinnett et al.,2024,Changes in Extreme Daily Precipitation over the Contiguous United States from Convection-Permitting Simulations,https://chubasco.niu.edu/pubs/Stinnett%20et%20al.%202024%20JAMC.pdf,10.1175/JAMC-D-23-0206.1,AI,Step 5,"Increased extreme precipitation in Midwest/Ohio Valley (Dec-May), decreased in southern Great Plains (Dec-Feb), increased variability and return period precipitation amounts across CONUS.",Extreme daily precipitation; Anthropogenic climate change; 99th percentile precipitation; Regional hydroclimate; Water scarcity; Tropical cyclone precipitation; Return period precipitation amounts; Spatiotemporal patterns of heavy precipitation.,"Climate Hazards (Flooding, Storms, etc.)",Other,"Dynamically downscaled, convection-permitting WRF-ARW (v4.1.2, 3.75 km grid) simulation, forced by bias-corrected CESM GCM output, was used to model precipitation for historical (HIST, 1990-2005) and future (EOC, 2085-2100) epochs under RCP4.5 (EOC4.5) and RCP8.5 (EOC8.5) scenarios; daily precipitation was derived from AFWA data; HIST was compared to PRISM data for validation; extreme value analysis (EVA) using Fisher–Tippett–Gnedenko theorem with block maxima (BM, 1-year block size, Gumbel distribution selected by AIC and log-likelihood) and peak over threshold (POT) methods was implemented; statistical significance was determined using a Mann-Whitney U test (p < 0.05, field significance false discovery rate of 0.1) and 1000-iteration bootstrap sampling for return periods; model performance was evaluated using metrics like r, p, RMSE, and R2, with Q-Q plots for visual assessment, focusing on eight cities and analyzing changes in the 99th percentile of daily precipitation seasonally.","Projected increases in extreme daily precipitation in the Cascade Mountains, Ohio River Valley, Northeast, Midwest, Southeast, and Pacific Northwest by the end of the 21st century, with variability in precipitation extremes increasing in eight climatologically unique CONUS cities and significant increases in return period precipitation amounts for most cities; Decreases are projected for the Southwest and southern Great Plains, particularly in the Intermountain West under the EOC8.5 scenario with sporadic decreases in the Southwest, northern Great Plains, and Southeast for June-August in EOC8.5; the model tends to underestimate the highest extreme values.","The study investigates extreme daily precipitation across the CONUS by analyzing eight distinct cities and comparing historical data (HIST) with future scenarios (EOC4.5 and EOC8.5). It highlights statistically significant wet and dry biases in the historical model, changes in extreme precipitation patterns, and potential infrastructure impacts due to increased return period precipitation values. It underscores the need for comprehensive future studies focusing on subdaily precipitation extremes and larger ensemble approaches while noting significant increases in precipitation return periods and their socioeconomic implications, particularly for flood risk management.",Acute shocks,,Regional,,,,"Adaptation is not directly considered. The study focuses on modeling and analyzing future extreme precipitation events under different climate scenarios, without explicitly addressing adaptive measures."
10.1088/1748-9326/acea38,Poudel et al.,2023,"Housing market dynamics of the post-Sandy Hudson estuary, Long Island Sound, and New Jersey coastline are explained by NFIP participation",https://repository.library.noaa.gov/view/noaa/58885/noaa_58885_DS1.pdf,10.1088/1748-9326/acea38,AI,Step 5,"Long-term decline in home values, particularly in tracts with fluctuating NFIP participation.","Flooding (past events, Hurricane Sandy, surge & rainfall), flood insurance (NFIP participation), community risk perception (awareness, anxiousness, preparedness).","Climate Hazards (Flooding, Storms, etc.)",Other,"The study employs a socio-environmental (SE) model to analyze the temporal impacts of flooding on mean housing values (HPs) across 496 coastal census tracts from 1970-2021. The SE model simulates annual economic losses, population density, community flood awareness, and preparedness, driven by a time series of peak annual flood hazards and calibrated to observed NFIP claims, policies, population density, and mean HPs. The model incorporates time-varying HP models, including sigmoid, Interrupted Time Series (ITS), and K-shaped recovery models, to simulate housing price trends; the ITS recovery model was found to best capture flooding dynamics in the study region. Statistical correlation analysis was performed between SE model parameters related to flood awareness, preparedness, housing prices, and tract-scale behaviors and perceptions.","Hurricane Sandy's initial economic impact was largely absorbed by NFIP, but the region experienced a long-term decline in home values; this decline is linked to community-scale risk perceptions and NFIP participation, with increased NFIP uptake after floods correlating with larger home value decreases; housing values are driven more by perceptions and NFIP participation than actual flood risk, and models show trade-offs between simulating housing prices and losses accurately.","Study investigates long-term impacts of Hurricane Sandy on home values (HPs) in coastal NY, CT, and NJ using a socio-environmental model, finding that past flooding salience and NFIP participation are important HP drivers, with increased post-flood insurance changes correlating with larger HP decreases; the ITS model accurately represented flooding dynamics; HP drop and recovery are controlled by parameters b2 and b3, respectively; model code available online.",Acute shocks,Adaptive,Local,Sequential Interactions,Adaptive (reflecting shifts in economic behavior in response to impacts),,"The reviewed paper incorporates adaptation through socio-environmental models that emphasize community perceptions, awareness, and preparedness in response to flooding impacts. These models simulate the dynamic relationship between flood hazards, economic losses, and housing prices, taking into account community risk perception and behavior over time. Various recovery models (sigmoid, ITS, K-shaped) capture different adaptation responses, with the ITS model being most effective for reflecting regional flooding dynamics. The models also consider temporal changes in housing prices and their feedback on future flood loss estimations, leveraging socioeconomic data for scenario simulations and calibration."
10.1371/journal.pone.0269741,Braswell et al.,2022,Creeping disaster along the US coastline: Understanding exposure to sea level rise and hurricanes through historical development,https://repository.library.noaa.gov/view/noaa/55409/noaa_55409_DS1.pdf,10.1371/journal.pone.0269741,AI,Step 5,"Increased property at risk, uneven distribution of losses, faster development in SLR zones, convergence of density in less-developed coastal areas, saturation effects in early settled SLR zones, growing importance of adaptation policies for existing buildings.","Sea level rise (SLR), hurricanes, exposure, coastal development, urbanization.",Sea-level Rise / Coastal,Econometric,"The study examines U.S. coastal urban development's exposure to sea level rise using historical settlement data from HISDAC-US and ZTRAX, covering 1810-2015. It employs gridded data analysis, defining SLR zones via NOAA datasets and using MSAs within consistent 2010 boundaries, excluding protected/wetlands. Settlement layers are analyzed for expansion/densification trends using zonal statistics in 5-year increments, employing panel regression from 1900-2015 with census division fixed effects to evaluate building patterns affected by SLR and hurricanes. Metrics include structure density, expansion, densification, and MSAs' exposure to SLR.","SLR zones have developed faster and have higher structure density than other areas; historically less-developed coastal areas are converging on early-settled SLR zones, many of which are reaching building saturation; coastal conditions, especially hurricane activity, are linked to long-term urban spatial development; developed area and housing stock dramatically increased along the coastline, particularly between 1950 and 2000; Pacific U.S. growth rates converged to those of the Northeast after 1950; coastlines in Florida and the South Atlantic have high SLR exposure; the Western Gulf coastline is a potential hotspot for new building; absolute SLR exposure increased across all divisions; hurricane-affected MSAs are denser and more developed, and hurricane activity is correlated with building patterns; coastal regions are trending towards densification; areas at risk of hurricane impacts are more highly developed; building age is an indicator of vulnerability; coastal communities have denser built environments, leading to high exposure; 'business as usual' coastal development should be avoided.","Analysis of U.S. coastal development patterns (expansion and structure density) using HISDAC-US and ZTRAX data reveals faster development and higher structure density in SLR zones, especially in hurricane-prone areas; densification is increasing, suggesting adaptation importance, but saturation and aging infrastructure create vulnerabilities; building size/density increases after hurricanes, compounding hazard exposure; the study focuses on MSAs and advocates for adaptation policies.",Acute shocks,Permanent,Regional,Sequential Interactions,Transitional (accounting for changes over time),,"The paper doesn't explicitly address adaptation strategies or policies. Instead, it focuses on quantifying historical patterns of building development in areas vulnerable to SLR and hurricanes. It analyzes expansion and densification trends, building age, and exposure to SLR, without directly evaluating adaptive responses."
