,Outcome,Region,Scenario,Year,Relative to,Units,Value,SD,Low Quantile,Low Value,High Quantile,High Value,Result Source,More Notes,sourcematerial
20,Permanent wet departures,Ice-free land surface,SSP3-7.0,2100,Pre-industrial (PiControl),% Area,36,NA,NA,NA,NA,NA,Page 8,,"In 2050, the percentages of the land surface area with permanent wet and dry departures (ensemble median) in SSP1–2.6 are expected to be 5% and 4% respectively, while in SSP3–7.0, these percentages are expected to be 14% and 11%. ... By the end of the 21st century, 22% of the ice-free land in SSP1–2.6 experiences a wet departure and 28% a dry departure, while 36% of the ice-free land experiences a wet departure and 30% a dry departure in SSP3–7.0. It can also be inferred that at least 15% of the ice-free land is expected to have permanently more soil moisture than the pre-industrial condition by the end of the 21st century, as this is the result of the SSP1–2.6 scenario with the least warming effect, but it could amount to 28% in SSP3–7.0. However, the results for dry departures show an opposite trend, with 18% of the ice-free land having permanently less soil moisture in SSP1–2.6 and 17.6% in SSP3–7.0... (Page 8)"
21,Permanent dry departures,Ice-free land surface,SSP3-7.0,2100,Pre-industrial (PiControl),% Area,30,NA,NA,NA,NA,NA,Page 8,,"In 2050, the percentages of the land surface area with permanent wet and dry departures (ensemble median) in SSP1–2.6 are expected to be 5% and 4% respectively, while in SSP3–7.0, these percentages are expected to be 14% and 11%. ... By the end of the 21st century, 22% of the ice-free land in SSP1–2.6 experiences a wet departure and 28% a dry departure, while 36% of the ice-free land experiences a wet departure and 30% a dry departure in SSP3–7.0. It can also be inferred that at least 15% of the ice-free land is expected to have permanently more soil moisture than the pre-industrial condition by the end of the 21st century, as this is the result of the SSP1–2.6 scenario with the least warming effect, but it could amount to 28% in SSP3–7.0. However, the results for dry departures show an opposite trend, with 18% of the ice-free land having permanently less soil moisture in SSP1–2.6 and 17.6% in SSP3–7.0... (Page 8)"
22,Permanent more soil moisture,Ice-free land surface,SSP1-2.6,2100,Pre-industrial (PiControl),% Area,15,NA,NA,NA,NA,NA,Page 8,,"In 2050, the percentages of the land surface area with permanent wet and dry departures (ensemble median) in SSP1–2.6 are expected to be 5% and 4% respectively, while in SSP3–7.0, these percentages are expected to be 14% and 11%. ... By the end of the 21st century, 22% of the ice-free land in SSP1–2.6 experiences a wet departure and 28% a dry departure, while 36% of the ice-free land experiences a wet departure and 30% a dry departure in SSP3–7.0. It can also be inferred that at least 15% of the ice-free land is expected to have permanently more soil moisture than the pre-industrial condition by the end of the 21st century, as this is the result of the SSP1–2.6 scenario with the least warming effect, but it could amount to 28% in SSP3–7.0. However, the results for dry departures show an opposite trend, with 18% of the ice-free land having permanently less soil moisture in SSP1–2.6 and 17.6% in SSP3–7.0... (Page 8)"
23,Permanent more soil moisture,Ice-free land surface,SSP3-7.0,2100,Pre-industrial (PiControl),% Area,28,NA,NA,NA,NA,NA,Page 8,,"In 2050, the percentages of the land surface area with permanent wet and dry departures (ensemble median) in SSP1–2.6 are expected to be 5% and 4% respectively, while in SSP3–7.0, these percentages are expected to be 14% and 11%. ... By the end of the 21st century, 22% of the ice-free land in SSP1–2.6 experiences a wet departure and 28% a dry departure, while 36% of the ice-free land experiences a wet departure and 30% a dry departure in SSP3–7.0. It can also be inferred that at least 15% of the ice-free land is expected to have permanently more soil moisture than the pre-industrial condition by the end of the 21st century, as this is the result of the SSP1–2.6 scenario with the least warming effect, but it could amount to 28% in SSP3–7.0. However, the results for dry departures show an opposite trend, with 18% of the ice-free land having permanently less soil moisture in SSP1–2.6 and 17.6% in SSP3–7.0... (Page 8)"
24,Permanent less soil moisture,Ice-free land surface,SSP1-2.6,2100,Pre-industrial (PiControl),% Area,18,NA,NA,NA,NA,NA,Page 8,,"In 2050, the percentages of the land surface area with permanent wet and dry departures (ensemble median) in SSP1–2.6 are expected to be 5% and 4% respectively, while in SSP3–7.0, these percentages are expected to be 14% and 11%. ... By the end of the 21st century, 22% of the ice-free land in SSP1–2.6 experiences a wet departure and 28% a dry departure, while 36% of the ice-free land experiences a wet departure and 30% a dry departure in SSP3–7.0. It can also be inferred that at least 15% of the ice-free land is expected to have permanently more soil moisture than the pre-industrial condition by the end of the 21st century, as this is the result of the SSP1–2.6 scenario with the least warming effect, but it could amount to 28% in SSP3–7.0. However, the results for dry departures show an opposite trend, with 18% of the ice-free land having permanently less soil moisture in SSP1–2.6 and 17.6% in SSP3–7.0... (Page 8)"
25,Permanent less soil moisture,Ice-free land surface,SSP3-7.0,2100,Pre-industrial (PiControl),% Area,17.6,NA,NA,NA,NA,NA,Page 8,,"In 2050, the percentages of the land surface area with permanent wet and dry departures (ensemble median) in SSP1–2.6 are expected to be 5% and 4% respectively, while in SSP3–7.0, these percentages are expected to be 14% and 11%. ... By the end of the 21st century, 22% of the ice-free land in SSP1–2.6 experiences a wet departure and 28% a dry departure, while 36% of the ice-free land experiences a wet departure and 30% a dry departure in SSP3–7.0. It can also be inferred that at least 15% of the ice-free land is expected to have permanently more soil moisture than the pre-industrial condition by the end of the 21st century, as this is the result of the SSP1–2.6 scenario with the least warming effect, but it could amount to 28% in SSP3–7.0. However, the results for dry departures show an opposite trend, with 18% of the ice-free land having permanently less soil moisture in SSP1–2.6 and 17.6% in SSP3–7.0... (Page 8)"
26,Dry Soil Moisture,Mediterranean,SSP1-2.6,2050,Pre-industrial,%,43,NA,NA,NA,NA,NA,Page 14,Percentage of ESMs showing permanent dry departure.,
27,Dry Soil Moisture,Mediterranean,SSP3-7.0,2050,Pre-industrial,%,57,NA,NA,NA,NA,NA,Page 14,Percentage of ESMs showing permanent dry departure.,
28,Dry Soil Moisture,Mediterranean,SSP1-2.6,2100,Pre-industrial,%,70,NA,NA,NA,NA,NA,Page 14,Percentage of ESMs showing permanent dry departure.,
29,Dry Soil Moisture,Mediterranean,SSP3-7.0,2100,Pre-industrial,%,100,NA,NA,NA,NA,NA,Page 14,Percentage of ESMs showing permanent dry departure.,
30,Wet Departures,Global,SSP1-2.6,2100,Pre-industrial,%,15,NA,NA,NA,NA,NA,15,Percentage of land surface area with permanent wet departures,"""By the end of the 21st century, the percentage of the land surface area with permanent wet departures from the pre-industrial soil moisture variability is expected to be 15% in SSP1–2.6, 23% in SSP2–4.5, 28% in SSP3–7.0, and 34% in SSP5–8.5."""
31,Wet Departures,Global,SSP2-4.5,2100,Pre-industrial,%,23,NA,NA,NA,NA,NA,15,Percentage of land surface area with permanent wet departures,"""By the end of the 21st century, the percentage of the land surface area with permanent wet departures from the pre-industrial soil moisture variability is expected to be 15% in SSP1–2.6, 23% in SSP2–4.5, 28% in SSP3–7.0, and 34% in SSP5–8.5."""
32,Wet Departures,Global,SSP3-7.0,2100,Pre-industrial,%,28,NA,NA,NA,NA,NA,15,Percentage of land surface area with permanent wet departures,"""By the end of the 21st century, the percentage of the land surface area with permanent wet departures from the pre-industrial soil moisture variability is expected to be 15% in SSP1–2.6, 23% in SSP2–4.5, 28% in SSP3–7.0, and 34% in SSP5–8.5."""
33,Wet Departures,Global,SSP5-8.5,2100,Pre-industrial,%,34,NA,NA,NA,NA,NA,15,Percentage of land surface area with permanent wet departures,"""By the end of the 21st century, the percentage of the land surface area with permanent wet departures from the pre-industrial soil moisture variability is expected to be 15% in SSP1–2.6, 23% in SSP2–4.5, 28% in SSP3–7.0, and 34% in SSP5–8.5."""
34,Permanent Dry Departure,Global,SSP1-2.6,2100,PiControl,% land area,18,NA,NA,NA,NA,NA,Page 16,Percentage of land surface with permanent dry departures.,"Theseanalysesshowthatanthropogenicwarmingandland system change captured in the SSP scenarios constitute crucial drivers of transgression of the planetary boundary of green water. The results show that the planetary boundary of green water might be more transgressed than previously thought (Wang-Erlandsson et al.,2022) and that the transgression will likely increase regardless of emission trajectory. Even in the SSP1–2.6 trajectory in which the most vigorous climate mitigation efforts take place, the total soil moisture content in 33% of the ice-free land surface area is anticipated to permanently depart from the pre-industrial variability by the end of the 21st century. In about 10% of thelandareas,permanentdeparturescanbeexpectedalready by2050.Hence,evenwithglobalmitigationefforts,thesere- sults call for swift adaptation to the new hydrological situa- tion in several regions around the globe. However, the trans- gressions will be considerably more serious and widespread in higher emission scenarios (e.g. in SSP3–7.0, 25% land area with permanent departure), pointing to the critical role of mitigation. – Percentage of the land surface area with permanent dry departures: 18% in SSP1–2.6, 17% in SSP2–4.5, 17.6% in SSP3–7.0, and 26% in SSP5–8.5."
35,Permanent Dry Departure,Global,SSP2-4.5,2100,PiControl,% land area,17,NA,NA,NA,NA,NA,Page 16,Percentage of land surface with permanent dry departures.,"Theseanalysesshowthatanthropogenicwarmingandland system change captured in the SSP scenarios constitute crucial drivers of transgression of the planetary boundary of green water. The results show that the planetary boundary of green water might be more transgressed than previously thought (Wang-Erlandsson et al.,2022) and that the transgression will likely increase regardless of emission trajectory. Even in the SSP1–2.6 trajectory in which the most vigorous climate mitigation efforts take place, the total soil moisture content in 33% of the ice-free land surface area is anticipated to permanently depart from the pre-industrial variability by the end of the 21st century. In about 10% of thelandareas,permanentdeparturescanbeexpectedalready by2050.Hence,evenwithglobalmitigationefforts,thesere- sults call for swift adaptation to the new hydrological situa- tion in several regions around the globe. However, the trans- gressions will be considerably more serious and widespread in higher emission scenarios (e.g. in SSP3–7.0, 25% land area with permanent departure), pointing to the critical role of mitigation. – Percentage of the land surface area with permanent dry departures: 18% in SSP1–2.6, 17% in SSP2–4.5, 17.6% in SSP3–7.0, and 26% in SSP5–8.5."
36,Permanent Dry Departure,Global,SSP3-7.0,2100,PiControl,% land area,17.6,NA,NA,NA,NA,NA,Page 16,Percentage of land surface with permanent dry departures.,"Theseanalysesshowthatanthropogenicwarmingandland system change captured in the SSP scenarios constitute crucial drivers of transgression of the planetary boundary of green water. The results show that the planetary boundary of green water might be more transgressed than previously thought (Wang-Erlandsson et al.,2022) and that the transgression will likely increase regardless of emission trajectory. Even in the SSP1–2.6 trajectory in which the most vigorous climate mitigation efforts take place, the total soil moisture content in 33% of the ice-free land surface area is anticipated to permanently depart from the pre-industrial variability by the end of the 21st century. In about 10% of thelandareas,permanentdeparturescanbeexpectedalready by2050.Hence,evenwithglobalmitigationefforts,thesere- sults call for swift adaptation to the new hydrological situa- tion in several regions around the globe. However, the trans- gressions will be considerably more serious and widespread in higher emission scenarios (e.g. in SSP3–7.0, 25% land area with permanent departure), pointing to the critical role of mitigation. – Percentage of the land surface area with permanent dry departures: 18% in SSP1–2.6, 17% in SSP2–4.5, 17.6% in SSP3–7.0, and 26% in SSP5–8.5."
37,Permanent Dry Departure,Global,SSP5-8.5,2100,PiControl,% land area,26,NA,NA,NA,NA,NA,Page 16,Percentage of land surface with permanent dry departures.,"Theseanalysesshowthatanthropogenicwarmingandland system change captured in the SSP scenarios constitute crucial drivers of transgression of the planetary boundary of green water. The results show that the planetary boundary of green water might be more transgressed than previously thought (Wang-Erlandsson et al.,2022) and that the transgression will likely increase regardless of emission trajectory. Even in the SSP1–2.6 trajectory in which the most vigorous climate mitigation efforts take place, the total soil moisture content in 33% of the ice-free land surface area is anticipated to permanently depart from the pre-industrial variability by the end of the 21st century. In about 10% of thelandareas,permanentdeparturescanbeexpectedalready by2050.Hence,evenwithglobalmitigationefforts,thesere- sults call for swift adaptation to the new hydrological situa- tion in several regions around the globe. However, the trans- gressions will be considerably more serious and widespread in higher emission scenarios (e.g. in SSP3–7.0, 25% land area with permanent departure), pointing to the critical role of mitigation. – Percentage of the land surface area with permanent dry departures: 18% in SSP1–2.6, 17% in SSP2–4.5, 17.6% in SSP3–7.0, and 26% in SSP5–8.5."
38,Permanent Departure,Global,SSP1-2.6,2100,PiControl,% land area,33,NA,NA,NA,NA,NA,Page 16,Percentage of ice-free land surface expected to permanently depart from pre-industrial variability.,"Theseanalysesshowthatanthropogenicwarmingandland system change captured in the SSP scenarios constitute crucial drivers of transgression of the planetary boundary of green water. The results show that the planetary boundary of green water might be more transgressed than previously thought (Wang-Erlandsson et al.,2022) and that the transgression will likely increase regardless of emission trajectory. Even in the SSP1–2.6 trajectory in which the most vigorous climate mitigation efforts take place, the total soil moisture content in 33% of the ice-free land surface area is anticipated to permanently depart from the pre-industrial variability by the end of the 21st century. In about 10% of thelandareas,permanentdeparturescanbeexpectedalready by2050.Hence,evenwithglobalmitigationefforts,thesere- sults call for swift adaptation to the new hydrological situa- tion in several regions around the globe. However, the trans- gressions will be considerably more serious and widespread in higher emission scenarios (e.g. in SSP3–7.0, 25% land area with permanent departure), pointing to the critical role of mitigation. – Percentage of the land surface area with permanent dry departures: 18% in SSP1–2.6, 17% in SSP2–4.5, 17.6% in SSP3–7.0, and 26% in SSP5–8.5."
39,Permanent Departure,Global,NA,2050,PiControl,% land area,10,NA,NA,NA,NA,NA,Page 16,About 10% of land areas have permanent departures expected by 2050.,"Theseanalysesshowthatanthropogenicwarmingandland system change captured in the SSP scenarios constitute crucial drivers of transgression of the planetary boundary of green water. The results show that the planetary boundary of green water might be more transgressed than previously thought (Wang-Erlandsson et al.,2022) and that the transgression will likely increase regardless of emission trajectory. Even in the SSP1–2.6 trajectory in which the most vigorous climate mitigation efforts take place, the total soil moisture content in 33% of the ice-free land surface area is anticipated to permanently depart from the pre-industrial variability by the end of the 21st century. In about 10% of thelandareas,permanentdeparturescanbeexpectedalready by2050.Hence,evenwithglobalmitigationefforts,thesere- sults call for swift adaptation to the new hydrological situa- tion in several regions around the globe. However, the trans- gressions will be considerably more serious and widespread in higher emission scenarios (e.g. in SSP3–7.0, 25% land area with permanent departure), pointing to the critical role of mitigation. – Percentage of the land surface area with permanent dry departures: 18% in SSP1–2.6, 17% in SSP2–4.5, 17.6% in SSP3–7.0, and 26% in SSP5–8.5."
40,Permanent Departure,Global,SSP3-7.0,2100,PiControl,% land area,25,NA,NA,NA,NA,NA,Page 16,Percentage of land area expected with permanent departure in higher emission scenario.,"Theseanalysesshowthatanthropogenicwarmingandland system change captured in the SSP scenarios constitute crucial drivers of transgression of the planetary boundary of green water. The results show that the planetary boundary of green water might be more transgressed than previously thought (Wang-Erlandsson et al.,2022) and that the transgression will likely increase regardless of emission trajectory. Even in the SSP1–2.6 trajectory in which the most vigorous climate mitigation efforts take place, the total soil moisture content in 33% of the ice-free land surface area is anticipated to permanently depart from the pre-industrial variability by the end of the 21st century. In about 10% of thelandareas,permanentdeparturescanbeexpectedalready by2050.Hence,evenwithglobalmitigationefforts,thesere- sults call for swift adaptation to the new hydrological situa- tion in several regions around the globe. However, the trans- gressions will be considerably more serious and widespread in higher emission scenarios (e.g. in SSP3–7.0, 25% land area with permanent departure), pointing to the critical role of mitigation. – Percentage of the land surface area with permanent dry departures: 18% in SSP1–2.6, 17% in SSP2–4.5, 17.6% in SSP3–7.0, and 26% in SSP5–8.5."
